mode,n_nodes,n_episodes,mae_minutes,p90_absolute_error_minutes,crps_minutes,crps_scope
H16_HISTORY,1769,128,7.091341878671696,19.0,18.99074190501459,T_IB_FINITE_SUPPORT_CONDITIONAL_ONLY
H16_CURRENT,1769,128,7.140510267484324,19.0,21.512291039377104,T_IB_FINITE_SUPPORT_CONDITIONAL_ONLY
