CRSDepTime,Carrier,DepDelay,DepDelayMinutes,DepTime,Dest,FlightDate,Flight_Number,Origin,Tail_Number,actual_direct_local_datetime,actual_direct_utc,actual_utc_offset_minutes,canonical_timestamp_changed,classification,current_canonical_timestamp,date_offset_resolved,direct_clock_roundtrip_hhmm,direct_utc_elapsed_minutes,dst_aware_candidate_timestamp,expected_actual_local_wall_datetime,expected_utc_elapsed_from_local_delay,flight_id,forensic_interpretation,local_wall_clock_candidate_count,local_wall_clock_residual_minutes,offset_change_minutes,old_difference_minutes,raw_direct_hhmm,residual_minutes,schedule_local_datetime,schedule_utc,schedule_utc_offset_minutes,signed_dep_delay,source_path,source_row_number,split,timezone
1855,OO,825.0,825.0,0840,ASE,2019-03-09,5597,DEN,N779SK,2019-03-10T08:40:00-06:00,2019-03-10T14:40:00+00:00,-360.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T14:40:00+00:00,True,,765.0,2019-03-10T14:40:00+00:00,2019-03-10T08:40:00,765.0,flight:0e302f2931186096790084572fa475832a8ba19b66fdcde445c3f248d5c3a608,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T18:55:00-07:00,2019-03-10T01:55:00+00:00,-420.0,825.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,225189,train,America/Denver
2045,OO,581.0,581.0,0626,STS,2019-03-09,5709,SFO,N970SW,2019-03-10T06:26:00-07:00,2019-03-10T13:26:00+00:00,-420.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T13:26:00+00:00,False,,521.0,2019-03-10T13:26:00+00:00,2019-03-10T06:26:00,521.0,flight:2086da0c8067b88e23a5aed07d614db70b44b77d5825a9b55bb28b61a41859f6,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T20:45:00-08:00,2019-03-10T04:45:00+00:00,-480.0,581.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,225293,train,America/Los_Angeles
1930,OO,785.0,785.0,0835,SBP,2019-03-09,5865,SFO,N958SW,2019-03-10T08:35:00-07:00,2019-03-10T15:35:00+00:00,-420.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T15:35:00+00:00,True,,725.0,2019-03-10T15:35:00+00:00,2019-03-10T08:35:00,725.0,flight:406c3070183bb310a85d01caae94501de074023c0fb37fdd1223c7c6caad81b6,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T19:30:00-08:00,2019-03-10T03:30:00+00:00,-480.0,785.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,225424,train,America/Los_Angeles
1900,OO,876.0,876.0,0936,COD,2019-03-09,5970,DEN,N906EV,2019-03-10T09:36:00-06:00,2019-03-10T15:36:00+00:00,-360.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T15:36:00+00:00,True,,816.0,2019-03-10T15:36:00+00:00,2019-03-10T09:36:00,816.0,flight:7254b10a86437fe74c46319c66a435bc796952c484ee021d0203c4db2aa8ffec,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T19:00:00-07:00,2019-03-10T02:00:00+00:00,-420.0,876.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,225497,train,America/Denver
2014,OO,679.0,679.0,0733,PLN,2019-03-09,7408,DTW,N936EV,2019-03-10T07:33:00-04:00,2019-03-10T11:33:00+00:00,-240.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T11:33:00+00:00,False,,619.0,2019-03-10T11:33:00+00:00,2019-03-10T07:33:00,619.0,flight:c505dbd373383e8503030fd582eebc1883a73f09a1b71595eff0c28a4e139368,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T20:14:00-05:00,2019-03-10T01:14:00+00:00,-300.0,679.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,225570,train,America/Detroit
0800,EV,-9.0,0.0,1216,EWR,2019-03-27,4304,JAX,N14542,2019-03-27T12:16:00-04:00,2019-03-27T16:16:00+00:00,-240.0,False,DIRECT_CLOCK_SIGNED_DELAY_CONFLICT,2019-03-27T16:16:00+00:00,False,,256.0,2019-03-27T11:51:00+00:00,2019-03-27T07:51:00,-9.0,flight:07fd9753f1c56843f97b7902ee64eff5e8e575830feb5f227133f62730008179,RAW_BTS_DIRECT_CLOCK_SIGNED_DELAY_CONTRADICTION,1,265.0,0.0,265.0,,265.0,2019-03-27T08:00:00-04:00,2019-03-27T12:00:00+00:00,-240.0,-9.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,271497,train,America/New_York
1900,UA,929.0,929.0,1029,OGG,2019-03-09,2295,SFO,N77510,2019-03-10T10:29:00-07:00,2019-03-10T17:29:00+00:00,-420.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T17:29:00+00:00,True,,869.0,2019-03-10T17:29:00+00:00,2019-03-10T10:29:00,869.0,flight:20d8bb70cb6dd6b2d6f6d011616ffa9818b79727d7a52a7449b5bf40d7532cab,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T19:00:00-08:00,2019-03-10T03:00:00+00:00,-480.0,929.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,300835,train,America/Los_Angeles
2230,UA,284.0,284.0,0314,BDL,2019-03-09,399,IAD,N419UA,2019-03-10T03:14:00-04:00,2019-03-10T07:14:00+00:00,-240.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T07:14:00+00:00,False,,224.0,2019-03-10T07:14:00+00:00,2019-03-10T03:14:00,224.0,flight:c3a23f97bda5c4cc7bf4e6afcdaaae15c39d03dbbfcf55f6687a65e26e577395,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T22:30:00-05:00,2019-03-10T03:30:00+00:00,-300.0,284.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,302054,train,America/New_York
1850,UA,848.0,848.0,0858,ORD,2019-03-09,216,DEN,N45440,2019-03-10T08:58:00-06:00,2019-03-10T14:58:00+00:00,-360.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T14:58:00+00:00,True,,788.0,2019-03-10T14:58:00+00:00,2019-03-10T08:58:00,788.0,flight:6f9c416db2f6f5ebc8e7fe527c637141e147c9eb90cdfbe2761ef140380036cd,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T18:50:00-07:00,2019-03-10T01:50:00+00:00,-420.0,848.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,302248,train,America/Denver
2115,WN,371.0,371.0,0326,DTW,2019-03-09,3755,MDW,N7863A,2019-03-10T03:26:00-05:00,2019-03-10T08:26:00+00:00,-300.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T08:26:00+00:00,False,,311.0,2019-03-10T08:26:00+00:00,2019-03-10T03:26:00,311.0,flight:b4cc29ef16f1ee0f65e485b2d18fc1e17c20bf1e6dbafc06c4541f876c1a1b1a,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T21:15:00-06:00,2019-03-10T03:15:00+00:00,-360.0,371.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,387386,train,America/Chicago
2012,G4,345.0,345.0,0257,SFB,2019-03-09,2211,PIA,232NV,2019-03-10T03:57:00-05:00,2019-03-10T08:57:00+00:00,-300.0,False,DATE_OFFSET_AMBIGUOUS,2019-03-10T08:57:00+00:00,False,0357,405.0,2019-03-10T07:57:00+00:00,2019-03-10T01:57:00,285.0,flight:b5f1d6ea38d5d76673f31bf01a2154916098beb281bc70c3c2bbb9927b21b121,RAW_DIRECT_CLOCK_NONEXISTENT_OR_AMBIGUOUS_LOCAL_TIME,1,120.0,60.0,60.0,0257,120.0,2019-03-09T20:12:00-06:00,2019-03-10T02:12:00+00:00,-360.0,345.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,503522,train,America/Chicago
1957,NK,1220.0,1220.0,1617,MCO,2019-03-09,959,BDL,N524NK,2019-03-10T16:17:00-04:00,2019-03-10T20:17:00+00:00,-240.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T20:17:00+00:00,True,,1160.0,2019-03-10T20:17:00+00:00,2019-03-10T16:17:00,1160.0,flight:c0ac424b8a79160e37ae98ff206172056eda678de130817f72fc1e22e7305a69,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T19:57:00-05:00,2019-03-10T00:57:00+00:00,-300.0,1220.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,602169,train,America/New_York
1940,YV,1118.0,1118.0,1418,LIT,2019-03-09,6017,IAH,N88325,2019-03-10T14:18:00-05:00,2019-03-10T19:18:00+00:00,-300.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T19:18:00+00:00,True,,1058.0,2019-03-10T19:18:00+00:00,2019-03-10T14:18:00,1058.0,flight:0d778c4c36bf56abbe72734fc78a9fb7d2efaea5833c2fa73c1bb241d0ffa04e,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T19:40:00-06:00,2019-03-10T01:40:00+00:00,-360.0,1118.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,611840,train,America/Chicago
2220,YV,825.0,825.0,1205,YUM,2019-03-09,5953,DFW,N931LR,2019-03-10T12:05:00-05:00,2019-03-10T17:05:00+00:00,-300.0,False,DST_CLOCK_BASIS_EXPLAINED,2019-03-10T17:05:00+00:00,True,,765.0,2019-03-10T17:05:00+00:00,2019-03-10T12:05:00,765.0,flight:e528025cdd1503dfe9b3b70cf6f7234a36361734165fe7cbcace914d5b04732c,DST_LOCAL_CLOCK_BASIS_EFFECT,1,0.0,60.0,60.0,,0.0,2019-03-09T22:20:00-06:00,2019-03-10T04:20:00+00:00,-360.0,825.0,data2\raw\bts\ontime\2019\month=03\On_Time_Reporting_Carrier_On_Time_Performance_(1987_present)_2019_3.csv,618822,train,America/Chicago
