information_component,comparator,L_att,L_att_ci_low,L_att_ci_high,delta_J,reference_V,L_rec,L_rec_ci_low,L_rec_ci_high,stage1_reassigned_share,A0,A5,missed_activation,false_activation,under_recovery,over_recovery
ROLLING_HISTORY,CURRENT_JOINT,0.09314621590312425,0.006095977802339403,0.18440693391834753,0.3109834202251507,0.29611488953135234,1.050212033300082,0.018600737234729305,8.915794438844115,0.29411764705882354,0.7058823529411765,0.8235294117647058,2.0,1.0,2.0,0.0
DISTRIBUTIONAL_INFORMATION,HISTORY_POINT,0.46937024089116847,0.2876058321455724,0.6107082413798175,0.29611488953135234,0.29611488953135234,1.0,1.0,1.0,0.7058823529411765,0.47058823529411764,0.8823529411764706,9.0,0.0,0.0,0.0
CROSS_STATE_DEPENDENCE,HISTORY_MARGINAL,0.005434626866172922,0.0,0.008962858065093508,0.15073632405834114,0.29611488953135234,0.5090467564697767,0.0,0.8914421543412551,0.11764705882352941,0.8823529411764706,0.8823529411764706,1.0,0.0,1.0,0.0
MARGINAL_UNCERTAINTY,POINT_MINUS_MARGINAL,0.4492933210879138,0.4457387869039205,0.45268376713609604,0.1453785654730112,,0.5952918817011299,0.5810154820593822,0.6092497439737172,,,,,,,
