stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction
PRE_IB,217,48,1.0,5.0,0.697047277692439,0.06451612903225806,0.2949308755760368,0.06912442396313365,0.8599649093138293,0.055299539170506916,0.013824884792626729,1,1,0.5,PASS,PASS,15911,897,48,1.0,0.22811059907834103,0.48940092165898613,0.004608294930875576,0.004608294930875576
POST_IB_PRE_OB,1450,120,0.9972489683631361,5.0,0.704831393826896,0.07379310344827594,0.28696551724137936,0.07103448275862069,0.8699896522153416,0.04827586206896552,0.022758620689655173,1,1,0.8,PASS,PASS,729286,5437,120,1.0,0.23034482758620692,0.5242758620689656,0.000689655172413793,0.000689655172413793
POST_OB_PRE_TO,98,67,1.0,5.0,0.9863753817242188,0.0,0.020408163265306034,0.0,0.9991413077222856,0.0,0.0,1,1,0.8,PASS,PASS,4721,2211,67,1.0,0.30102040816326536,0.6887755102040817,0.01020408163265306,0.01020408163265306
PRE_IB,217,48,1.0,10.0,0.697047277692439,0.06451612903225806,0.2949308755760368,0.06912442396313365,0.8599649093138293,0.055299539170506916,0.013824884792626729,1,1,0.5,PASS,PASS,21533,1102,48,1.0,0.2718894009216589,0.5919354838709677,0.004608294930875576,0.004608294930875576
POST_IB_PRE_OB,1450,120,0.9972489683631361,10.0,0.704831393826896,0.07379310344827594,0.28696551724137936,0.07103448275862069,0.8699896522153416,0.04827586206896552,0.022758620689655173,1,1,0.8,PASS,PASS,980981,6848,120,1.0,0.28620689655172415,0.6475862068965517,0.000689655172413793,0.000689655172413793
POST_OB_PRE_TO,98,67,1.0,10.0,0.9863753817242188,0.0,0.020408163265306034,0.0,0.9991413077222856,0.0,0.0,1,1,0.8,PASS,PASS,4721,2211,67,1.0,0.30102040816326536,0.6887755102040817,0.01020408163265306,0.01020408163265306
PRE_IB,217,48,1.0,15.0,0.697047277692439,0.06451612903225806,0.2949308755760368,0.06912442396313365,0.8599649093138293,0.055299539170506916,0.013824884792626729,1,1,0.5,PASS,PASS,22591,1128,48,1.0,0.27764976958525345,0.6311059907834106,0.004608294930875576,0.004608294930875576
POST_IB_PRE_OB,1450,120,0.9972489683631361,15.0,0.704831393826896,0.07379310344827594,0.28696551724137936,0.07103448275862069,0.8699896522153416,0.04827586206896552,0.022758620689655173,1,1,0.8,PASS,PASS,1031905,7132,120,1.0,0.29879310344827587,0.6861724137931036,0.000689655172413793,0.000689655172413793
POST_OB_PRE_TO,98,67,1.0,15.0,0.9863753817242188,0.0,0.020408163265306034,0.0,0.9991413077222856,0.0,0.0,1,1,0.8,PASS,PASS,4721,2211,67,1.0,0.30102040816326536,0.6887755102040817,0.01020408163265306,0.01020408163265306
