stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,kendall_tau_b_ci_low,kendall_tau_b_ci_high,top10_overlap_ci_low,top10_overlap_ci_high,median_rank_displacement_ci_low,median_rank_displacement_ci_high,p90_rank_displacement_ci_low,p90_rank_displacement_ci_high,median_consequence_priority_percentile_gap_ci_low,median_consequence_priority_percentile_gap_ci_high,p90_consequence_priority_percentile_gap_ci_low,p90_consequence_priority_percentile_gap_ci_high
PRE_IB,217,48,1.0,5.0,0.697047277692439,0.06451612903225806,0.2949308755760368,0.06912442396313365,0.8599649093138293,0.055299539170506916,0.013824884792626729,1,1,0.5,PASS,PASS,15911,897,48,1.0,0.22811059907834103,0.48940092165898613,0.004608294930875576,0.004608294930875576,0.5139024723160476,0.8360784289549108,0.0,1.0,0.03284625451596256,0.15715517241379304,0.14851011416931165,0.41177151416122,0.19574236817761329,0.2662044552669553,0.4359035573448385,0.6082979536432906
POST_IB_PRE_OB,1450,120,0.9972489683631361,5.0,0.704831393826896,0.07379310344827594,0.28696551724137936,0.07103448275862069,0.8699896522153416,0.04827586206896552,0.022758620689655173,1,1,0.8,PASS,PASS,729286,5437,120,1.0,0.23034482758620692,0.5242758620689656,0.000689655172413793,0.000689655172413793,0.597696305803266,0.7992541252865302,0.5,0.9037138508371384,0.043445146630861034,0.11486741688185685,0.18530298708178827,0.36008096849936566,0.20762267871327691,0.25745964336512045,0.4691881715440874,0.5935429880197322
POST_OB_PRE_TO,98,67,1.0,5.0,0.9863753817242188,0.0,0.020408163265306034,0.0,0.9991413077222856,0.0,0.0,1,1,0.8,PASS,PASS,4721,2211,67,1.0,0.30102040816326536,0.6887755102040817,0.01020408163265306,0.01020408163265306,0.9702939288758861,0.9968861083190649,0.6,1.0,0.0,0.0,0.0,0.046875,0.28971962616822433,0.32223118279569896,0.6428571428571429,0.7183921995313024
