stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
POST_IB_PRE_OB,256,11,1.0,5.0,0.9108752990247194,0.015625,0.115234375,0.0,0.9736986101484695,0.0,0.0,2,2,1.0,PASS,PASS,19186,62,11,1.0,0.2060546875,0.4525390625,0.0078125,0.0078125,7
POST_OB_PRE_TO,17,11,1.0,5.0,0.9076923076923077,0.0,0.11764705882352944,0.0,0.9629171817058098,0.0,0.0,2,1,0.5,PASS,PASS,127,88,11,1.0,0.3088235294117647,0.6176470588235294,0.11764705882352941,0.058823529411764705,7
PRE_IB,63,9,1.0,5.0,0.8082901554404145,0.031746031746031744,0.25396825396825395,0.015873015873015872,0.8960514938995101,0.015873015873015872,0.0,2,2,1.0,PASS,PASS,853,53,9,1.0,0.31746031746031744,0.523809523809524,0.031746031746031744,0.031746031746031744,8
POST_IB_PRE_OB,405,9,1.0,5.0,0.8848254745866503,0.012345679012345623,0.13827160493827162,0.007407407407407408,0.9630599057629274,0.007407407407407408,0.0,2,2,1.0,PASS,PASS,50101,53,9,1.0,0.24444444444444446,0.5871604938271611,0.0049382716049382715,0.0049382716049382715,8
POST_OB_PRE_TO,17,9,1.0,5.0,0.9069767441860466,0.0,0.11764705882352944,0.0,0.9628712871287128,0.0,0.0,2,1,0.5,PASS,PASS,124,85,9,1.0,0.32352941176470584,0.6764705882352942,0.11764705882352941,0.058823529411764705,8
PRE_IB,53,9,1.0,5.0,0.8768328445747802,0.018867924528301883,0.13207547169811318,0.018867924528301886,0.9452939040626135,0.018867924528301886,0.0,2,1,0.8333333333333334,PASS,PASS,623,48,9,1.0,0.20754716981132082,0.6037735849056605,0.03773584905660377,0.018867924528301886,9
POST_IB_PRE_OB,220,9,1.0,5.0,0.9243886208617537,0.011363636363636354,0.08636363636363631,0.0,0.9795343008116292,0.0,0.0,1,2,0.7727272727272727,PASS,PASS,13265,48,9,1.0,0.22840909090909092,0.5113636363636364,0.004545454545454545,0.00909090909090909,9
POST_OB_PRE_TO,16,9,1.0,5.0,0.941747572815534,0.0,0.09375,0.0,0.9844479004665629,0.0,0.0,1,1,0.5,PASS,PASS,112,85,9,1.0,0.3125,0.65625,0.0625,0.0625,9
PRE_IB,30,11,1.0,5.0,0.7911832946635731,0.06666666666666665,0.23666666666666672,0.03333333333333333,0.9153674832962136,0.03333333333333333,0.0,3,3,0.3333333333333333,PASS,PASS,246,50,11,1.0,0.21666666666666667,0.4666666666666666,0.1,0.1,10
POST_IB_PRE_OB,178,11,1.0,5.0,0.7539576578294871,0.07303370786516855,0.21348314606741572,0.05056179775280899,0.8868093554533936,0.02247191011235955,0.028089887640449437,1,3,0.7222222222222222,PASS,PASS,9755,50,11,1.0,0.25702247191011235,0.5106741573033708,0.0056179775280898875,0.016853932584269662,10
