stage,n_episodes,n_nodes,support_coverage,status,caliper_minutes,heterogeneity_status
PRE_IB,48,217,1.0,PASS,5.0,PASS
POST_IB_PRE_OB,120,1450,0.9972489683631361,PASS,5.0,PASS
POST_OB_PRE_TO,67,98,1.0,PASS,5.0,PASS
