replicate,metric,stage,status,n_nodes,n_episodes,kendall_tau_b,top10_overlap,median_rank_displacement,p90_rank_displacement,support_coverage,caliper_minutes,candidate_pairs,balanced_episode_pairs,matched_episodes,median_consequence_gap,p90_consequence_gap
7,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,737.0,11.0,5.0,0.1375349762147786,0.4108922215959958
7,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,9.0,6.0,4.0,0.1523007113990068,0.2520076118008735
8,top10_overlap,POST_IB_PRE_OB,PASS,51.0,5.0,0.8015873015873015,0.16666666666666666,0.05882352941176472,0.19607843137254904,1.0,,,,,,
8,top10_overlap,POST_OB_PRE_TO,PASS,8.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
8,top10_overlap,PRE_IB,PASS,8.0,3.0,0.5714285714285714,1.0,0.125,0.36249999999999993,1.0,,,,,,
8,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,997.0,12.0,5.0,0.04248805129376909,0.07947290814672697
8,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,21.0,6.0,4.0,0.05852230774218878,0.11554663025037491
8,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,20.0,4.0,3.0,0.01693031461332413,0.02181566554696752
9,top10_overlap,PRE_IB,PASS,12.0,3.0,0.8965517241379309,0.5,0.0,0.08333333333333326,1.0,,,,,,
9,top10_overlap,POST_IB_PRE_OB,PASS,69.0,3.0,0.9216710182767623,0.42857142857142855,0.0,0.11594202898550725,1.0,,,,,,
9,top10_overlap,POST_OB_PRE_TO,PASS,7.0,3.0,1.0,1.0,0.0,0.0,1.0,,,,,,
9,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,44.0,3.0,3.0,0.12764966714432185,0.13674152677652
9,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1550.0,3.0,3.0,0.17782946126196303,0.2222914401741738
9,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,16.0,3.0,3.0,0.19129517921723685,0.19779007648643407
10,top10_overlap,POST_IB_PRE_OB,PASS,77.0,5.0,0.883937823834197,0.375,0.05194805194805191,0.1298701298701299,1.0,,,,,,
10,top10_overlap,POST_OB_PRE_TO,PASS,9.0,5.0,1.0,1.0,0.0,0.0,1.0,,,,,,
10,top10_overlap,PRE_IB,PASS,4.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,
10,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1612.0,9.0,5.0,0.1375349762147786,0.314357512896171
10,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,32.0,10.0,5.0,0.1523007113990068,0.30190504937680884
10,median_consequence_gap,PRE_IB,ABSTAIN_INSUFFICIENT_MATCHES,,,,,,,,5.0,0.0,,,,
11,top10_overlap,POST_IB_PRE_OB,PASS,61.0,6.0,0.8463227222832052,0.8571428571428571,0.0491803278688524,0.08196721311475413,1.0,,,,,,
11,top10_overlap,POST_OB_PRE_TO,PASS,6.0,5.0,1.0,1.0,0.0,0.0,1.0,,,,,,
11,top10_overlap,PRE_IB,PASS,10.0,4.0,0.7333333333333333,1.0,0.04999999999999999,0.22999999999999995,1.0,,,,,,
11,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1133.0,15.0,6.0,0.09549395509144191,0.3623525759468943
11,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,14.0,10.0,5.0,0.1523007113990068,0.29729466337016675
11,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,36.0,7.0,4.0,0.02390938737567183,0.13943240265203616
12,top10_overlap,PRE_IB,PASS,12.0,4.0,0.75,1.0,0.0,0.2333333333333334,1.0,,,,,,
12,top10_overlap,POST_IB_PRE_OB,PASS,52.0,5.0,0.8316906747536011,1.0,0.038461538461538464,0.17307692307692302,1.0,,,,,,
12,top10_overlap,POST_OB_PRE_TO,PASS,5.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
12,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,52.0,7.0,4.0,0.02390938737567183,0.13943240265203616
12,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,783.0,10.0,5.0,0.14537378158429262,0.41116451289518485
12,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,9.0,6.0,4.0,0.14824140060575855,0.243888990214377
13,top10_overlap,POST_IB_PRE_OB,PASS,68.0,5.0,0.8622222222222223,0.42857142857142855,0.05882352941176469,0.11764705882352941,1.0,,,,,,
13,top10_overlap,POST_OB_PRE_TO,PASS,9.0,4.0,0.9999999999999999,1.0,0.0,0.0,1.0,,,,,,
13,top10_overlap,PRE_IB,PASS,8.0,2.0,1.0,1.0,0.0,0.0,1.0,,,,,,
13,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1711.0,12.0,5.0,0.05460123818215016,0.1753677738311474
13,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,28.0,6.0,4.0,0.11554663025037491,0.1979158155697307
13,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,16.0,1.0,2.0,0.14005926910323607,0.14005926910323607
