stage,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,heterogeneity_status,caliper_minutes
PRE_IB,15911,897,48,1.0,PASS,5.0
POST_IB_PRE_OB,729286,5437,120,1.0,PASS,5.0
POST_OB_PRE_TO,4721,2211,67,1.0,PASS,5.0
