node_index,episode_id,decision_node_id,operational_stage,scenario_id,scenario_weight,R_IB,D_OB,D_TX,D_TO,lineage_json,field_source_scenario_ids_json,transform_rule,source_scenario_hash,representation_hash
10,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:2d94fd5bdd729e6fe338c31809102abab0e85f16fecada154ac65f2ad7338ceb,POST_IB_PRE_OB,POINT:113,1.0,0.0,0.5565445423126221,0.5094550251960754,1.0659995675086975,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:2d94fd5bdd729e6fe338c31809102abab0e85f16fecada154ac65f2ad7338ceb"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 113, ""D_TO"": 113, ""D_TX"": 113}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:f42dca41ee7ba9565077f43cca1784a45a7bac77fe169f0e49c7815e30de5ca8
11,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:e2bd70d8eda977b29c5ce3737f433efc602129353da75ad29f92616dc270f3d4,POST_OB_PRE_TO,POINT:113,1.0,0.0,0.0,0.40853849053382874,0.40853849053382874,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:e2bd70d8eda977b29c5ce3737f433efc602129353da75ad29f92616dc270f3d4"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 113, ""D_TO"": 113, ""D_TX"": 113}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:6aa9f2bb90ea61d74e152c23ea1408e1a4374a14d76b74a03aeb51e2e926afe9
12,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:62dda7677f2931da08896b4e50b436116d241a3bb4af5a0b3434d69b165ff849,PRE_IB,POINT:59,1.0,7.5,1.3376446962356567,0.8597623705863953,2.197407066822052,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:62dda7677f2931da08896b4e50b436116d241a3bb4af5a0b3434d69b165ff849"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 59, ""D_TO"": 59, ""D_TX"": 59}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:b4f23f4fe5690d77af8efbae2fd25017cb08a0ee9f4cb15cf1836c1e6d239ce9
13,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:33489d8fabaeaf3f131b62e432eeff27301b906f781b6876e34b7c301cde75cf,PRE_IB,POINT:59,1.0,7.5,1.368038535118103,0.9001190066337585,2.2681575417518616,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:33489d8fabaeaf3f131b62e432eeff27301b906f781b6876e34b7c301cde75cf"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 59, ""D_TO"": 59, ""D_TX"": 59}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:f669aedebfe26f0b970e9bd4ccc6cb1e516087e9d0ba710d45a95c688bce16c7
14,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:52c2c8a22c03db637245608f25c136e97dc5b3a8fd7a13432da46e2f9620f09e,PRE_IB,POINT:59,1.0,7.5,1.3978981971740723,0.9289864301681519,2.326884627342224,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:52c2c8a22c03db637245608f25c136e97dc5b3a8fd7a13432da46e2f9620f09e"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 59, ""D_TO"": 59, ""D_TX"": 59}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:a5bfecf20f66def4083fefd6ae97c2e19026f00b236e68f90ff62d343116ccfc
15,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:112d68b7b72ba870f1be0e96f34fd062010bacc3f3f1d113f4497197ef8676ba,PRE_IB,POINT:59,1.0,7.5,1.4230527877807617,0.9478757381439209,2.3709285259246826,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:112d68b7b72ba870f1be0e96f34fd062010bacc3f3f1d113f4497197ef8676ba"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 59, ""D_TO"": 59, ""D_TX"": 59}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:e0561bb2a6883733e1c80954e0d7b85a96b8f443a9a3f61561639cdaa607264c
16,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:b39a22fa08dc434588326fe9415a2304a24b9a93364af926eda25b876bd3737c,POST_IB_PRE_OB,POINT:66,1.0,0.0,1.0440669059753418,0.966706395149231,2.0107733011245728,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:b39a22fa08dc434588326fe9415a2304a24b9a93364af926eda25b876bd3737c"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 66, ""D_TO"": 66, ""D_TX"": 66}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:6a63b915128a3229a99114978100f5560d3dba3919675e9db2744603db4ae2fe
17,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:57dd0462f69844aef5de9289f338484ec9b0b21e827dc6cfbe7e438537ee91f9,POST_IB_PRE_OB,POINT:66,1.0,0.0,1.0645191669464111,0.9897947907447815,2.0543139576911926,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:57dd0462f69844aef5de9289f338484ec9b0b21e827dc6cfbe7e438537ee91f9"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 66, ""D_TO"": 66, ""D_TX"": 66}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:4e698fe6ba6890a558333f5d8103f40bde7791b7f7e1916762604e3330e7e423
18,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:12d7e6989f584c575bc3fc34ba4e5e16fd90d53b9f8568cc8de7df22052f870e,POST_IB_PRE_OB,POINT:66,1.0,0.0,1.0790441036224365,1.004117727279663,2.0831618309020996,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:12d7e6989f584c575bc3fc34ba4e5e16fd90d53b9f8568cc8de7df22052f870e"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 66, ""D_TO"": 66, ""D_TX"": 66}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:cd21a79f5b6a0abdebd0823bf8979b71cd7bea5f42b648477f756046649c2713
19,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:db5a6191be0b6ceeccbe81bc6c9a8a00e631d09acbf55cf70d949b0bdc21504b,POST_IB_PRE_OB,POINT:66,1.0,0.0,1.090046763420105,1.0134214162826538,2.103468179702759,"[""pre:cohort=sha256:1dd889489f7e2ae2a6b06e14322cf86081a4db5bfc6e693d2e5d88752a85cb38"", ""pre:node=sha256:db5a6191be0b6ceeccbe81bc6c9a8a00e631d09acbf55cf70d949b0bdc21504b"", ""m1:checkpoint=sha256:e3401c76f48bdad0a64e7e764af68f854854ec17cd193c70f57cbbd5f63af24b"", ""m1:support=sha256:a8eea18645b6426712bb65caeedeafa9e01957bc9d97f11f2ffb80733e75a8e3""]","{""D_OB"": 66, ""D_TO"": 66, ""D_TX"": 66}",WEIGHTED_JOINT_SCENARIO_MEDOID,sha256:2ce9650a82c2d51fb0b4404cab670716fadeb6dbb5f66fb44fc18b11d26dbe8d,sha256:7b8cce652190bc5f4de5bda338315e8708d16283cb6e369e2df39d2a73ce5890
