dataset_instance_id,adapter_id,source_family,raw_column,required,projected,canonicalizer_accessed,rule_ids,primary_rule_ids,status,findings,pre_bypass_locations
data1_2019,D1-EUROSTAT,eurostat,class,True,False,True,"[""D1-EUROSTAT""]","[""D1-EUROSTAT""]",COVERED,[],[]
data1_2019,D1-EUROSTAT,eurostat,dimension,True,False,True,"[""D1-EUROSTAT""]","[""D1-EUROSTAT""]",COVERED,[],[]
data1_2019,D1-EUROSTAT,eurostat,id,False,False,True,"[""D1-EUROSTAT""]",[],SEMANTIC_CONFLICT,"[""REGISTRY_COLUMN_NOT_DECLARED_BY_SOURCE_ADAPTER""]",[]
data1_2019,D1-EUROSTAT,eurostat,size,False,False,True,"[""D1-EUROSTAT""]",[],SEMANTIC_CONFLICT,"[""REGISTRY_COLUMN_NOT_DECLARED_BY_SOURCE_ADAPTER""]",[]
data1_2019,D1-EUROSTAT,eurostat,value,True,False,True,"[""D1-EUROSTAT""]","[""D1-EUROSTAT""]",COVERED,[],[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,callsign,True,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,day,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,destination,True,True,True,"[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]","[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]",COVERED,[],[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,firstseen,True,True,True,"[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]","[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]",COVERED,[],[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,icao24,True,True,True,"[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]","[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]",COVERED,[],[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,lastseen,True,True,True,"[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]","[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]",COVERED,[],[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,number,False,True,False,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,origin,True,True,True,"[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]","[""D1-OPENSKY-FLIGHT"", ""D1-OPENSKY-FLIGHT-EVENT""]",COVERED,[],[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,registration,False,True,False,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-FLIGHTLIST,opensky_flightlist,typecode,False,True,False,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,drct,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,dwpf,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,gust,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,metar,True,True,True,"[""D1-METAR""]","[""D1-METAR""]",COVERED,[],[]
data1_2019,D1-METAR,iem_metar,mslp,False,True,False,"[""D1-METAR""]","[""D1-METAR""]",COVERED,[],[]
data1_2019,D1-METAR,iem_metar,sknt,True,True,True,"[""D1-METAR""]","[""D1-METAR""]",COVERED,[],[]
data1_2019,D1-METAR,iem_metar,skyc1,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,skyc2,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,skyc3,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,skyl1,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,skyl2,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,skyl3,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,station,True,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,tmpf,True,True,True,"[""D1-METAR""]","[""D1-METAR""]",COVERED,[],[]
data1_2019,D1-METAR,iem_metar,valid,True,True,True,"[""D1-METAR""]","[""D1-METAR""]",COVERED,[],[]
data1_2019,D1-METAR,iem_metar,vsby,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-METAR,iem_metar,wxcodes,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-OURAIRPORTS,ourairports,elevation_ft,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-OURAIRPORTS,ourairports,iata_code,True,True,True,"[""D1-OURAIRPORTS""]","[""D1-OURAIRPORTS""]",COVERED,[],[]
data1_2019,D1-OURAIRPORTS,ourairports,ident,True,True,True,"[""D1-OURAIRPORTS""]","[""D1-OURAIRPORTS""]",COVERED,[],[]
data1_2019,D1-OURAIRPORTS,ourairports,latitude_deg,True,True,True,"[""D1-OURAIRPORTS""]","[""D1-OURAIRPORTS""]",COVERED,[],[]
data1_2019,D1-OURAIRPORTS,ourairports,longitude_deg,True,True,True,"[""D1-OURAIRPORTS""]","[""D1-OURAIRPORTS""]",COVERED,[],[]
data1_2019,D1-OURAIRPORTS,ourairports,type,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-STATE,opensky_state_vectors,baroaltitude,False,True,True,"[""D1-TRAJECTORY-EVENT""]",[],SEMANTIC_CONFLICT,"[""PRIMARY_CANONICALIZER_RULE_OMITS_USED_COLUMN""]",[]
data1_2019,D1-STATE,opensky_state_vectors,callsign,False,True,False,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-STATE,opensky_state_vectors,geoaltitude,False,True,True,"[""D1-TRAJECTORY-EVENT""]",[],SEMANTIC_CONFLICT,"[""PRIMARY_CANONICALIZER_RULE_OMITS_USED_COLUMN""]",[]
data1_2019,D1-STATE,opensky_state_vectors,heading,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-STATE,opensky_state_vectors,icao24,True,True,True,"[""D1-OPENSKY-STATE"", ""D1-TRAJECTORY-EVENT""]","[""D1-OPENSKY-STATE""]",COVERED,[],[]
data1_2019,D1-STATE,opensky_state_vectors,lastcontact,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-STATE,opensky_state_vectors,lastposupdate,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data1_2019,D1-STATE,opensky_state_vectors,lat,True,True,True,"[""D1-OPENSKY-STATE"", ""D1-TRAJECTORY-EVENT""]","[""D1-OPENSKY-STATE""]",COVERED,[],[]
data1_2019,D1-STATE,opensky_state_vectors,lon,True,True,True,"[""D1-OPENSKY-STATE"", ""D1-TRAJECTORY-EVENT""]","[""D1-OPENSKY-STATE""]",COVERED,[],[]
data1_2019,D1-STATE,opensky_state_vectors,onground,True,True,True,"[""D1-OPENSKY-STATE"", ""D1-TRAJECTORY-EVENT""]","[""D1-OPENSKY-STATE""]",COVERED,[],[]
data1_2019,D1-STATE,opensky_state_vectors,time,True,True,True,"[""D1-OPENSKY-STATE"", ""D1-TRAJECTORY-EVENT""]","[""D1-OPENSKY-STATE""]",COVERED,[],[]
data1_2019,D1-STATE,opensky_state_vectors,velocity,True,True,True,"[""D1-OPENSKY-STATE"", ""D1-TRAJECTORY-EVENT""]","[""D1-OPENSKY-STATE""]",COVERED,[],[]
data1_2019,D1-STATE,opensky_state_vectors,vertrate,False,True,True,"[""D1-TRAJECTORY-EVENT""]",[],SEMANTIC_CONFLICT,"[""PRIMARY_CANONICALIZER_RULE_OMITS_USED_COLUMN""]",[]
data2_2019,D2-AIRPORT-REFERENCE,airport_reference,elevation_ft,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data2_2019,D2-AIRPORT-REFERENCE,airport_reference,iata_code,True,True,True,"[""D2-AIRPORT-REFERENCE""]","[""D2-AIRPORT-REFERENCE""]",COVERED,[],[]
data2_2019,D2-AIRPORT-REFERENCE,airport_reference,ident,True,True,True,"[""D2-AIRPORT-REFERENCE""]","[""D2-AIRPORT-REFERENCE""]",COVERED,[],[]
data2_2019,D2-AIRPORT-REFERENCE,airport_reference,latitude_deg,True,True,True,"[""D2-AIRPORT-REFERENCE""]","[""D2-AIRPORT-REFERENCE""]",COVERED,[],[]
data2_2019,D2-AIRPORT-REFERENCE,airport_reference,longitude_deg,True,True,True,"[""D2-AIRPORT-REFERENCE""]","[""D2-AIRPORT-REFERENCE""]",COVERED,[],[]
data2_2019,D2-AIRPORT-REFERENCE,airport_reference,type,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data2_2019,D2-DB1B,bts_db1b,Dest,True,True,False,"[""D2-DB1B"", ""D2-PASSENGER-REFERENCE"", ""D2-PASSENGER-REFERENCE-H1""]","[""D2-DB1B""]",COVERED,[],[]
data2_2019,D2-DB1B,bts_db1b,ItinID,False,True,False,"[""D2-DB1B""]","[""D2-DB1B""]",COVERED,[],[]
data2_2019,D2-DB1B,bts_db1b,MktFare,False,True,False,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data2_2019,D2-DB1B,bts_db1b,MktID,False,True,False,"[""D2-DB1B""]","[""D2-DB1B""]",COVERED,[],[]
data2_2019,D2-DB1B,bts_db1b,Origin,True,True,False,"[""D2-DB1B"", ""D2-PASSENGER-REFERENCE"", ""D2-PASSENGER-REFERENCE-H1""]","[""D2-DB1B""]",COVERED,[],[]
data2_2019,D2-DB1B,bts_db1b,Passengers,True,True,False,"[""D2-DB1B"", ""D2-PASSENGER-REFERENCE"", ""D2-PASSENGER-REFERENCE-H1""]","[""D2-DB1B""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,CALL_SIGN,False,True,False,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data2_2019,D2-ISD,noaa_isd,CIG,True,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,DATE,True,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,DEW,True,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,REM,False,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,REPORT_TYPE,False,True,True,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data2_2019,D2-ISD,noaa_isd,SLP,False,True,False,[],[],MISSING,"[""REGISTRY_MAPPING_MISSING""]",[]
data2_2019,D2-ISD,noaa_isd,STATION,True,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,TMP,True,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,VIS,True,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ISD,noaa_isd,WND,True,True,True,"[""D2-NOAA-ISD""]","[""D2-NOAA-ISD""]",COVERED,[],[]
data2_2019,D2-ONTIME,bts_ontime,ArrDelayMinutes,False,True,True,"[""D2-BTS-ACTUAL""]","[""D2-BTS-ACTUAL""]",COVERED,[],[]
