feature,branch,upstream_pre_variable,consumption_path,status,findings
delta.weather.qnh_hpa.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.visibility_m.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.weather.ceiling_base_m.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
delta.schedule.signed_minutes_to_crs_departure.derived_missing_mask,dynamic,schedule_reference,PRE_SUCCESSOR_STATE,COVERED,[]
ar.weather.temperature_c.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.dewpoint_c.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.wind_speed_mps.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.qnh_hpa.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.visibility_m.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
ar.weather.ceiling_base_m.derived_missing_mask,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
weather.observation_age_minutes,dynamic,current_weather,PRE_CURRENT_STATE,COVERED,[]
current_weather.evidence.DIRECT,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.evidence.DERIVED,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.evidence.DOMAIN_PROXY,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.evidence.EMPIRICAL_REFERENCE,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.evidence.EXTERNAL_STANDARD,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.evidence.SCENARIO_PARAMETER,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.evidence.UNSUPPORTED,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.evidence.DIRECT,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.evidence.DERIVED,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.evidence.DOMAIN_PROXY,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.evidence.EMPIRICAL_REFERENCE,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.evidence.EXTERNAL_STANDARD,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.evidence.SCENARIO_PARAMETER,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.evidence.UNSUPPORTED,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.evidence.DIRECT,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.evidence.DERIVED,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.evidence.DOMAIN_PROXY,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.evidence.EMPIRICAL_REFERENCE,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.evidence.EXTERNAL_STANDARD,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.evidence.SCENARIO_PARAMETER,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.evidence.UNSUPPORTED,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.support.SUPPORTED,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.support.DEGRADED,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_weather.support.ABSTAIN,dynamic,current_weather,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.support.SUPPORTED,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.support.DEGRADED,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
schedule_reference.support.ABSTAIN,dynamic,schedule_reference,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.support.SUPPORTED,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.support.DEGRADED,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
current_state.support.ABSTAIN,dynamic,decision_node.operational_stage,M1_EVIDENCE_SUPPORT_ENCODING,COVERED,[]
turnaround_reference_minutes,static,turnaround_reference,PRE_STATIC_REFERENCE_PUBLICATION,COVERED,[]
taxi_reference_minutes,static,taxi_reference,PRE_STATIC_REFERENCE_PUBLICATION,COVERED,[]
