stage,q,status,n,k,overlap,slots_reassigned,reassigned_rate,delay_boundary_tie_count,consequence_boundary_tie_count,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,Capture_D_F,Capture_C_F,Delta_Capture_F_pp,Capture_F_status,Capture_D_P,Capture_C_P,Delta_Capture_P_pp,Capture_P_status,Capture_D_R,Capture_C_R,Delta_Capture_R_pp,Capture_R_status,Capture_D_F_continuity,Capture_C_F_continuity,Delta_Capture_F_continuity_pp,Capture_F_continuity_status,Capture_D_F_execution,Capture_C_F_execution,Delta_Capture_F_execution_pp,Capture_F_execution_status,Capture_D_F_propagation,Capture_C_F_propagation,Delta_Capture_F_propagation_pp,Capture_F_propagation_status,Capture_D_P_time,Capture_C_P_time,Delta_Capture_P_time_pp,Capture_P_time_status,Capture_D_P_itinerary,Capture_C_P_itinerary,Delta_Capture_P_itinerary_pp,Capture_P_itinerary_status,Capture_D_P_service,Capture_C_P_service,Delta_Capture_P_service_pp,Capture_P_service_status,Capture_D_R_operating,Capture_C_R_operating,Delta_Capture_R_operating_pp,Capture_R_operating_status,robust_count_m3,MissRate_D_m3,MissRate_C_m3,Delta_Miss_m3,robust_status_m3,robust_count_m4,MissRate_D_m4,MissRate_C_m4,Delta_Miss_m4,robust_status_m4,robust_count_m5,MissRate_D_m5,MissRate_C_m5,Delta_Miss_m5,robust_status_m5,Pareto_reversal_count_D,Pareto_rate_D,Pareto_complete_selected_D,Pareto_reversal_count_C,Pareto_rate_C,Pareto_complete_selected_C,replicate
PRE_IB,0.05,PASS,49,3,1,2,0.6666666666666666,2,2,0.04081632653061224,0.04081632653061224,0.13746407821939377,0.10368224076136834,-3.378183745802543,PASS,0.10978516958244917,0.1531844983768417,4.339932879439252,PASS,0.06613004539298885,0.1973563075847001,13.122626219171124,PASS,0.02721461187214612,0.0,-2.721461187214612,PASS,0.14457838462428985,0.09489303147829324,-4.96853531459966,PASS,0.138087553876938,0.11237724208004701,-2.5710311796890983,PASS,0.12077471024924834,0.16133569537242962,4.056098512318128,PASS,0.036347619554264875,0.10497621817955317,6.862859862528831,PASS,0.35636854759108294,0.18737688255816654,-16.89916650329164,PASS,0.06613004539298888,0.19735630758470016,13.12262621917113,PASS,6,0.6666666666666666,0.5,-0.16666666666666663,PASS,5,0.6,0.4,-0.19999999999999996,PASS,4,0.75,0.25,-0.5,PASS,0,0.0,3,0,0.0,3,0
PRE_IB,0.1,PASS,49,5,1,4,0.8,1,1,0.02040816326530612,0.02040816326530612,0.21217603201482058,0.15708176005781715,-5.509427195700342,PASS,0.14869670766191145,0.2431328668066982,9.443615914478675,PASS,0.08085780177709764,0.2940854755950172,21.322767381791955,PASS,0.028493150684931506,0.0,-2.8493150684931505,PASS,0.22565248775799623,0.14425671040954186,-8.139577734845439,PASS,0.21236432739181893,0.16999782244287603,-4.23665049489429,PASS,0.16084012245791135,0.25245006975104145,9.16099472931301,PASS,0.06666846872078046,0.18687513541464318,12.020666669386273,PASS,0.44206633443919413,0.30960582627548705,-13.246050816370708,PASS,0.08085780177709767,0.29408547559501724,21.32276738179196,PASS,6,0.6666666666666666,0.16666666666666666,-0.5,PASS,5,0.6,0.2,-0.39999999999999997,PASS,4,0.75,0.0,-0.75,PASS,0,0.0,5,0,0.0,5,0
PRE_IB,0.2,PASS,49,10,7,3,0.3,2,2,0.04081632653061224,0.04081632653061224,0.36068258810879894,0.3108152389193206,-4.986734918947833,PASS,0.3487423280458882,0.36110980022517825,1.2367472179290073,PASS,0.35064430678283676,0.49679283972437466,14.61485329415379,PASS,0.028493150684931506,0.02721461187214612,-0.1278538812785387,PASS,0.3628574713322026,0.293178715984223,-6.967875534797957,PASS,0.37265055883755516,0.3312437342804278,-4.140682455712735,PASS,0.36564451048187063,0.3815384635978983,1.5893953116027648,PASS,0.2374678199280851,0.23227715529524715,-0.519066463283796,PASS,0.6882356012794768,0.6370695933327784,-5.1166007946698455,PASS,0.35064430678283676,0.4967928397243747,14.614853294153797,PASS,6,0.16666666666666666,0.0,-0.16666666666666666,PASS,5,0.0,0.0,0.0,PASS,4,0.0,0.0,0.0,PASS,0,0.0,10,0,0.0,10,0
PRE_IB,0.3,PASS,49,15,10,5,0.3333333333333333,3,2,0.061224489795918366,0.04081632653061224,0.48921804649442624,0.4529161498083864,-3.6301896686039834,PASS,0.45910187033366057,0.477019582074849,1.7917711741188447,PASS,0.4382711852896913,0.6422862981190347,20.401511282934344,PASS,0.18118721461187215,0.02721461187214612,-15.397260273972602,PASS,0.491919459597582,0.4357159109526552,-5.620354864492677,PASS,0.49995697983059023,0.47872299695831283,-2.12339828722774,PASS,0.46332229943201886,0.5089795538147383,4.565725438271939,PASS,0.41911909206903175,0.27929904171165515,-13.98200503573766,PASS,0.8335329759370519,0.8177065716243753,-1.5826404312676567,PASS,0.43827118528969145,0.6422862981190349,20.401511282934347,PASS,6,0.16666666666666666,0.0,-0.16666666666666666,PASS,5,0.0,0.0,0.0,PASS,4,0.0,0.0,0.0,PASS,0,0.0,15,0,0.0,15,0
POST_IB_PRE_OB,0.05,PASS,118,6,4,2,0.3333333333333333,1,1,0.00847457627118644,0.00847457627118644,0.12238924174737377,0.11484093672399023,-0.7548305023383537,PASS,0.14843790944877258,0.16320747522230805,1.4769565773535471,PASS,0.11743670194248351,0.15594007533038212,3.8503373387898607,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.1213586136857851,0.11037855300742987,-1.0980060678355232,PASS,0.12293884739841772,0.11722060345261372,-0.5718243945804002,PASS,0.14916899531458055,0.160851702864059,1.1682707549478448,PASS,0.13119819656903534,0.17705583870039923,4.58576421313639,PASS,0.25754800009559137,0.2640201453507188,0.6472145255127459,PASS,0.1174367019424835,0.1559400753303821,3.8503373387898594,PASS,13,0.5384615384615384,0.5384615384615384,0.0,PASS,12,0.5,0.5,0.0,PASS,11,0.5454545454545454,0.45454545454545453,-0.09090909090909088,PASS,0,0.0,6,0,0.0,6,0
POST_IB_PRE_OB,0.1,PASS,118,12,10,2,0.16666666666666666,2,4,0.01694915254237288,0.03389830508474576,0.2191098179383748,0.2169832842749359,-0.2126533663438901,PASS,0.2413367635097823,0.25828105382125455,1.6944290311472239,PASS,0.22666590165799524,0.23622508320152874,0.9559181543533496,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.21600992837787145,0.21301500986730407,-0.2994918510567379,PASS,0.220762903938613,0.21909945607406758,-0.16634478645454198,PASS,0.24363688696539623,0.26261079004367727,1.8973903078281036,PASS,0.20040864412269452,0.19811192017723517,-0.22967239454593502,PASS,0.44021727553250356,0.4496056207650167,0.938834523251314,PASS,0.22666590165799524,0.23622508320152877,0.9559181543533524,PASS,13,0.23076923076923078,0.07692307692307693,-0.15384615384615385,PASS,12,0.16666666666666666,0.0,-0.16666666666666666,PASS,11,0.18181818181818182,0.0,-0.18181818181818182,PASS,0,0.0,12,0,0.0,12,0
POST_IB_PRE_OB,0.2,PASS,118,24,16,8,0.3333333333333333,3,2,0.025423728813559324,0.01694915254237288,0.38692871624714714,0.3531375235941501,-3.3791192652997015,PASS,0.40364227139705383,0.4036853066338187,0.0043035236764854545,PASS,0.30056590396425076,0.4800839070947789,17.951800313052814,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.38907280559828006,0.3393723878793019,-4.970041771897815,PASS,0.3857853322586407,0.36047809257167857,-2.5307239686962135,PASS,0.3976475190123183,0.41944866133358905,2.180114232127073,PASS,0.4429369152381839,0.2343820155118884,-20.855489972629552,PASS,0.6161964387415353,0.560491831925094,-5.570460681644129,PASS,0.30056590396425076,0.48008390709477883,17.951800313052807,PASS,13,0.07692307692307693,0.0,-0.07692307692307693,PASS,12,0.0,0.0,0.0,PASS,11,0.0,0.0,0.0,PASS,0,0.0,24,0,0.0,24,0
POST_IB_PRE_OB,0.3,PASS,118,36,25,11,0.3055555555555556,1,1,0.00847457627118644,0.00847457627118644,0.5141160089589463,0.47329994162952443,-4.081606732942183,PASS,0.5128172135472165,0.529868312551081,1.7051099003864478,PASS,0.41913311222548266,0.6661051750221969,24.697206279671423,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.5154544565686556,0.4531193492521832,-6.2335107316472405,PASS,0.5134022515935697,0.48406169751933137,-2.93405540742383,PASS,0.5037490559091102,0.540692492349787,3.694343644067677,PASS,0.5723608181759487,0.40950008798431564,-16.28607301916331,PASS,0.8332238105163521,0.6821624393431303,-15.106137117322183,PASS,0.4191331122254827,0.6661051750221968,24.69720627967141,PASS,13,0.07692307692307693,0.0,-0.07692307692307693,PASS,12,0.0,0.0,0.0,PASS,11,0.0,0.0,0.0,PASS,0,0.0,36,0,0.0,36,0
POST_OB_PRE_TO,0.05,PASS,62,4,3,1,0.25,4,4,0.06451612903225806,0.06451612903225806,0.20818705998941736,0.206282100526951,-0.19049594624663546,PASS,0.2836991707787824,0.30638861358264674,2.268944280386437,PASS,0.20818705998941736,0.206282100526951,-0.19049594624663546,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.20818705998941733,0.20628210052695098,-0.19049594624663546,PASS,0.2836991707787824,0.30638861358264674,2.268944280386437,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.20818705998941733,0.20628210052695098,-0.19049594624663546,PASS,7,0.42857142857142855,0.42857142857142855,0.0,PASS,7,0.42857142857142855,0.42857142857142855,0.0,PASS,7,0.42857142857142855,0.42857142857142855,0.0,PASS,0,0.0,4,0,0.0,4,0
POST_OB_PRE_TO,0.1,PASS,62,7,6,1,0.14285714285714285,2,4,0.03225806451612903,0.06451612903225806,0.35658133618299737,0.35560353940985,-0.09777967731473547,PASS,0.3713583677708049,0.4047648254357749,3.340645766497002,PASS,0.35658133618299737,0.35560353940985,-0.09777967731473547,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.3565813361829973,0.35560353940985,-0.09777967731472992,PASS,0.37135836777080494,0.40476482543577497,3.340645766497002,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.3565813361829973,0.35560353940985,-0.09777967731472992,PASS,7,0.14285714285714285,0.0,-0.14285714285714285,PASS,7,0.14285714285714285,0.0,-0.14285714285714285,PASS,7,0.14285714285714285,0.0,-0.14285714285714285,PASS,0,0.0,7,0,0.0,7,0
POST_OB_PRE_TO,0.2,PASS,62,13,13,0,0.0,2,2,0.03225806451612903,0.03225806451612903,0.6124625275299693,0.6124625275299693,0.0,PASS,0.5640902976158912,0.5640902976158912,0.0,PASS,0.6124625275299694,0.6124625275299694,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.6124625275299693,0.6124625275299693,0.0,PASS,0.5640902976158911,0.5640902976158911,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.6124625275299693,0.6124625275299693,0.0,PASS,7,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,0,0.0,13,0,0.0,13,0
POST_OB_PRE_TO,0.3,PASS,62,19,19,0,0.0,3,3,0.04838709677419355,0.04838709677419355,0.7797831118152572,0.7797831118152572,0.0,PASS,0.7682111583129843,0.7682111583129843,0.0,PASS,0.779783111815257,0.779783111815257,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.7797831118152572,0.7797831118152572,0.0,PASS,0.7682111583129847,0.7682111583129847,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.7797831118152572,0.7797831118152572,0.0,PASS,7,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,7,0.0,0.0,0.0,PASS,0,0.0,19,0,0.0,19,0
PRE_IB,0.05,PASS,44,3,2,1,0.3333333333333333,2,1,0.045454545454545456,0.022727272727272728,0.1617158400441647,0.14801974261057005,-1.3696097433594652,PASS,0.1405210555685811,0.17588736625612242,3.536631068754131,PASS,0.08887859864826131,0.1717959617776213,8.291736312935999,PASS,0.05750675414897723,0.05750675414897723,0.0,PASS,0.16825017747918075,0.14610507866742778,-2.2145098811752972,PASS,0.16055845794218027,0.1509869878380857,-0.9571470104094565,PASS,0.14903985247017235,0.1817493957636226,3.2709543293450243,PASS,0.060033485344091586,0.1216348745916352,6.160138924754362,PASS,0.35843638869535976,0.3094520620359406,-4.8984326659419155,PASS,0.08887859864826131,0.1717959617776213,8.291736312935999,PASS,6,0.5,0.5,0.0,PASS,4,0.5,0.25,-0.25,PASS,4,0.5,0.25,-0.25,PASS,0,0.0,3,0,0.0,3,1
PRE_IB,0.1,PASS,44,5,2,3,0.6,2,1,0.045454545454545456,0.022727272727272728,0.24960866648923155,0.20991590597148113,-3.969276051775042,PASS,0.19032642022320023,0.22355723252874457,3.323081230554434,PASS,0.10867266261530875,0.3230881744635466,21.441551184823783,PASS,0.06020841373986878,0.05750675414897723,-0.2701659590891553,PASS,0.26259852890570373,0.20069969451252215,-6.189883439318159,PASS,0.24692224585530353,0.21804844147567146,-2.8873804379632078,PASS,0.19848185164708979,0.23519304613110018,3.671119448401039,PASS,0.11011286540750602,0.12395229665863816,1.3839431251132142,PASS,0.4446314399832986,0.3717818076521362,-7.284963233116243,PASS,0.10867266261530875,0.32308817446354654,21.44155118482378,PASS,6,0.5,0.16666666666666666,-0.33333333333333337,PASS,4,0.5,0.0,-0.5,PASS,4,0.5,0.0,-0.5,PASS,0,0.0,5,0,0.0,5,1
PRE_IB,0.2,PASS,44,9,6,3,0.3333333333333333,1,1,0.022727272727272728,0.022727272727272728,0.40108075652963876,0.3539818066590439,-4.709894987059488,PASS,0.32377151757865175,0.35466450699688096,3.0892989418229213,PASS,0.2939448811934818,0.42427457837192895,13.032969717844717,PASS,0.06291007333076032,0.07140100347356233,0.8490930142802013,PASS,0.41215512729838094,0.34925735661751584,-6.289777068086511,PASS,0.4026268624259704,0.3625896738919986,-4.0037188533971815,PASS,0.33391876733450776,0.3669447254316777,3.302595809716996,PASS,0.22778674841766575,0.2524025520207886,2.461580360312285,PASS,0.5849515896058111,0.4697504609709746,-11.520112863483645,PASS,0.2939448811934817,0.42427457837192895,13.032969717844722,PASS,6,0.16666666666666666,0.0,-0.16666666666666666,PASS,4,0.0,0.0,0.0,PASS,4,0.0,0.0,0.0,PASS,0,0.0,9,0,0.0,9,1
PRE_IB,0.3,PASS,44,14,11,3,0.21428571428571427,2,2,0.045454545454545456,0.045454545454545456,0.5653373245615089,0.5382864977652012,-2.705082679630766,PASS,0.5126643037433364,0.530611448584172,1.7947144840835594,PASS,0.31594210102079046,0.46453546173200766,14.85933607112172,PASS,0.28676186800463144,0.13199536858355848,-15.476649942107295,PASS,0.5864107959273928,0.5463625799078674,-4.004821601952536,PASS,0.5603562673205366,0.542880817465733,-1.7475449854803538,PASS,0.5085966759166207,0.540504253821668,3.190757790504728,PASS,0.5102011583436398,0.4323393083325425,-7.7861850011097244,PASS,1.0,0.8531258799390008,-14.68741200609992,PASS,0.3159421010207905,0.4645354617320077,14.85933607112172,PASS,6,0.16666666666666666,0.0,-0.16666666666666666,PASS,4,0.0,0.0,0.0,PASS,4,0.0,0.0,0.0,PASS,0,0.0,14,0,0.0,14,1
POST_IB_PRE_OB,0.05,PASS,121,7,5,2,0.2857142857142857,3,4,0.024793388429752067,0.03305785123966942,0.14546210736614687,0.1399082287669342,-0.5553878599212664,PASS,0.1394840046803048,0.1654450140092514,2.59610093289466,PASS,0.0870805278791906,0.14399542580744445,5.691489792825386,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.14868886850423862,0.13926005183255413,-0.9428816671684492,PASS,0.14372781172579516,0.14025660609744106,-0.3471205628354096,PASS,0.136467114383126,0.16575307835316258,2.9285963970036577,PASS,0.15736766839160582,0.15279200087026437,-0.45756675213414477,PASS,0.2452791214682042,0.2697879316903957,2.4508810222191535,PASS,0.0870805278791906,0.14399542580744445,5.691489792825386,PASS,13,0.5384615384615384,0.46153846153846156,-0.07692307692307687,PASS,13,0.5384615384615384,0.46153846153846156,-0.07692307692307687,PASS,12,0.5833333333333334,0.4166666666666667,-0.16666666666666669,PASS,0,0.0,7,0,0.0,7,1
