stage,original_episode_id,decision_node_id,D,S_C,view_count,robust_high_consequence
POST_IB_PRE_OB,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:edfdf585c6afb6dc8894af29de5681887c288f1d2cf8a178c623dd55078b015f,2.8819781201798063,0.08552406010403012,0,False
POST_OB_PRE_TO,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:cb5f6cf3c0f422d7f078044a7a0314c325f9cd6d8fb1fae4e76fac09488f39d4,0.09277375787496567,0.008118621586496516,0,False
PRE_IB,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:8e0c2d381ffe02968cef5fef7c1855a081829cb787a00bafcecc5c69be195552,3.908353880161141,0.15009124548443872,0,False
POST_IB_PRE_OB,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:1d3c7da17e5875f62cb5d8a0dfa06c0ccf049ac6bad37f7e430ae3c81b0358fe,5.02967085968703,0.16453809722327614,0,False
PRE_IB,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:47182a6b63fe793cc42e3024d0a5762fdf80e1de50b5d6caa1eb6cfc73beebaf,4.423260961659253,0.15674823581303013,0,False
POST_IB_PRE_OB,sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:53a1308c333c44d8f8a523127b010c5071e6ba0b600d4f3eb5e869104000a325,6.6624034372507595,0.3187147592111615,5,True
POST_OB_PRE_TO,sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:16549b4446bed8af4961d51d468de67aa1eb4530b9bb814cec18424c9c0e7b13,2.339256246224977,0.19941380080373336,0,False
PRE_IB,sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:df30aa665df52d2c6d561a63b364df460221aaffc1945a83b0abc34915f8d3dd,6.405868379864842,0.3033613793718708,0,False
POST_IB_PRE_OB,sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,sha256:0caa35f6636548b031c543a6d8678b41b4aea08deec7a3983c6cc68a1ece117a,4.7539950591744855,0.13603074517225258,0,False
POST_OB_PRE_TO,sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,sha256:b749fe74b3c8555690ca81375653abab13cb95933388903a0de21d4fa3a11472,0.0,0.0,0,False
POST_IB_PRE_OB,sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,11.032764510600828,0.612342620786922,8,True
POST_OB_PRE_TO,sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,sha256:3c2e16c8014d86883b1a1cc494797148ebdfa45a4b3e29bac08c16be990b18e2,3.181841200464987,0.3046014227980136,3,True
PRE_IB,sha256:0918063938e7c4457d171896b2fc2534f6874f77bf8065cfc20b298899c89e7a,sha256:ada0ac6afb7776eca9a9a58aae4d07131bed77842d629841d7c2453f76f04020,5.322609665221535,0.19164202077671355,0,False
POST_IB_PRE_OB,sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,sha256:e86aa95cd76b1e745cdbdda75649a98ed6f6e52d2a4a73161fd7aa9d7b818412,4.108538136235438,0.10089906144551808,0,False
POST_OB_PRE_TO,sha256:0a3614eb32c0724b572424173c306ae90f30957ba07dcbfaa924207801aa32fa,sha256:d5ab0f2ee93444bf969a3eb5ca7911b43d79fb93f9f2b632ab824a9e67d66d7f,0.035697273910045624,0.0029919740041428507,0,False
POST_IB_PRE_OB,sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,sha256:f6bf7783ee0b170dbb73ee5d418e04fec5fb282fd403bad976c9b1a35539fc83,4.440579584725429,0.12935101137504143,0,False
POST_OB_PRE_TO,sha256:0dcfae5a2f00a7a4f20494ea14c926169491cdcb628fb59e54a304d5013dd671,sha256:e2825bd890af19aaf18b49fc6e931c81cb18e9f0f3d827346e2651d9ef345023,1.426438427563231,0.11704461548437756,0,False
POST_IB_PRE_OB,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:edfdf585c6afb6dc8894af29de5681887c288f1d2cf8a178c623dd55078b015f,2.8819781201798063,0.08552406010403012,0,False
POST_OB_PRE_TO,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:cb5f6cf3c0f422d7f078044a7a0314c325f9cd6d8fb1fae4e76fac09488f39d4,0.09277375787496567,0.008118621586496516,0,False
PRE_IB,sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:8e0c2d381ffe02968cef5fef7c1855a081829cb787a00bafcecc5c69be195552,3.908353880161141,0.15009124548443872,0,False
POST_IB_PRE_OB,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:1d3c7da17e5875f62cb5d8a0dfa06c0ccf049ac6bad37f7e430ae3c81b0358fe,5.02967085968703,0.16453809722327614,0,False
PRE_IB,sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:47182a6b63fe793cc42e3024d0a5762fdf80e1de50b5d6caa1eb6cfc73beebaf,4.423260961659253,0.15674823581303013,0,False
POST_IB_PRE_OB,sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:53a1308c333c44d8f8a523127b010c5071e6ba0b600d4f3eb5e869104000a325,6.6624034372507595,0.3187147592111615,5,True
POST_OB_PRE_TO,sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:16549b4446bed8af4961d51d468de67aa1eb4530b9bb814cec18424c9c0e7b13,2.339256246224977,0.19941380080373336,0,False
PRE_IB,sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:df30aa665df52d2c6d561a63b364df460221aaffc1945a83b0abc34915f8d3dd,6.405868379864842,0.3033613793718708,0,False
POST_IB_PRE_OB,sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,sha256:0caa35f6636548b031c543a6d8678b41b4aea08deec7a3983c6cc68a1ece117a,4.7539950591744855,0.13603074517225258,0,False
POST_OB_PRE_TO,sha256:06175f5b45577085e11e76989574ab452a8bd8302e12d0b474181b63941dc70a,sha256:b749fe74b3c8555690ca81375653abab13cb95933388903a0de21d4fa3a11472,0.0,0.0,0,False
POST_IB_PRE_OB,sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,11.032764510600828,0.612342620786922,8,True
