original_episode_id,decision_node_id,technical_node_id,stage,m,view_count,robust_high_consequence
sha256:2f88de8e2dfd4dd93b29ae1d50513fed3ef3d03131015ee83f0b2c5a4f8b85f1,sha256:d762d95fe2042a6872cb92bd4ee8044dc58bd4a8aa9a9926e3468366aa0fade1,sha256:d762d95fe2042a6872cb92bd4ee8044dc58bd4a8aa9a9926e3468366aa0fade1,POST_IB_PRE_OB,3,0,False
sha256:303410c378ce9366901a9312d7eca17462f978c69efe6a4716458489c2a91129,sha256:c44a1224a2cc3e9d98aa3c35267bce55ed67c05f820f0003d16b24f03105526e,sha256:c44a1224a2cc3e9d98aa3c35267bce55ed67c05f820f0003d16b24f03105526e,POST_IB_PRE_OB,3,0,False
sha256:31440bc3e5679e7db44d799df4cda40a6b4b5036b4248d2c215dd559ca7ab204,sha256:6661d6a93bb32debe91dc662587a3462ee7baad0fdcb5690963c0ede833d3f99,sha256:6661d6a93bb32debe91dc662587a3462ee7baad0fdcb5690963c0ede833d3f99,POST_IB_PRE_OB,3,0,False
sha256:330272da4115b59e0fc45effab0c00959f23f483620a509aa53295aee8a5c81d,sha256:b462410bcd04c5203ab4015ca22b436129106561c99f4789315527361d95a201,sha256:b462410bcd04c5203ab4015ca22b436129106561c99f4789315527361d95a201,POST_IB_PRE_OB,3,0,False
sha256:34e1640dddb2189641d8114c383322b89b44b2f9f203668e9b4dd9f3c59b2385,sha256:f8c6f5a943410e5e571ed702d40c4f8b201d726bb0c73d4d10486aa88ad748c1,sha256:f8c6f5a943410e5e571ed702d40c4f8b201d726bb0c73d4d10486aa88ad748c1,POST_IB_PRE_OB,3,0,False
sha256:351755fd8a70eb14bc9a8058768a60fcb02b32acbcda041a7566b4fdcb7634d0,sha256:0a69737c7deb68ab687c57cbe64201c48f7db25bb1cc4a59983f5a155189a881,sha256:0a69737c7deb68ab687c57cbe64201c48f7db25bb1cc4a59983f5a155189a881,POST_IB_PRE_OB,3,0,False
sha256:39638a61edea8c9430fb7c6a9a25400c086b685169f8504a1919ca2d69d06558,sha256:95a2453515b40dc6bb5815de94ce9e01ffdfac886419efde1b6e278f9807fe92,sha256:95a2453515b40dc6bb5815de94ce9e01ffdfac886419efde1b6e278f9807fe92,POST_IB_PRE_OB,3,0,False
sha256:3c0efef12c89add8481f7b74abc06ace2acfc7c9ae2c8911f59a6f4d11affca8,sha256:d21ea2c3d6c4835187b0da3c1a974383dcf25bc948f1bbcce580a84d14b3537f,sha256:d21ea2c3d6c4835187b0da3c1a974383dcf25bc948f1bbcce580a84d14b3537f,POST_IB_PRE_OB,3,6,True
sha256:3cbe1d3c28fefc5e05634bd16bac697f6f3b6c8ec24dc0269b5f2a12417ef2a2,sha256:e036a0ad1363191f327fec493c0aea9ee57da2330daebd9de9db0ba59608341f,sha256:e036a0ad1363191f327fec493c0aea9ee57da2330daebd9de9db0ba59608341f,POST_IB_PRE_OB,3,0,False
sha256:402e50f1ff2b6883ca83dfccca0fc7f64b884554559ee570d3f1a5fbfb592f77,sha256:0e005d35d71579eaa9c49d2d2d85827ad46d8d933c73428175f3afb9c7af5612,sha256:0e005d35d71579eaa9c49d2d2d85827ad46d8d933c73428175f3afb9c7af5612,POST_IB_PRE_OB,3,0,False
sha256:42a14675030dafcd004783399878efe6902b6b8df0bc9a976dd8eec7f557edc3,sha256:437397c9d275cd6515c812f68e4a4408fdfceb791291c825df13a564000725eb,sha256:437397c9d275cd6515c812f68e4a4408fdfceb791291c825df13a564000725eb,POST_IB_PRE_OB,3,1,False
sha256:436b80c2e54bc585729f4ed9aba0e7507351da1428093c88f7198ece74393838,sha256:d5db3539bdca289cd2611d373548326b60607d0dc1feccab83ed780c4bb72592,sha256:d5db3539bdca289cd2611d373548326b60607d0dc1feccab83ed780c4bb72592,POST_IB_PRE_OB,3,0,False
sha256:44f1aa2681ebb944368caf826e3a034a76e9d2e60a172fec117d6fceea3c2138,sha256:653d8652cfbaae83bd4f652f716ae5f5414f34f27af68778ea1eddece0c950b1,sha256:653d8652cfbaae83bd4f652f716ae5f5414f34f27af68778ea1eddece0c950b1,POST_IB_PRE_OB,3,1,False
sha256:4b57944dca417714024c2cb73b578abc8e9c84656e9c472735690e42f962b4a7,sha256:b61b41dfbb5e9a4fd307732b727adaab5722ded5b97efe7f9aa3f903cf057e8f,sha256:b61b41dfbb5e9a4fd307732b727adaab5722ded5b97efe7f9aa3f903cf057e8f,POST_IB_PRE_OB,3,7,True
sha256:4cc5721218e3c92a3972961c724182e47afaa7e72e67d7fcf5b0b181c236c862,sha256:b9c2282887e37bdee10e1e0681c901473fd45db4bbbea92bc1a19d3de8750fd0,sha256:b9c2282887e37bdee10e1e0681c901473fd45db4bbbea92bc1a19d3de8750fd0,POST_IB_PRE_OB,3,0,False
sha256:4ceded2e20c37c4bd58c23dacbce7a3e6c6f344645cf12d5b9d53daaba772059,sha256:8c6a59f2668178d3e8460c48e6a3e79cdd8b5452759c1b2cc9a05436f89b66a6,sha256:8c6a59f2668178d3e8460c48e6a3e79cdd8b5452759c1b2cc9a05436f89b66a6,POST_IB_PRE_OB,3,0,False
sha256:4dd77563fd50d7c805fc789c9974ff08e00177b1376203e49df9b84fdfaa9f47,sha256:8451119d54ab50c58ffa99949c291d4fbf4d35da0cfd8529af03707ae8fa14f8,sha256:8451119d54ab50c58ffa99949c291d4fbf4d35da0cfd8529af03707ae8fa14f8,POST_IB_PRE_OB,3,0,False
sha256:510abd23e23e320ff38ddd1f3853911be839643757730779fe7933a210573ab7,sha256:4afc6772d3bfc6dbeb82078193742649dfb71785fdf021496a8015739746b3a6,sha256:4afc6772d3bfc6dbeb82078193742649dfb71785fdf021496a8015739746b3a6,POST_IB_PRE_OB,3,0,False
sha256:5127cac22e525d592ee8cb981de5e070b24764e1585466b612ef1afa149955fb,sha256:f11e7e067cad51427600c4d6ce3aa0e2e72560a6fe937104bb81c5c6fb77ce0c,sha256:f11e7e067cad51427600c4d6ce3aa0e2e72560a6fe937104bb81c5c6fb77ce0c,POST_IB_PRE_OB,3,0,False
sha256:56fd853a34b14f4f2c93241dfde7c8a8978cb393bc464515c91e4837bd3cf201,sha256:d072716e8dd92ee7e7cea50827aaa156b435deb813d555f03f8b4f3d78b251b8,sha256:d072716e8dd92ee7e7cea50827aaa156b435deb813d555f03f8b4f3d78b251b8,POST_IB_PRE_OB,3,0,False
sha256:5beb1a6d99bbbd17fd51c7fbc4ef4e63ed2d7101e5ceda1492c756db1f2122c7,sha256:7a256d3c7a3f6339a002db4d3750843b450e5e219281f19854225457f06a0f2d,sha256:7a256d3c7a3f6339a002db4d3750843b450e5e219281f19854225457f06a0f2d,POST_IB_PRE_OB,3,0,False
sha256:61faf60db885a5f7432518ff29e228ecf3f8d4aa0f4e90860233da996e7d6fc7,sha256:24f380aa8e9f80d9934fb836d7dd32ed5aa607d22236bf686feefe206c314d8b,sha256:24f380aa8e9f80d9934fb836d7dd32ed5aa607d22236bf686feefe206c314d8b,POST_IB_PRE_OB,3,0,False
sha256:62af01a047ac10066296e766243f1e1f3f03b4b107a166319407db7df23f4dc4,sha256:2afb084fcd2d2c66556ed19b0f6ccdac6418a2cb1f998e8378550c7b9bc8fb1c,sha256:2afb084fcd2d2c66556ed19b0f6ccdac6418a2cb1f998e8378550c7b9bc8fb1c,POST_IB_PRE_OB,3,0,False
sha256:63332b181b4f85d57c3f1f8aa629d80c9386423705d6bac0512a19938277ed18,sha256:888e8f24088a9e50866ef9ee69de81e3c8314fd1d3da25aca45535a3375580f3,sha256:888e8f24088a9e50866ef9ee69de81e3c8314fd1d3da25aca45535a3375580f3,POST_IB_PRE_OB,3,0,False
sha256:651d1c25c6869ad0047b73cebaf29447014385404c2a6300ab266c3af01b5b5b,sha256:7550976f06a0a0128585aa80ed4b23c50c9b915e503f0cb6edc0314c9969b04f,sha256:7550976f06a0a0128585aa80ed4b23c50c9b915e503f0cb6edc0314c9969b04f,POST_IB_PRE_OB,3,0,False
