stage,q,status,n,k,Delta_Capture_F_pp,Delta_Capture_P_pp,Delta_Capture_R_pp,Delta_Capture_F_continuity_pp,Delta_Capture_F_execution_pp,Delta_Capture_F_propagation_pp,Delta_Capture_P_time_pp,Delta_Capture_P_itinerary_pp,Delta_Capture_P_service_pp,Delta_Capture_R_operating_pp,Delta_Capture_F_pp_ci_low,Delta_Capture_F_pp_ci_high,Delta_Capture_P_pp_ci_low,Delta_Capture_P_pp_ci_high,Delta_Capture_R_pp_ci_low,Delta_Capture_R_pp_ci_high,Delta_Capture_F_continuity_pp_ci_low,Delta_Capture_F_continuity_pp_ci_high,Delta_Capture_F_execution_pp_ci_low,Delta_Capture_F_execution_pp_ci_high,Delta_Capture_F_propagation_pp_ci_low,Delta_Capture_F_propagation_pp_ci_high,Delta_Capture_P_time_pp_ci_low,Delta_Capture_P_time_pp_ci_high,Delta_Capture_P_itinerary_pp_ci_low,Delta_Capture_P_itinerary_pp_ci_high,Delta_Capture_P_service_pp_ci_low,Delta_Capture_P_service_pp_ci_high,Delta_Capture_R_operating_pp_ci_low,Delta_Capture_R_operating_pp_ci_high
PRE_IB,0.05,PASS,48,3,-2.2191416764762604,1.5629570933472225,6.901312149034658,-4.077723043240285,-3.0859395736638677,-1.7255260196005984,1.3268478627488562,4.443157189248637,-8.846891758508235,6.901312149034658,-5.415079238704811,0.0,-0.22343880680095857,7.995787767863453,0.0,17.194347381884786,-9.455520628302082,0.0,-7.668030992777799,0.0,-4.290668331885663,0.0,0.0,7.277111067647926,-3.221499730617705,17.778919336688638,-23.61002765713779,7.48411736227263,0.0,17.194347381884793
PRE_IB,0.1,PASS,48,5,-4.355365570222681,6.621635521387328,15.040298980272809,-4.269293924466338,-6.27802769572659,-3.3698797615824616,6.14615906750661,11.757461586045697,-6.160156588552495,15.040298980272812,-7.318190657644805,0.0,-0.20243938631411357,11.171143169740857,0.0,23.878637297467677,-11.33426771472008,0.0,-10.19804827795493,0.0,-5.860781520722117,0.0,0.0,10.564355605005945,-5.365246146222032,23.50025668557811,-24.895671865070558,11.623652150822643,0.0,23.87863729746768
PRE_IB,0.2,PASS,48,10,-5.182014543140073,5.205548348066463,17.863534445273416,-0.19157088122605387,-7.55803148541534,-4.091128760630469,5.230457582264636,5.670375323485366,-3.163134706551418,17.863534445273416,-9.001784114465327,-1.380829788702339,-2.190324656889302,12.17318677464197,3.946338172897624,28.88216852770817,-11.642644718626771,0.0,-12.60438411641046,-2.1319538868783656,-7.46097567498274,-0.9070369352935126,-1.4946245601864767,12.579545724880406,-13.83826416483578,16.19557999305144,-25.420925273433227,19.989961676090758,3.946338172897624,28.882168527708167
PRE_IB,0.3,PASS,48,15,-5.775344288681151,1.5714639212747072,20.12962363747502,-7.443897099069513,-8.310251313707939,-4.429716173915765,2.8808581432538394,-8.690256064191914,-11.034172256338925,20.129623637475014,-9.535951189163042,-1.529001596264322,-2.289387566507283,9.852814300434373,5.370210231267498,30.35449210481423,-27.082923018198496,0.0,-13.338702333317425,-2.1804754336883057,-7.840930866323548,-0.8044291766555018,-1.6811847523152277,10.72727033270639,-24.32829032567254,9.700230257943849,-31.259325970924507,15.198744961347119,5.370210231267503,30.354492104814238
POST_IB_PRE_OB,0.05,PASS,120,6,-2.0332747571706196,4.831919664449109,9.289537031769353,,-2.8382378925141976,-1.6055884622172805,4.3421207391305225,10.59781980777927,1.19936019885378,9.289537031769353,-4.0284306338652,-0.3711435408011204,0.5979696726836353,7.931504258851959,1.0351610630999617,17.58210964767527,,,-5.3593482614094015,-0.5910382690469632,-3.342883751621644,-0.20549128966375205,0.62215135958275,7.820506141738593,-4.9286146612376855,22.05683782016736,-3.081507969404969,9.631026916050802,1.0351610630999604,17.58210964767527
POST_IB_PRE_OB,0.1,PASS,120,12,-2.181140338242296,2.5345175001107583,7.860405152602127,,-2.8933409780156905,-1.8027398382516047,2.707901517063746,1.0344694845552422,-0.4265216843396147,7.860405152602129,-4.0321433989867845,-0.29426677715248595,-0.23661445510261225,7.117391458729524,0.6674155139300066,17.892806005204164,,,-5.438276780249073,-0.46907007125588174,-3.347189988226353,-0.1915840726284472,-0.12912236706254854,7.361866216211516,-10.610356219782965,14.394015979612883,-6.815357284994361,8.990140163013681,0.6674155139300093,17.892806005204168
POST_IB_PRE_OB,0.2,PASS,120,24,-4.5686552258155935,1.2577206411075792,17.582936391509758,,-6.1408420435459075,-3.7333340470854015,1.8718745194421016,-4.117563112716239,-8.74505374933021,17.58293639150976,-6.538932222650089,-1.2305120704183448,-1.295836076154112,4.6725507599238805,3.7660634408427174,31.53812045816793,,,-9.154288466715734,-1.7054402358420957,-5.162299807367904,-1.0146387500140654,-0.6646004815805098,5.9210141062364645,-18.099868600657,0.4441202022652603,-19.32280596897569,4.095841900618242,3.7660634408427174,31.53812045816791
POST_IB_PRE_OB,0.3,PASS,120,36,-3.182723974396773,2.3904680563930247,24.37154493893299,,-5.149437614202357,-2.137786097230976,3.7648513260001684,-11.44977539225225,-5.776880598344225,24.371544938932978,-5.621361034307964,-1.6280472128610208,-0.6363150132286998,5.747487224815141,12.01316997645471,36.984288251777855,,,-8.581828128486366,-2.607102664996897,-4.228865914681044,-1.094904954895459,0.7541889357669516,7.572141681600093,-23.64064696156469,-2.112122170587907,-18.437640966161986,2.4736907141366515,12.013169976454694,36.984288251777855
POST_OB_PRE_TO,0.05,PASS,67,4,0.0,0.0,0.0,,,0.0,0.0,,,0.0,-0.5397677392004742,0.0,0.0,9.92299176280199,-0.5397677392004714,0.0,,,,,-0.5397677392004742,0.0,0.0,9.92299176280199,,,,,-0.5397677392004742,0.0
POST_OB_PRE_TO,0.1,PASS,67,7,-0.21640179666382875,5.28743114765976,-0.21640179666383985,,,-0.21640179666383985,5.28743114765976,,,-0.21640179666383985,-0.7093452150772847,0.0,0.0,11.639045976721313,-0.7093452150772955,0.0,,,,,-0.7093452150772901,0.0,0.0,11.639045976721313,,,,,-0.7093452150772901,0.0
