stage,N,spearman_P_V,kendall_P_V,priority_quantile,quantile_N,median_V,IQR_V,positive_V_share
PRE,5,-0.09999999999999999,0.0,Q1,2,0.012395079464468495,0.0065785893172174426,1.0
PRE,5,-0.09999999999999999,0.0,Q2,1,0.0,0.0,0.0
PRE,5,-0.09999999999999999,0.0,Q3,1,0.07456767895272842,0.0,1.0
PRE,5,-0.09999999999999999,0.0,Q4,1,0.005670012034530769,0.0,1.0
TURN,12,0.2105459176997223,0.1651445647689541,Q1,3,0.0,0.03904797917832176,0.3333333333333333
TURN,12,0.2105459176997223,0.1651445647689541,Q2,3,0.0,0.0038826739268452704,0.3333333333333333
TURN,12,0.2105459176997223,0.1651445647689541,Q3,3,0.0,0.04281861133374443,0.3333333333333333
TURN,12,0.2105459176997223,0.1651445647689541,Q4,3,0.0014567630093325068,0.009065873864000373,0.6666666666666666
