variant,variant_id,n_nodes,MAE_minutes,CRPS_minutes,Brier,Calibration_gap,Coverage
No history,NO_HISTORY,1769,7.12033274,21.25959173,0.27386698,0.15826062,0.30966803
Current state only,CURRENT_STATE_ONLY,1769,7.12033274,21.25959173,0.27386698,0.15826062,0.30966803
History-conditioned GRU H32,HISTORY_CONDITIONED_GRU_H32,1769,7.12769113,21.12051927,0.27291531,0.15271810,0.31120413
