module,relative_path,n1_exists,n14_exists,status,n1_logical_digest,n14_logical_digest,detail
overall_run,run_summary.json,True,False,FAIL,,,registry file missing
overall_run,artifact_registry.json,True,False,FAIL,,,registry file missing
overall_adv,run_summary.json,True,False,FAIL,,,registry file missing
overall_adv,artifact_registry.json,True,False,FAIL,,,registry file missing
part_adv,run_summary.json,True,False,FAIL,,,registry file missing
part_adv,artifact_registry.json,True,False,FAIL,,,registry file missing
