module,relative_path,n1_exists,n14_exists,status
overall_run,action_metadata.parquet,True,False,FAIL
overall_run,audit.parquet,True,False,FAIL
overall_run,failure_records.parquet,True,False,FAIL
overall_run,m1_predictive_samples/part.parquet,True,False,FAIL
overall_run,m3_action_library.parquet,True,False,FAIL
overall_run,m3_response_audit.parquet,True,False,FAIL
overall_run,m3_response_parameters.parquet,True,False,FAIL
overall_run,m3_response_samples.parquet,True,False,FAIL
overall_run,m4_action_scores.parquet,True,False,FAIL
overall_run,m4_candidate_screen.parquet,True,False,FAIL
overall_run,m4_ranking_all_k.parquet,True,False,FAIL
overall_run,m4_ranking_k1.parquet,True,False,FAIL
overall_run,m4_ranking_k2.parquet,True,False,FAIL
overall_run,m4_ranking_k3.parquet,True,False,FAIL
overall_run,m4_ranking_k5.parquet,True,False,FAIL
overall_run,m4_rankings.parquet,True,False,FAIL
overall_run,m4_recommendations.parquet,True,False,FAIL
overall_run,metrics/m1_feature_audit.parquet,True,False,FAIL
overall_run,metrics/m1_predictions_evaluation.parquet,True,False,FAIL
overall_run,metrics/m1_summary_evaluation.parquet,True,False,FAIL
overall_run,metrics/m1_tuning.parquet,True,False,FAIL
overall_run,metrics/m2_channel_correlation.parquet,True,False,FAIL
overall_run,metrics/m2_channel_summary.parquet,True,False,FAIL
overall_run,metrics/m2_summary.parquet,True,False,FAIL
overall_run,metrics/m3_audit.parquet,True,False,FAIL
overall_run,metrics/m4_action_scores.parquet,True,False,FAIL
overall_run,metrics/m4_physical_screening.parquet,True,False,FAIL
overall_run,metrics/m4_rankings.parquet,True,False,FAIL
overall_run,parameter_manifest.parquet,True,False,FAIL
overall_adv,audit.parquet,True,False,FAIL
overall_adv,benchmark_action_outcomes/part.parquet,True,False,FAIL
overall_adv,bootstrap_results.parquet,True,False,FAIL
overall_adv,checkpoints/GLOBAL_FPR_decisions.parquet,True,False,FAIL
overall_adv,checkpoints/LOCAL_F_decisions.parquet,True,False,FAIL
overall_adv,local_f_scores.parquet,True,False,FAIL
overall_adv,m4_common_support_cohort.parquet,True,False,FAIL
overall_adv,m4_selected_action_distribution.parquet,True,False,FAIL
overall_adv,paired_metrics.parquet,True,False,FAIL
overall_adv,policy_decisions.parquet,True,False,FAIL
overall_adv,ranking_comparison_1235.parquet,True,False,FAIL
overall_adv,ranking_policy_prefixes.parquet,True,False,FAIL
overall_adv,ranking_summary_1235.parquet,True,False,FAIL
overall_adv,recovery_case_metrics.parquet,True,False,FAIL
part_adv,audit.parquet,True,False,FAIL
part_adv,benchmark_action_scores.parquet,True,False,FAIL
part_adv,input_adapter/m1_model_frame.parquet,True,False,FAIL
part_adv,m1/m1_downstream_propagation.parquet,True,False,FAIL
part_adv,m1/m1_downstream_results.parquet,True,False,FAIL
part_adv,m1/m1_model_metrics.parquet,True,False,FAIL
part_adv,m1/m1_pairwise_decomposition.parquet,True,False,FAIL
part_adv,m1/m1_predictions.parquet,True,False,FAIL
part_adv,m1/m1_predictive_samples.parquet,True,False,FAIL
part_adv,m1/m1_propagated_cost_samples.parquet,True,False,FAIL
part_adv,m1/m4_selection_path.parquet,True,False,FAIL
part_adv,m1/ranking_prefixes_1235.parquet,True,False,FAIL
part_adv,m1/recommendation_agreement_1235.parquet,True,False,FAIL
part_adv,m1/recommendation_agreement_summary_1235.parquet,True,False,FAIL
part_adv,m2/m2_downstream_stability.parquet,True,False,FAIL
part_adv,m2/m2_sensitivity_results.parquet,True,False,FAIL
part_adv,m2/m2_structure_comparison.parquet,True,False,FAIL
part_adv,m4/m4_variant_metrics.parquet,True,False,FAIL
part_adv,m4/m4_variant_scores.parquet,True,False,FAIL
part_adv,m4_common_support_cohort.parquet,True,False,FAIL
