baseline,mae_minutes,crps_minutes,brier,calibration_gap,fit_seconds,predict_seconds
HISTORICAL,8.680947166712292,33.21557157819721,0.2628139743340234,0.18436078936114128,0.0,0.0
LIGHTGBM,10.856319630351152,34.395826630841206,0.3084705435280078,0.2537698192158515,1.4504703999991762,0.025311299999884795
RANDOM_FOREST,9.907568578899308,36.43248213396931,0.30614352180570764,0.2902530146547502,0.6816255000012461,0.09784019999642624
STATE_AWARE_H32,7.127691128513227,21.12051926989929,0.2729153124870764,0.15271809759750574,0.0,1.9239419000005
