experiment,variant,metric_id,level,value,unit,support,estimate,ci_lower,ci_upper,n_episodes,reason
EXP4,HISTORICAL,MAE_MINUTES,STATE,8.680947166712292,minutes,SUPPORTED,,,,128,
EXP4,HISTORICAL,CRPS,STATE,33.21557157819721,minutes,SUPPORTED,,,,128,T_IB_FINITE_SUPPORT_COMPARISON_SCOPE
EXP4,HISTORICAL,LEAD_TIME_CONTRACT,STATE,True,boolean,SUPPORTED,,,,128,FORMAL_EXP4_GRID_IS_DISTINCT_FROM_M1_MODEL_HORIZON_NO_IMPLICIT_INTERPOLATION
EXP4,HISTORICAL,FORMAL_RECOMMENDATION_AVAILABILITY,DECISION,,rate,NOT_RUN,,,,,M4_MAPPING_AND_TAIL_GATED
EXP4,HISTORICAL,E2E_P50_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,HISTORICAL,E2E_P95_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,HISTORICAL,E2E_P99_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,HISTORICAL,WITHIN_60S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,HISTORICAL,WITHIN_120S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,HISTORICAL,WITHIN_300S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,LIGHTGBM,MAE_MINUTES,STATE,10.856319630351152,minutes,SUPPORTED,,,,128,
EXP4,LIGHTGBM,CRPS,STATE,34.395826630841206,minutes,SUPPORTED,,,,128,T_IB_FINITE_SUPPORT_COMPARISON_SCOPE
EXP4,LIGHTGBM,LEAD_TIME_CONTRACT,STATE,True,boolean,SUPPORTED,,,,128,FORMAL_EXP4_GRID_IS_DISTINCT_FROM_M1_MODEL_HORIZON_NO_IMPLICIT_INTERPOLATION
EXP4,LIGHTGBM,FORMAL_RECOMMENDATION_AVAILABILITY,DECISION,,rate,NOT_RUN,,,,,M4_MAPPING_AND_TAIL_GATED
EXP4,LIGHTGBM,E2E_P50_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,LIGHTGBM,E2E_P95_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,LIGHTGBM,E2E_P99_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,LIGHTGBM,WITHIN_60S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,LIGHTGBM,WITHIN_120S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,LIGHTGBM,WITHIN_300S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,RANDOM_FOREST,MAE_MINUTES,STATE,9.907568578899308,minutes,SUPPORTED,,,,128,
EXP4,RANDOM_FOREST,CRPS,STATE,36.43248213396931,minutes,SUPPORTED,,,,128,T_IB_FINITE_SUPPORT_COMPARISON_SCOPE
EXP4,RANDOM_FOREST,LEAD_TIME_CONTRACT,STATE,True,boolean,SUPPORTED,,,,128,FORMAL_EXP4_GRID_IS_DISTINCT_FROM_M1_MODEL_HORIZON_NO_IMPLICIT_INTERPOLATION
EXP4,RANDOM_FOREST,FORMAL_RECOMMENDATION_AVAILABILITY,DECISION,,rate,NOT_RUN,,,,,M4_MAPPING_AND_TAIL_GATED
EXP4,RANDOM_FOREST,E2E_P50_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,RANDOM_FOREST,E2E_P95_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,RANDOM_FOREST,E2E_P99_SECONDS,SYSTEM,,seconds,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,RANDOM_FOREST,WITHIN_60S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,RANDOM_FOREST,WITHIN_120S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,RANDOM_FOREST,WITHIN_300S,SYSTEM,,rate,NOT_RUN,,,,,FAST_CONTRACT_RUN_NO_PIPELINE_TIMINGS
EXP4,STATE_AWARE_H32,MAE_MINUTES,STATE,7.127691128513227,minutes,SUPPORTED,,,,128,
