episode_id,decision_node_id,target,observation_minutes,History_point,Current_point,History_AE,Current_AE,paired_status,History_R_IB_CRPS,History_R_IB_finite_support_mass,Current_R_IB_CRPS,Current_R_IB_finite_support_mass,CRPS_scope
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:35efaaec75479df541ec4451f518ff2b20037fcd0a1177057af874e0040e5c58,D_OB,0.0,0.0,2.2420570850372314,0.0,2.2420570850372314,MATCHED_TARGET_SUPPORT,,1.000000022769246,,1.0000000407494474,NOT_APPLICABLE_D_OB_D_TX_NO_FROZEN_CRPS
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:35efaaec75479df541ec4451f518ff2b20037fcd0a1177057af874e0040e5c58,D_TX,0.0,0.0,0.0,0.0,0.0,MATCHED_TARGET_SUPPORT,,1.000000022769246,,1.0000000407494474,NOT_APPLICABLE_D_OB_D_TX_NO_FROZEN_CRPS
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:5d683adf57af938bcdbb68f0b8d1b7daf49589c1277cc60a8780993040ea228f,R_IB,7.0,16.882376143541325,8.084398429449097,9.882376143541325,1.084398429449097,MATCHED_TARGET_SUPPORT,5.5175277490330075,1.0000000471908408,1.1783833394434708,0.9999999677526672,R_IB_T_IB_FINITE_SUPPORT_CONDITIONAL_ONLY
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:5d683adf57af938bcdbb68f0b8d1b7daf49589c1277cc60a8780993040ea228f,D_OB,0.0,0.0,0.0,0.0,0.0,MATCHED_TARGET_SUPPORT,5.5175277490330075,1.0000000471908408,1.1783833394434708,0.9999999677526672,NOT_APPLICABLE_D_OB_D_TX_NO_FROZEN_CRPS
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:5d683adf57af938bcdbb68f0b8d1b7daf49589c1277cc60a8780993040ea228f,D_TX,0.0,0.0,0.0,0.0,0.0,MATCHED_TARGET_SUPPORT,5.5175277490330075,1.0000000471908408,1.1783833394434708,0.9999999677526672,NOT_APPLICABLE_D_OB_D_TX_NO_FROZEN_CRPS
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:661563de4234c25c1cfed4de6165196ca46e7bd3239002ad08aab33b32102a57,R_IB,,11.962713101881473,8.701274630270156,,,ABSTAIN_INACTIVE_OR_UNSUPPORTED,,0.9999999413962702,,1.0000000239723659,R_IB_T_IB_FINITE_SUPPORT_CONDITIONAL_ONLY
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:661563de4234c25c1cfed4de6165196ca46e7bd3239002ad08aab33b32102a57,D_OB,,0.0,2.200925588607788,,,ABSTAIN_INACTIVE_OR_UNSUPPORTED,,0.9999999413962702,,1.0000000239723659,NOT_APPLICABLE_D_OB_D_TX_NO_FROZEN_CRPS
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:661563de4234c25c1cfed4de6165196ca46e7bd3239002ad08aab33b32102a57,D_TX,0.0,0.0,0.0,0.0,0.0,MATCHED_TARGET_SUPPORT,,0.9999999413962702,,1.0000000239723659,NOT_APPLICABLE_D_OB_D_TX_NO_FROZEN_CRPS
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:74951b9e076ba6bc4a1cadec3ddb326671fdbf431e66e1c8fecda83d4d8ab38a,R_IB,,10.677256233372626,8.663609779596628,,,ABSTAIN_INACTIVE_OR_UNSUPPORTED,,0.9999999907139477,,1.000000005001299,R_IB_T_IB_FINITE_SUPPORT_CONDITIONAL_ONLY
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:74951b9e076ba6bc4a1cadec3ddb326671fdbf431e66e1c8fecda83d4d8ab38a,D_OB,0.0,0.0,0.0,0.0,0.0,MATCHED_TARGET_SUPPORT,,0.9999999907139477,,1.000000005001299,NOT_APPLICABLE_D_OB_D_TX_NO_FROZEN_CRPS
