target,N_nodes,N_episodes,History_MAE,Current_MAE,Delta_MAE,History_P90AE,Current_P90AE,History_R_IB_finite_support_CRPS,Current_R_IB_finite_support_CRPS,Delta_R_IB_finite_support_CRPS,CRPS_scope,History_MAE_ci_low,History_MAE_ci_high,Current_MAE_ci_low,Current_MAE_ci_high,Delta_MAE_ci_low,Delta_MAE_ci_high,History_P90AE_ci_low,History_P90AE_ci_high,Current_P90AE_ci_low,Current_P90AE_ci_high,History_R_IB_finite_support_CRPS_ci_low,History_R_IB_finite_support_CRPS_ci_high,Current_R_IB_finite_support_CRPS_ci_low,Current_R_IB_finite_support_CRPS_ci_high,Delta_R_IB_finite_support_CRPS_ci_low,Delta_R_IB_finite_support_CRPS_ci_high
R_IB,217,48,22.377352539475563,23.511576865895496,-1.1342243264199328,55.343743485591844,61.41844931595312,18.99074190501459,21.512291039377107,-2.521549134362512,R_IB_T_IB_FINITE_SUPPORT_CONDITIONAL_ONLY,13.99998806298119,29.852196935022164,15.12100682964366,31.09281929218926,-2.8132571034923166,0.40657536433127067,32.19120851503747,81.50047590179071,41.756728657177504,86.22307078488737,11.03364059926258,26.306064614729593,13.330400595066397,28.87053939801148,-4.433864297391141,-0.7949395698096982
D_OB,1671,128,7.434560579000869,7.456177036038849,-0.021616457037979937,23.0,23.0,,,,,5.437297448873573,10.977636273414895,5.459351361927611,11.044681348102955,-0.07336265472840216,0.01146305891419095,13.95,26.0,13.95,26.0,,,,,,
D_TX,1765,127,4.887045696436853,4.828895184135978,0.058150512300874965,11.0,11.0,,,,,3.392417244668262,7.0436584562426106,3.408884328598749,7.054941334072431,-0.15003103538551507,0.18335979508342976,8.475,15.973408764600748,9.0,17.049999999999997,,,,,,
