stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,kendall_tau_b_difference_ci_low,kendall_tau_b_difference_ci_high,top10_overlap_difference_ci_low,top10_overlap_difference_ci_high,median_rank_displacement_difference_ci_low,median_rank_displacement_difference_ci_high,p90_rank_displacement_difference_ci_low,p90_rank_displacement_difference_ci_high,median_consequence_priority_percentile_gap_difference_ci_low,median_consequence_priority_percentile_gap_difference_ci_high,p90_consequence_priority_percentile_gap_difference_ci_low,p90_consequence_priority_percentile_gap_difference_ci_high
PRE_IB,POST_IB_PRE_OB,-0.15367231638418077,0.0,0.016666666666666663,0.1383333333333331,0.07916666666666666,0.05999999999999989,-0.2669195453376178,0.27837442205044893,-0.5249999999999999,1.0,-0.16334516826180917,0.09705882352941166,-0.2687241353458617,0.25602605154965186,-0.1124988451589061,0.22858072916666664,-0.34385740022172945,0.09929431352459009
PRE_IB,POST_OB_PRE_TO,-0.2666666666666667,0.0,0.04999999999999999,0.22999999999999987,-0.0071428571428572285,-0.1607142857142858,-0.41036585365853656,1.6930901125533621e-16,-0.5249999999999999,0.0,0.0,0.12499999999999999,0.0,0.3821874999999999,-0.12120535714285713,0.19022817460317457,-0.44741071428571433,0.016428571428571438
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.11299435028248594,0.0,0.033333333333333326,0.09166666666666677,-0.08630952380952389,-0.2207142857142857,-0.35815466733313084,-0.03816078575468785,-1.0,0.0,0.0,0.18721359940872123,0.06023059475806451,0.34781087564974006,-0.21061197916666669,0.053598484848484826,-0.3443200014637003,-0.00017025089605730482
