stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction
PRE_IB,10,4,1.0,5.0,0.7333333333333333,0.04999999999999999,0.22999999999999987,0.1,0.8060606060606059,0.1,0.0,1,1,1.0,PASS,PASS,36,6,4,1.0,0.35,0.5249999999999999,0.1,0.1
POST_IB_PRE_OB,60,7,1.0,5.0,0.887005649717514,0.033333333333333326,0.09166666666666677,0.0,0.9579327590997501,0.0,0.0,1,1,1.0,PASS,PASS,1155,18,7,1.0,0.2708333333333333,0.465,0.016666666666666666,0.016666666666666666
POST_OB_PRE_TO,7,6,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,20,15,6,1.0,0.3571428571428572,0.6857142857142857,0.14285714285714285,0.14285714285714285
PRE_IB,10,4,1.0,10.0,0.7333333333333333,0.04999999999999999,0.22999999999999987,0.1,0.8060606060606059,0.1,0.0,1,1,1.0,PASS,PASS,36,6,4,1.0,0.35,0.5249999999999999,0.1,0.1
POST_IB_PRE_OB,60,7,1.0,10.0,0.887005649717514,0.033333333333333326,0.09166666666666677,0.0,0.9579327590997501,0.0,0.0,1,1,1.0,PASS,PASS,1521,21,7,1.0,0.33333333333333326,0.6333333333333333,0.016666666666666666,0.016666666666666666
POST_OB_PRE_TO,7,6,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,20,15,6,1.0,0.3571428571428572,0.6857142857142857,0.14285714285714285,0.14285714285714285
PRE_IB,10,4,1.0,15.0,0.7333333333333333,0.04999999999999999,0.22999999999999987,0.1,0.8060606060606059,0.1,0.0,1,1,1.0,PASS,PASS,36,6,4,1.0,0.35,0.5249999999999999,0.1,0.1
POST_IB_PRE_OB,60,7,1.0,15.0,0.887005649717514,0.033333333333333326,0.09166666666666677,0.0,0.9579327590997501,0.0,0.0,1,1,1.0,PASS,PASS,1521,21,7,1.0,0.33333333333333326,0.6333333333333333,0.016666666666666666,0.016666666666666666
POST_OB_PRE_TO,7,6,1.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,20,15,6,1.0,0.3571428571428572,0.6857142857142857,0.14285714285714285,0.14285714285714285
