stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
PRE_IB,8,3,1.0,5.0,0.5714285714285714,0.125,0.36249999999999993,0.125,0.6190476190476191,0.125,0.0,1,1,1.0,PASS,PASS,20,3,3.0,1.0,0.375,0.375,0.125,0.125,8
POST_IB_PRE_OB,51,5,1.0,5.0,0.8015873015873015,0.05882352941176472,0.1960784313725491,0.09803921568627451,0.858637083993661,0.09803921568627451,0.0,1,1,0.16666666666666666,PASS,PASS,997,19,5.0,1.0,0.3137254901960784,0.6313725490196076,0.0196078431372549,0.0196078431372549,8
POST_OB_PRE_TO,8,4,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,21,13,4.0,1.0,0.375,0.7875000000000001,0.125,0.125,8
PRE_IB,12,3,1.0,5.0,0.8965517241379309,0.0,0.08333333333333331,0.0,0.9565217391304347,0.0,0.0,2,2,1.0,PASS,PASS,44,11,3.0,1.0,0.5416666666666666,0.5416666666666666,0.16666666666666666,0.16666666666666666,9
POST_IB_PRE_OB,69,3,1.0,5.0,0.9216710182767623,0.0,0.1159420289855072,0.0,0.9817127809374029,0.0,0.0,2,2,0.8571428571428571,PASS,PASS,1550,16,3.0,1.0,0.3115942028985507,0.6159420289855073,0.028985507246376812,0.028985507246376812,9
POST_OB_PRE_TO,7,3,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,16,16,3.0,1.0,0.35714285714285715,0.7142857142857142,0.2857142857142857,0.2857142857142857,9
PRE_IB,4,1,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,ABSTAIN_INSUFFICIENT_MATCHES,0,0,,,,,0.5,0.5,10
POST_IB_PRE_OB,77,5,1.0,5.0,0.883937823834197,0.05194805194805191,0.12987012987012989,0.0,0.9642317049115654,0.0,0.0,2,2,0.75,PASS,PASS,1612,21,5.0,1.0,0.3116883116883117,0.5454545454545455,0.025974025974025976,0.025974025974025976,10
POST_OB_PRE_TO,9,5,1.0,5.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,2,2,1.0,PASS,PASS,32,25,5.0,1.0,0.38888888888888884,0.6666666666666666,0.2222222222222222,0.2222222222222222,10
PRE_IB,10,4,1.0,5.0,0.7333333333333333,0.04999999999999999,0.22999999999999987,0.1,0.8060606060606059,0.1,0.0,1,1,1.0,PASS,PASS,36,6,4.0,1.0,0.35,0.5249999999999999,0.1,0.1,11
POST_IB_PRE_OB,61,6,1.0,5.0,0.8463227222832052,0.0491803278688524,0.08196721311475413,0.08196721311475409,0.9157410345921931,0.08196721311475409,0.0,1,1,0.8571428571428571,PASS,PASS,1133,17,6.0,1.0,0.22950819672131148,0.439344262295082,0.01639344262295082,0.01639344262295082,11
POST_OB_PRE_TO,6,5,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,14,14,5.0,1.0,0.375,0.7000000000000002,0.16666666666666666,0.16666666666666666,11
PRE_IB,12,4,1.0,5.0,0.75,0.0,0.2333333333333334,0.08333333333333333,0.8309859154929576,0.08333333333333333,0.0,1,1,1.0,PASS,PASS,52,9,4.0,1.0,0.2916666666666667,0.5166666666666667,0.08333333333333333,0.08333333333333333,12
POST_IB_PRE_OB,52,5,1.0,5.0,0.8316906747536011,0.038461538461538436,0.17307692307692307,0.0,0.9354370383022332,0.0,0.0,1,1,1.0,PASS,PASS,783,13,5.0,1.0,0.3173076923076923,0.6000000000000001,0.019230769230769232,0.019230769230769232,12
POST_OB_PRE_TO,5,4,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,9,9,4.0,1.0,0.30000000000000004,0.64,0.2,0.2,12
PRE_IB,8,2,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,16,2,2.0,1.0,0.5,0.5,0.25,0.25,13
POST_IB_PRE_OB,68,5,1.0,5.0,0.8622222222222223,0.05882352941176472,0.11764705882352944,0.07352941176470588,0.934117557193599,0.07352941176470588,0.0,2,2,0.8571428571428571,PASS,PASS,1711,25,5.0,1.0,0.30147058823529416,0.7058823529411765,0.029411764705882353,0.029411764705882353,13
POST_OB_PRE_TO,9,4,1.0,5.0,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,28,18,4.0,1.0,0.4444444444444444,0.7777777777777777,0.2222222222222222,0.2222222222222222,13
PRE_IB,10,3,1.0,5.0,0.9024390243902439,0.0,0.10999999999999995,0.0,0.9627329192546584,0.0,0.0,2,2,1.0,PASS,PASS,32,8,3.0,1.0,0.44999999999999996,0.6,0.2,0.2,14
POST_IB_PRE_OB,60,5,1.0,5.0,0.9373932840068299,0.01666666666666667,0.06666666666666665,0.0,0.9878811462879059,0.0,0.0,1,1,1.0,PASS,PASS,1064,12,5.0,1.0,0.30833333333333335,0.525,0.016666666666666666,0.016666666666666666,14
POST_OB_PRE_TO,7,5,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,PASS,PASS,19,14,5.0,1.0,0.35714285714285715,0.5714285714285714,0.14285714285714285,0.14285714285714285,14
