H,seed,scope,metric,train_value,development_value,absolute_gap,relative_gap
16,20260817,COMPONENT,D_TX_ZERO_BCE,0.656774,0.741967,0.085194,0.129716
16,20260817,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.334971,3.970649,1.635678,0.700513
16,20260817,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,29.552544,17.387944,-12.1646,-0.411626
32,20260813,COMPONENT,T_IB_HAZARD_NLL,5.737918,2.573962,-3.163956,-0.551412
32,20260813,COMPONENT,D_OB_ZERO_BCE,0.658187,0.673859,0.015672,0.023811
32,20260813,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.72085,9.345068,-10.375782,-0.526133
32,20260813,COMPONENT,D_TX_ZERO_BCE,0.671418,0.708165,0.036747,0.05473
32,20260813,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.265914,3.878351,1.612437,0.711605
32,20260813,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,29.054287,17.179404,-11.874883,-0.408714
32,20260814,COMPONENT,T_IB_HAZARD_NLL,5.811545,2.603008,-3.208537,-0.552097
32,20260814,COMPONENT,D_OB_ZERO_BCE,0.654082,0.693547,0.039465,0.060337
32,20260814,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.631096,9.269196,-10.3619,-0.527831
32,20260814,COMPONENT,D_TX_ZERO_BCE,0.671384,0.705943,0.034559,0.051474
32,20260814,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.199096,3.857601,1.658505,0.754176
32,20260814,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,28.967203,17.129294,-11.837909,-0.408666
32,20260815,COMPONENT,T_IB_HAZARD_NLL,5.676979,2.5258,-3.15118,-0.55508
32,20260815,COMPONENT,D_OB_ZERO_BCE,0.654675,0.680109,0.025433,0.038849
32,20260815,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.651741,9.25289,-10.398851,-0.529157
32,20260815,COMPONENT,D_TX_ZERO_BCE,0.658162,0.721503,0.063341,0.096239
32,20260815,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.328084,3.963702,1.635618,0.702559
32,20260815,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,28.969642,17.144003,-11.825639,-0.408208
32,20260816,COMPONENT,T_IB_HAZARD_NLL,5.721075,2.553599,-3.167476,-0.55365
32,20260816,COMPONENT,D_OB_ZERO_BCE,0.65905,0.67896,0.019911,0.030211
32,20260816,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.666557,9.250897,-10.41566,-0.529613
32,20260816,COMPONENT,D_TX_ZERO_BCE,0.65972,0.712386,0.052666,0.07983
32,20260816,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.277199,3.889906,1.612708,0.708198
32,20260816,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,28.9836,17.085749,-11.897851,-0.410503
32,20260817,COMPONENT,T_IB_HAZARD_NLL,5.779837,2.622169,-3.157669,-0.546325
32,20260817,COMPONENT,D_OB_ZERO_BCE,0.653393,0.682805,0.029412,0.045015
32,20260817,COMPONENT,D_OB_POSITIVE_QUANTILE_LOSS,19.757801,9.303214,-10.454587,-0.529137
32,20260817,COMPONENT,D_TX_ZERO_BCE,0.645232,0.748902,0.10367,0.160671
32,20260817,COMPONENT,D_TX_POSITIVE_QUANTILE_LOSS,2.227341,3.895702,1.668361,0.749037
32,20260817,JOINT,EPISODE_BALANCED_JOINT_VALIDATION_LOSS,29.063604,17.252791,-11.810813,-0.406378
