H,seed,target,n_active,n_coverage,mae,median_ae,p90_ae,crps,crps_status,crps_n,zero_probability_gap,brier_zero,cov50,cov80,cov90,cov90_status,w50,w80,w90,ace50,ace80,ace90,mean_ace,coverage_volatility_sd50,coverage_volatility_sd80,coverage_volatility_sd90,coverage_max_abs_deviation
16,20260813,D_OB,1671,639,8.022131,2.276028,21.648856,,NOT_DEFINED_FROZEN_CONTRACT,0,0.119124,0.250472,0.150235,0.206573,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.847487,3.139192,,0.349765,0.593427,,0.471596,0.088985,0.140792,,0.8
16,20260813,D_TX,1765,895,4.840137,2.686973,9.178243,,NOT_DEFINED_FROZEN_CONTRACT,0,0.001205,0.250879,0.244693,0.388827,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.482451,3.989685,,0.255307,0.411173,,0.33324,0.084495,0.174865,,0.541497
16,20260814,T_IB_REMAINING_HAZARD,217,217,22.087612,9.831543,56.50064,18.933678,T_IB_FINITE_SUPPORT,217,,,0.35023,0.529954,0.585253,,13.663594,24.331797,30.645161,0.14977,0.270046,0.314747,0.244854,0.273173,0.344509,0.379574,0.9
16,20260814,D_OB,1671,639,7.685857,1.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.115037,0.249802,0.150235,0.178404,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.731569,2.954296,,0.349765,0.621596,,0.485681,0.088985,0.110287,,0.8
16,20260814,D_TX,1765,895,4.722279,2.134949,8.996355,,NOT_DEFINED_FROZEN_CONTRACT,0,0.007094,0.249771,0.21676,0.299441,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.874311,3.028637,,0.28324,0.500559,,0.391899,0.097433,0.12989,,0.609524
16,20260815,T_IB_REMAINING_HAZARD,217,217,22.160453,12.327998,52.632857,20.516815,T_IB_FINITE_SUPPORT,217,,,0.175115,0.258065,0.313364,,6.682028,11.221198,13.156682,0.324885,0.541935,0.586636,0.484485,0.114517,0.169068,0.203423,0.9
16,20260815,D_OB,1671,639,7.661584,2.268585,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.059192,0.244057,0.150235,0.205008,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.983377,3.054229,,0.349765,0.594992,,0.472379,0.088985,0.136881,,0.8
16,20260815,D_TX,1765,895,4.826696,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.070947,0.257843,0.185475,0.338547,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.111336,3.62453,,0.314525,0.461453,,0.387989,0.128448,0.120283,,0.541497
16,20260816,T_IB_REMAINING_HAZARD,217,217,22.969412,12.82012,56.463488,20.496535,T_IB_FINITE_SUPPORT,217,,,0.179724,0.336406,0.382488,,11.56682,19.861751,24.262673,0.320276,0.463594,0.517512,0.433794,0.100482,0.182999,0.208543,0.9
16,20260816,D_OB,1671,639,7.444644,0.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.0532,0.237855,0.150235,0.236307,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.147807,3.411692,,0.349765,0.563693,,0.456729,0.088985,0.165714,,0.8
16,20260816,D_TX,1765,895,4.829302,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.085587,0.253862,0.21676,0.287151,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.999123,3.17289,,0.28324,0.512849,,0.398045,0.097433,0.094305,,0.566423
16,20260817,T_IB_REMAINING_HAZARD,217,217,21.680859,10.357263,56.305069,20.69812,T_IB_FINITE_SUPPORT,217,,,0.069124,0.138249,0.235023,,2.764977,5.437788,8.387097,0.430876,0.661751,0.664977,0.585868,0.045786,0.091571,0.152363,0.9
16,20260817,D_OB,1671,639,7.447754,0.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.112656,0.248946,0.150235,0.192488,,NOT_DEFINED_FROZEN_QUANTILE_GRID,1.869796,3.07911,,0.349765,0.607512,,0.478638,0.088985,0.123303,,0.8
16,20260817,D_TX,1765,895,4.828895,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.051626,0.252587,0.201117,0.292737,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.005421,3.352683,,0.298883,0.507263,,0.403073,0.090085,0.110375,,0.577372
32,20260813,T_IB_REMAINING_HAZARD,217,217,21.787346,12.621069,56.936661,18.118102,T_IB_FINITE_SUPPORT,217,,,0.248848,0.520737,0.626728,,12.764977,26.24424,36.912442,0.251152,0.279263,0.273272,0.267896,0.174783,0.327598,0.35175,0.9
32,20260813,D_OB,1671,639,7.504604,0.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.05872,0.243273,0.150235,0.239437,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.117702,3.445385,,0.349765,0.560563,,0.455164,0.088985,0.166276,,0.8
32,20260813,D_TX,1765,895,4.821789,1.0,11.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.102159,0.258052,0.243575,0.357542,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.441187,3.952101,,0.256425,0.442458,,0.349441,0.074902,0.107738,,0.527273
32,20260814,T_IB_REMAINING_HAZARD,217,217,21.939038,12.547825,53.687316,18.232823,T_IB_FINITE_SUPPORT,217,,,0.336406,0.497696,0.608295,,14.262673,25.875576,37.18894,0.163594,0.302304,0.291705,0.252535,0.218168,0.322812,0.384417,0.9
32,20260814,D_OB,1671,639,7.568181,0.0,23.0,,NOT_DEFINED_FROZEN_CONTRACT,0,0.049333,0.248967,0.162754,0.195618,,NOT_DEFINED_FROZEN_QUANTILE_GRID,2.387265,3.651499,,0.337246,0.604382,,0.470814,0.100469,0.1241,,0.8
