H,seed,target,scope,lead_minutes,nominal,empirical_coverage,ace,width,n,status
8,20260816,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_OB,LEAD,60,0.5,0.159091,0.340909,2.174549,220,DEFINED
8,20260816,D_OB,LEAD,60,0.8,0.177273,0.622727,3.3597,220,DEFINED
8,20260816,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_OB,LEAD,120,0.5,0.152778,0.347222,2.063062,72,DEFINED
8,20260816,D_OB,LEAD,120,0.8,0.152778,0.647222,3.266592,72,DEFINED
8,20260816,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_OB,LEAD,180,0.5,0.0,0.5,2.021602,18,DEFINED
8,20260816,D_OB,LEAD,180,0.8,0.0,0.8,3.245386,18,DEFINED
8,20260816,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_OB,LEAD,240,0.5,0.0,0.5,1.995552,12,DEFINED
8,20260816,D_OB,LEAD,240,0.8,0.0,0.8,3.208555,12,DEFINED
8,20260816,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_OB,LEAD,300,0.5,0.0,0.5,1.940959,9,DEFINED
8,20260816,D_OB,LEAD,300,0.8,0.0,0.8,3.13678,9,DEFINED
8,20260816,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_OB,OVERALL,,0.5,0.150235,0.349765,2.175666,639,DEFINED
8,20260816,D_OB,OVERALL,,0.8,0.190923,0.609077,3.366085,639,DEFINED
8,20260816,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,LEAD,0,0.5,0.404255,0.095745,2.228182,47,DEFINED
8,20260816,D_TX,LEAD,0,0.8,0.765957,0.034043,3.470328,47,DEFINED
8,20260816,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,LEAD,30,0.5,0.232639,0.267361,2.21196,288,DEFINED
8,20260816,D_TX,LEAD,30,0.8,0.423611,0.376389,3.462847,288,DEFINED
8,20260816,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,LEAD,60,0.5,0.156934,0.343066,2.189345,274,DEFINED
8,20260816,D_TX,LEAD,60,0.8,0.284672,0.515328,3.462033,274,DEFINED
8,20260816,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,LEAD,120,0.5,0.142857,0.357143,2.171365,147,DEFINED
8,20260816,D_TX,LEAD,120,0.8,0.258503,0.541497,3.431735,147,DEFINED
8,20260816,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,LEAD,180,0.5,0.272727,0.227273,2.176726,44,DEFINED
8,20260816,D_TX,LEAD,180,0.8,0.272727,0.527273,3.385969,44,DEFINED
8,20260816,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,LEAD,240,0.5,0.363636,0.136364,2.144587,33,DEFINED
8,20260816,D_TX,LEAD,240,0.8,0.363636,0.436364,3.331587,33,DEFINED
8,20260816,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,LEAD,300,0.5,0.368421,0.131579,2.113799,19,DEFINED
8,20260816,D_TX,LEAD,300,0.8,0.368421,0.431579,3.30723,19,DEFINED
8,20260816,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_TX,OVERALL,,0.5,0.21676,0.28324,2.196806,895,DEFINED
8,20260816,D_TX,OVERALL,,0.8,0.362011,0.437989,3.451766,895,DEFINED
8,20260816,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.514851,0.014851,7.425743,101,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.772277,0.027723,15.891089,101,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.792079,0.107921,20.049505,101,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.0,0.5,7.461538,65,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.2,0.6,16.0,65,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.4,0.5,20.0,65,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,8.333333,39,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.0,0.8,16.282051,39,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.0,0.9,20.25641,39,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,5.833333,12,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,10.833333,12,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,17.083333,12,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.239631,0.260369,7.511521,217,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.419355,0.380645,15.714286,217,DEFINED
8,20260817,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.488479,0.411521,19.907834,217,DEFINED
8,20260817,D_OB,LEAD,0,0.5,0.231884,0.268116,2.118514,69,DEFINED
8,20260817,D_OB,LEAD,0,0.8,0.304348,0.495652,3.214257,69,DEFINED
8,20260817,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_OB,LEAD,30,0.5,0.142259,0.357741,2.087493,239,DEFINED
8,20260817,D_OB,LEAD,30,0.8,0.192469,0.607531,3.186072,239,DEFINED
8,20260817,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_OB,LEAD,60,0.5,0.159091,0.340909,2.034495,220,DEFINED
8,20260817,D_OB,LEAD,60,0.8,0.177273,0.622727,3.159611,220,DEFINED
8,20260817,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260817,D_OB,LEAD,120,0.5,0.152778,0.347222,2.000464,72,DEFINED
8,20260817,D_OB,LEAD,120,0.8,0.152778,0.647222,3.167235,72,DEFINED
