H,seed,target,scope,lead_minutes,nominal,empirical_coverage,ace,width,n,status
8,20260813,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.405941,0.094059,5.594059,101,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.742574,0.057426,14.356436,101,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.792079,0.107921,19.356436,101,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.0,0.5,5.615385,65,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.169231,0.630769,15.461538,65,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.4,0.5,19.769231,65,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,6.282051,39,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.0,0.8,15.128205,39,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.0,0.9,20.0,39,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,5.416667,12,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,10.833333,12,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,20.0,12,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.18894,0.31106,5.714286,217,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.396313,0.403687,14.631336,217,DEFINED
8,20260813,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.488479,0.411521,19.631336,217,DEFINED
8,20260813,D_OB,LEAD,0,0.5,0.231884,0.268116,1.779076,69,DEFINED
8,20260813,D_OB,LEAD,0,0.8,0.405797,0.394203,3.04946,69,DEFINED
8,20260813,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_OB,LEAD,30,0.5,0.142259,0.357741,1.762273,239,DEFINED
8,20260813,D_OB,LEAD,30,0.8,0.230126,0.569874,3.041116,239,DEFINED
8,20260813,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_OB,LEAD,60,0.5,0.154545,0.345455,1.741346,220,DEFINED
8,20260813,D_OB,LEAD,60,0.8,0.172727,0.627273,3.032007,220,DEFINED
8,20260813,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_OB,LEAD,120,0.5,0.152778,0.347222,1.672144,72,DEFINED
8,20260813,D_OB,LEAD,120,0.8,0.152778,0.647222,2.909272,72,DEFINED
8,20260813,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_OB,LEAD,180,0.5,0.0,0.5,1.6384,18,DEFINED
8,20260813,D_OB,LEAD,180,0.8,0.0,0.8,2.913384,18,DEFINED
8,20260813,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_OB,LEAD,240,0.5,0.0,0.5,1.652286,12,DEFINED
8,20260813,D_OB,LEAD,240,0.8,0.0,0.8,3.015926,12,DEFINED
8,20260813,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_OB,LEAD,300,0.5,0.0,0.5,1.652731,9,DEFINED
8,20260813,D_OB,LEAD,300,0.8,0.0,0.8,2.971619,9,DEFINED
8,20260813,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_OB,OVERALL,,0.5,0.14867,0.35133,1.739629,639,DEFINED
8,20260813,D_OB,OVERALL,,0.8,0.206573,0.593427,3.018975,639,DEFINED
8,20260813,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,LEAD,0,0.5,0.404255,0.095745,1.915308,47,DEFINED
8,20260813,D_TX,LEAD,0,0.8,0.744681,0.055319,3.083095,47,DEFINED
8,20260813,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,LEAD,30,0.5,0.232639,0.267361,1.930111,288,DEFINED
8,20260813,D_TX,LEAD,30,0.8,0.402778,0.397222,3.115486,288,DEFINED
8,20260813,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,LEAD,60,0.5,0.156934,0.343066,1.947868,274,DEFINED
8,20260813,D_TX,LEAD,60,0.8,0.251825,0.548175,3.141371,274,DEFINED
8,20260813,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,LEAD,120,0.5,0.142857,0.357143,1.94646,147,DEFINED
8,20260813,D_TX,LEAD,120,0.8,0.190476,0.609524,3.141104,147,DEFINED
8,20260813,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,LEAD,180,0.5,0.272727,0.227273,1.919076,44,DEFINED
8,20260813,D_TX,LEAD,180,0.8,0.272727,0.527273,3.083434,44,DEFINED
8,20260813,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,LEAD,240,0.5,0.363636,0.136364,1.902822,33,DEFINED
8,20260813,D_TX,LEAD,240,0.8,0.363636,0.436364,3.069053,33,DEFINED
8,20260813,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,LEAD,300,0.5,0.368421,0.131579,1.892213,19,DEFINED
8,20260813,D_TX,LEAD,300,0.8,0.368421,0.431579,3.082238,19,DEFINED
8,20260813,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260813,D_TX,OVERALL,,0.5,0.21676,0.28324,1.937335,895,DEFINED
8,20260813,D_TX,OVERALL,,0.8,0.331844,0.468156,3.124209,895,DEFINED
8,20260813,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.534653,0.034653,7.920792,101,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.792079,0.007921,15.0,101,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.792079,0.107921,20.0,101,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.0,0.5,7.461538,65,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.138462,0.661538,15.0,65,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.415385,0.484615,20.0,65,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,8.333333,39,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.0,0.8,15.0,39,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.0,0.9,20.0,39,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,7.5,12,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,15.0,12,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,20.0,12,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.248848,0.251152,7.834101,217,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.410138,0.389862,15.0,217,DEFINED
8,20260814,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.493088,0.406912,20.0,217,DEFINED
8,20260814,D_OB,LEAD,0,0.5,0.231884,0.268116,1.794802,69,DEFINED
8,20260814,D_OB,LEAD,0,0.8,0.405797,0.394203,2.873907,69,DEFINED
8,20260814,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_OB,LEAD,30,0.5,0.142259,0.357741,1.791196,239,DEFINED
8,20260814,D_OB,LEAD,30,0.8,0.225941,0.574059,2.870758,239,DEFINED
8,20260814,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_OB,LEAD,60,0.5,0.159091,0.340909,1.78836,220,DEFINED
8,20260814,D_OB,LEAD,60,0.8,0.172727,0.627273,2.872326,220,DEFINED
8,20260814,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_OB,LEAD,120,0.5,0.152778,0.347222,1.737989,72,DEFINED
8,20260814,D_OB,LEAD,120,0.8,0.152778,0.647222,2.799734,72,DEFINED
8,20260814,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_OB,LEAD,180,0.5,0.0,0.5,1.739959,18,DEFINED
8,20260814,D_OB,LEAD,180,0.8,0.0,0.8,2.79981,18,DEFINED
8,20260814,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_OB,LEAD,240,0.5,0.0,0.5,1.765203,12,DEFINED
8,20260814,D_OB,LEAD,240,0.8,0.0,0.8,2.79925,12,DEFINED
8,20260814,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_OB,LEAD,300,0.5,0.0,0.5,1.774902,9,DEFINED
8,20260814,D_OB,LEAD,300,0.8,0.0,0.8,2.804633,9,DEFINED
8,20260814,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_OB,OVERALL,,0.5,0.150235,0.349765,1.782453,639,DEFINED
8,20260814,D_OB,OVERALL,,0.8,0.205008,0.594992,2.859362,639,DEFINED
8,20260814,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,LEAD,0,0.5,0.255319,0.244681,1.787711,47,DEFINED
8,20260814,D_TX,LEAD,0,0.8,0.744681,0.055319,2.874259,47,DEFINED
8,20260814,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,LEAD,30,0.5,0.197917,0.302083,1.791822,288,DEFINED
8,20260814,D_TX,LEAD,30,0.8,0.402778,0.397222,2.889744,288,DEFINED
8,20260814,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,LEAD,60,0.5,0.153285,0.346715,1.805672,274,DEFINED
8,20260814,D_TX,LEAD,60,0.8,0.251825,0.548175,2.926222,274,DEFINED
8,20260814,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,LEAD,120,0.5,0.142857,0.357143,1.80331,147,DEFINED
8,20260814,D_TX,LEAD,120,0.8,0.190476,0.609524,2.925046,147,DEFINED
8,20260814,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,LEAD,180,0.5,0.272727,0.227273,1.780606,44,DEFINED
8,20260814,D_TX,LEAD,180,0.8,0.272727,0.527273,2.875841,44,DEFINED
8,20260814,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,LEAD,240,0.5,0.363636,0.136364,1.77531,33,DEFINED
8,20260814,D_TX,LEAD,240,0.8,0.363636,0.436364,2.912863,33,DEFINED
8,20260814,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,LEAD,300,0.5,0.368421,0.131579,1.787958,19,DEFINED
8,20260814,D_TX,LEAD,300,0.8,0.368421,0.431579,2.971274,19,DEFINED
8,20260814,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260814,D_TX,OVERALL,,0.5,0.193296,0.306704,1.79482,895,DEFINED
8,20260814,D_TX,OVERALL,,0.8,0.331844,0.468156,2.906522,895,DEFINED
8,20260814,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.108911,0.391089,4.207921,101,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.178218,0.621782,9.90099,101,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.217822,0.682178,13.316832,101,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.092308,0.407692,4.461538,65,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.307692,0.492308,11.769231,65,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.384615,0.515385,15.153846,65,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,5.512821,39,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.051282,0.748718,13.333333,39,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.051282,0.848718,14.74359,39,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,0.0,12,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,0.0,12,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,0.833333,12,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.078341,0.421659,4.285714,217,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.184332,0.615668,10.529954,217,DEFINED
8,20260815,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.225806,0.674194,13.43318,217,DEFINED
8,20260815,D_OB,LEAD,0,0.5,0.275362,0.224638,2.188951,69,DEFINED
8,20260815,D_OB,LEAD,0,0.8,0.405797,0.394203,3.256417,69,DEFINED
8,20260815,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_OB,LEAD,30,0.5,0.16318,0.33682,2.221313,239,DEFINED
8,20260815,D_OB,LEAD,30,0.8,0.230126,0.569874,3.278804,239,DEFINED
8,20260815,D_OB,LEAD,30,0.9,,,,239,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_OB,LEAD,60,0.5,0.172727,0.327273,2.254072,220,DEFINED
8,20260815,D_OB,LEAD,60,0.8,0.172727,0.627273,3.292291,220,DEFINED
8,20260815,D_OB,LEAD,60,0.9,,,,220,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_OB,LEAD,120,0.5,0.152778,0.347222,2.20092,72,DEFINED
8,20260815,D_OB,LEAD,120,0.8,0.152778,0.647222,3.263762,72,DEFINED
8,20260815,D_OB,LEAD,120,0.9,,,,72,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_OB,LEAD,180,0.5,0.0,0.5,2.276736,18,DEFINED
8,20260815,D_OB,LEAD,180,0.8,0.0,0.8,3.304421,18,DEFINED
8,20260815,D_OB,LEAD,180,0.9,,,,18,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_OB,LEAD,240,0.5,0.0,0.5,2.268005,12,DEFINED
8,20260815,D_OB,LEAD,240,0.8,0.0,0.8,3.274838,12,DEFINED
8,20260815,D_OB,LEAD,240,0.9,,,,12,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_OB,LEAD,300,0.5,0.0,0.5,2.276511,9,DEFINED
8,20260815,D_OB,LEAD,300,0.8,0.0,0.8,3.300451,9,DEFINED
8,20260815,D_OB,LEAD,300,0.9,,,,9,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_OB,OVERALL,,0.5,0.167449,0.332551,2.230015,639,DEFINED
8,20260815,D_OB,OVERALL,,0.8,0.206573,0.593427,3.280287,639,DEFINED
8,20260815,D_OB,OVERALL,,0.9,,,,639,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,LEAD,0,0.5,0.404255,0.095745,2.088294,47,DEFINED
8,20260815,D_TX,LEAD,0,0.8,0.744681,0.055319,3.249586,47,DEFINED
8,20260815,D_TX,LEAD,0,0.9,,,,47,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,LEAD,30,0.5,0.232639,0.267361,2.056427,288,DEFINED
8,20260815,D_TX,LEAD,30,0.8,0.402778,0.397222,3.206536,288,DEFINED
8,20260815,D_TX,LEAD,30,0.9,,,,288,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,LEAD,60,0.5,0.156934,0.343066,2.011926,274,DEFINED
8,20260815,D_TX,LEAD,60,0.8,0.251825,0.548175,3.125133,274,DEFINED
8,20260815,D_TX,LEAD,60,0.9,,,,274,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,LEAD,120,0.5,0.163265,0.336735,1.990881,147,DEFINED
8,20260815,D_TX,LEAD,120,0.8,0.190476,0.609524,3.089261,147,DEFINED
8,20260815,D_TX,LEAD,120,0.9,,,,147,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,LEAD,180,0.5,0.272727,0.227273,2.010597,44,DEFINED
8,20260815,D_TX,LEAD,180,0.8,0.272727,0.527273,3.161609,44,DEFINED
8,20260815,D_TX,LEAD,180,0.9,,,,44,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,LEAD,240,0.5,0.363636,0.136364,1.95644,33,DEFINED
8,20260815,D_TX,LEAD,240,0.8,0.363636,0.436364,3.102217,33,DEFINED
8,20260815,D_TX,LEAD,240,0.9,,,,33,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,LEAD,300,0.5,0.368421,0.131579,1.899552,19,DEFINED
8,20260815,D_TX,LEAD,300,0.8,0.368421,0.431579,3.036344,19,DEFINED
8,20260815,D_TX,LEAD,300,0.9,,,,19,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260815,D_TX,OVERALL,,0.5,0.220112,0.279888,2.027049,895,DEFINED
8,20260815,D_TX,OVERALL,,0.8,0.331844,0.468156,3.157412,895,DEFINED
8,20260815,D_TX,OVERALL,,0.9,,,,895,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,T_IB_REMAINING_HAZARD,LEAD,0,0.5,0.60396,0.10396,9.108911,101,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,0,0.8,0.782178,0.017822,17.178218,101,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,0,0.9,0.792079,0.107921,23.316832,101,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,30,0.5,0.0,0.5,9.230769,65,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,30,0.8,0.261538,0.538462,17.769231,65,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,30,0.9,0.538462,0.361538,23.769231,65,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,60,0.5,0.0,0.5,10.0,39,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,60,0.8,0.0,0.8,17.307692,39,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,60,0.9,0.0,0.9,24.102564,39,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,120,0.5,0.0,0.5,8.333333,12,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,120,0.8,0.0,0.8,15.0,12,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,LEAD,120,0.9,0.0,0.9,20.833333,12,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,OVERALL,,0.5,0.281106,0.218894,9.262673,217,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,OVERALL,,0.8,0.442396,0.357604,17.258065,217,DEFINED
8,20260816,T_IB_REMAINING_HAZARD,OVERALL,,0.9,0.529954,0.370046,23.456221,217,DEFINED
8,20260816,D_OB,LEAD,0,0.5,0.231884,0.268116,2.250988,69,DEFINED
8,20260816,D_OB,LEAD,0,0.8,0.318841,0.481159,3.44427,69,DEFINED
8,20260816,D_OB,LEAD,0,0.9,,,,69,NOT_DEFINED_FROZEN_QUANTILE_GRID
8,20260816,D_OB,LEAD,30,0.5,0.142259,0.357741,2.218355,239,DEFINED
8,20260816,D_OB,LEAD,30,0.8,0.209205,0.590795,3.404998,239,DEFINED
