stage,q,status,n,k,Capture_D_F_continuity,Capture_C_F_continuity,Delta_Capture_F_continuity_pp,Capture_F_continuity_status,Capture_D_F_execution,Capture_C_F_execution,Delta_Capture_F_execution_pp,Capture_F_execution_status,Capture_D_F_propagation,Capture_C_F_propagation,Delta_Capture_F_propagation_pp,Capture_F_propagation_status,Capture_D_P_time,Capture_C_P_time,Delta_Capture_P_time_pp,Capture_P_time_status,Capture_D_P_itinerary,Capture_C_P_itinerary,Delta_Capture_P_itinerary_pp,Capture_P_itinerary_status,Capture_D_P_service,Capture_C_P_service,Delta_Capture_P_service_pp,Capture_P_service_status,Capture_D_R_operating,Capture_C_R_operating,Delta_Capture_R_operating_pp,Capture_R_operating_status,Capture_D_F_continuity_ci_low,Capture_D_F_continuity_ci_high,Capture_C_F_continuity_ci_low,Capture_C_F_continuity_ci_high,Delta_Capture_F_continuity_pp_ci_low,Delta_Capture_F_continuity_pp_ci_high,Capture_D_F_execution_ci_low,Capture_D_F_execution_ci_high,Capture_C_F_execution_ci_low,Capture_C_F_execution_ci_high,Delta_Capture_F_execution_pp_ci_low,Delta_Capture_F_execution_pp_ci_high,Capture_D_F_propagation_ci_low,Capture_D_F_propagation_ci_high,Capture_C_F_propagation_ci_low,Capture_C_F_propagation_ci_high,Delta_Capture_F_propagation_pp_ci_low,Delta_Capture_F_propagation_pp_ci_high,Capture_D_P_time_ci_low,Capture_D_P_time_ci_high,Capture_C_P_time_ci_low,Capture_C_P_time_ci_high,Delta_Capture_P_time_pp_ci_low,Delta_Capture_P_time_pp_ci_high,Capture_D_P_itinerary_ci_low,Capture_D_P_itinerary_ci_high,Capture_C_P_itinerary_ci_low,Capture_C_P_itinerary_ci_high,Delta_Capture_P_itinerary_pp_ci_low,Delta_Capture_P_itinerary_pp_ci_high,Capture_D_P_service_ci_low,Capture_D_P_service_ci_high,Capture_C_P_service_ci_low,Capture_C_P_service_ci_high,Delta_Capture_P_service_pp_ci_low,Delta_Capture_P_service_pp_ci_high,Capture_D_R_operating_ci_low,Capture_D_R_operating_ci_high,Capture_C_R_operating_ci_low,Capture_C_R_operating_ci_high,Delta_Capture_R_operating_pp_ci_low,Delta_Capture_R_operating_pp_ci_high
PRE_IB,0.05,PASS,4,1,0.0,0.0,0.0,PASS,0.26343218943197716,0.26343218943197716,0.0,PASS,0.31933393409389216,0.31933393409389216,0.0,PASS,0.30626096857406215,0.30626096857406215,0.0,PASS,0.018638985595961492,0.018638985595961492,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.5005562744161152,0.5005562744161152,0.0,PASS,0.0,0.0,0.0,0.0,0.0,0.0,0.18236178107890968,0.5,0.18236178107890968,0.5,0.0,0.0,0.19727137816840137,0.5242448688995072,0.19727137816840137,0.5242448688995072,0.0,0.0,0.17550167254202997,0.5575532611167849,0.17550167254202997,0.5575532611167849,0.0,0.0,0.01357813382124844,0.5,0.01357813382124844,0.5,0.0,0.0,,,,,,,0.21210472556467846,0.603598842807536,0.21210472556467846,0.603598842807536,0.0,0.0
PRE_IB,0.1,PASS,4,1,0.0,0.0,0.0,PASS,0.26343218943197716,0.26343218943197716,0.0,PASS,0.31933393409389216,0.31933393409389216,0.0,PASS,0.30626096857406215,0.30626096857406215,0.0,PASS,0.018638985595961492,0.018638985595961492,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.5005562744161152,0.5005562744161152,0.0,PASS,0.0,0.0,0.0,0.0,0.0,0.0,0.18236178107890968,0.5,0.18236178107890968,0.5,0.0,0.0,0.19727137816840137,0.5242448688995072,0.19727137816840137,0.5242448688995072,0.0,0.0,0.17550167254202997,0.5575532611167849,0.17550167254202997,0.5575532611167849,0.0,0.0,0.01357813382124844,0.5,0.01357813382124844,0.5,0.0,0.0,,,,,,,0.21210472556467846,0.603598842807536,0.21210472556467846,0.603598842807536,0.0,0.0
PRE_IB,0.2,PASS,4,1,0.0,0.0,0.0,PASS,0.26343218943197716,0.26343218943197716,0.0,PASS,0.31933393409389216,0.31933393409389216,0.0,PASS,0.30626096857406215,0.30626096857406215,0.0,PASS,0.018638985595961492,0.018638985595961492,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.5005562744161152,0.5005562744161152,0.0,PASS,0.0,0.0,0.0,0.0,0.0,0.0,0.19732954874194664,0.5,0.19732954874194664,0.5,0.0,0.0,0.21765569189392472,0.5242448688995072,0.21765569189392472,0.5242448688995072,0.0,0.0,0.22524360147718864,0.5575532611167849,0.22524360147718864,0.5575532611167849,0.0,0.0,0.01357813382124844,0.5,0.01357813382124844,0.5,0.0,0.0,,,,,,,0.26350541612238226,0.6424665883382604,0.26350541612238226,0.6424665883382604,0.0,0.0
PRE_IB,0.3,PASS,4,2,0.0,0.0,0.0,PASS,0.5385423355538573,0.5385423355538573,0.0,PASS,0.5846671853020959,0.5846671853020959,0.0,PASS,0.5023757856437296,0.5023757856437296,0.0,PASS,0.10978488188015569,0.10978488188015569,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.734194776416465,0.734194776416465,0.0,PASS,0.0,0.0,0.0,0.0,0.0,0.0,0.32600438251951136,0.5329086665344713,0.32600438251951136,0.5329086665344713,0.0,0.0,0.34984796649647176,0.570099357503068,0.34984796649647176,0.570099357503068,0.0,0.0,0.2925316486458285,0.5705457306509502,0.2925316486458285,0.5705457306509502,0.0,0.0,0.036941369755191605,0.5,0.036941369755191605,0.5,0.0,0.0,,,,,,,0.34468750364990436,0.7092957906769414,0.34468750364990436,0.7092957906769414,0.0,0.0
POST_IB_PRE_OB,0.05,PASS,7,1,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.24681105347408924,0.24681105347408924,0.0,PASS,0.28354624625224956,0.28354624625224956,0.0,PASS,0.47642407014673455,0.47642407014673455,0.0,PASS,0.7929683288082063,0.7929683288082063,0.0,PASS,1.0,1.0,0.0,PASS,0.46037902104483264,0.46037902104483264,0.0,PASS,,,,,,,0.12158092136120298,0.3149077889393767,0.12158092136120298,0.3149077889393767,0.0,0.0,0.15528917475795553,0.3189089514336428,0.15528917475795553,0.3189089514336428,0.0,0.0,0.15343426373761404,0.5443333745220296,0.15343426373761404,0.5443333745220296,0.0,0.0,0.016640176063944082,0.8813779592750522,0.016640176063944082,0.8813779592750522,0.0,0.0,0.3833333333333333,1.0,0.3833333333333333,1.0,0.0,0.0,0.10181573597351928,0.5853336744566249,0.10181573597351928,0.5853336744566249,0.0,0.0
POST_IB_PRE_OB,0.1,PASS,7,1,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.24681105347408924,0.24681105347408924,0.0,PASS,0.28354624625224956,0.28354624625224956,0.0,PASS,0.47642407014673455,0.47642407014673455,0.0,PASS,0.7929683288082063,0.7929683288082063,0.0,PASS,1.0,1.0,0.0,PASS,0.46037902104483264,0.46037902104483264,0.0,PASS,,,,,,,0.12158092136120298,0.3149077889393767,0.12158092136120298,0.3149077889393767,0.0,0.0,0.15528917475795553,0.3189089514336428,0.15528917475795553,0.3189089514336428,0.0,0.0,0.15343426373761404,0.5443333745220296,0.15343426373761404,0.5443333745220296,0.0,0.0,0.016640176063944082,0.8813779592750522,0.016640176063944082,0.8813779592750522,0.0,0.0,0.3833333333333333,1.0,0.3833333333333333,1.0,0.0,0.0,0.10181573597351928,0.5853336744566249,0.10181573597351928,0.5853336744566249,0.0,0.0
POST_IB_PRE_OB,0.2,PASS,7,2,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.37553190526603625,0.37553190526603625,0.0,PASS,0.4547725498532552,0.4547725498532552,0.0,PASS,0.596111769239513,0.596111769239513,0.0,PASS,0.796232839310569,0.796232839310569,0.0,PASS,1.0,1.0,0.0,PASS,0.8362144860186582,0.8362144860186582,0.0,PASS,,,,,,,0.24316184272240596,0.4826699240325456,0.24316184272240596,0.4826699240325456,0.0,0.0,0.26444456664979654,0.5174736206184235,0.26444456664979654,0.5174736206184235,0.0,0.0,0.2918143512373002,0.724313508891322,0.2918143512373002,0.724313508891322,0.0,0.0,0.033280352127888164,0.9711454501896271,0.033280352127888164,0.9711454501896271,0.0,0.0,0.5333333333333333,1.0,0.5333333333333333,1.0,0.0,0.0,0.10253151512259578,0.9248452669869663,0.10253151512259578,0.9248452669869663,0.0,0.0
POST_IB_PRE_OB,0.3,PASS,7,3,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.5183028582973614,0.5183028582973614,0.0,PASS,0.58403700490242,0.58403700490242,0.0,PASS,0.7047009650625521,0.7047009650625521,0.0,PASS,0.9159205269928603,0.9159205269928603,0.0,PASS,1.0,1.0,0.0,PASS,0.9004624994681002,0.9004624994681002,0.0,PASS,,,,,,,0.36913059920541114,0.5766015274211324,0.36913059920541114,0.5766015274211324,0.0,0.0,0.40058584591633284,0.6212193939717455,0.40058584591633284,0.6212193939717455,0.0,0.0,0.4533476280756136,0.7616457258977619,0.4533476280756136,0.7616457258977619,0.0,0.0,0.12996423456293982,0.972089356802729,0.12996423456293982,0.972089356802729,0.0,0.0,0.7666666666666666,1.0,0.7666666666666666,1.0,0.0,0.0,0.32020645329387054,0.9742917981941,0.32020645329387054,0.9742917981941,0.0,0.0
POST_OB_PRE_TO,0.05,PASS,6,1,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.44966620902387894,0.44966620902387894,0.0,PASS,0.6982258073359686,0.6982258073359686,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.44966620902387894,0.44966620902387894,0.0,PASS,,,,,,,,,,,,,0.20177068557155656,0.8911393231220323,0.20177068557155656,0.8911393231220323,0.0,0.0,0.24326179322997313,0.8558671892898169,0.24326179322997313,0.8558671892898169,0.0,0.0,,,,,,,,,,,,,0.20177068557155656,0.8911393231220323,0.20177068557155656,0.8911393231220323,0.0,0.0
POST_OB_PRE_TO,0.1,PASS,6,1,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.44966620902387894,0.44966620902387894,0.0,PASS,0.6982258073359686,0.6982258073359686,0.0,PASS,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,,,,ABSTAIN_UNSUPPORTED_OR_ZERO_DENOMINATOR,0.44966620902387894,0.44966620902387894,0.0,PASS,,,,,,,,,,,,,0.20177068557155656,0.8911393231220323,0.20177068557155656,0.8911393231220323,0.0,0.0,0.24326179322997313,0.8558671892898169,0.24326179322997313,0.8558671892898169,0.0,0.0,,,,,,,,,,,,,0.20177068557155656,0.8911393231220323,0.20177068557155656,0.8911393231220323,0.0,0.0
