stage,q,status,n,k,delay_boundary_tie_count,consequence_boundary_tie_count,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,delay_boundary_tie_count_ci_low,delay_boundary_tie_count_ci_high,consequence_boundary_tie_count_ci_low,consequence_boundary_tie_count_ci_high,delay_boundary_tie_fraction_ci_low,delay_boundary_tie_fraction_ci_high,consequence_boundary_tie_fraction_ci_low,consequence_boundary_tie_fraction_ci_high
PRE_IB,0.05,PASS,4,1,1,1,0.25,0.25,1.0,4.0,1.0,4.0,0.2,1.0,0.2,1.0
PRE_IB,0.1,PASS,4,1,1,1,0.25,0.25,1.0,4.0,1.0,4.0,0.2,1.0,0.2,1.0
PRE_IB,0.2,PASS,4,1,1,1,0.25,0.25,1.0,4.0,1.0,4.0,0.2,1.0,0.2,1.0
PRE_IB,0.3,PASS,4,2,1,1,0.25,0.25,1.0,4.0,1.0,4.0,0.22375,1.0,0.22375,1.0
POST_IB_PRE_OB,0.05,PASS,7,1,1,1,0.14285714285714285,0.14285714285714285,1.0,3.5249999999999986,1.0,3.5249999999999986,0.13348214285714285,0.5524999999999999,0.13348214285714285,0.5524999999999999
POST_IB_PRE_OB,0.1,PASS,7,1,1,1,0.14285714285714285,0.14285714285714285,1.0,3.5249999999999986,1.0,3.5249999999999986,0.13348214285714285,0.5524999999999999,0.13348214285714285,0.5524999999999999
POST_IB_PRE_OB,0.2,PASS,7,2,1,1,0.14285714285714285,0.14285714285714285,1.0,3.5249999999999986,1.0,3.5249999999999986,0.14285714285714285,0.5524999999999999,0.14285714285714285,0.5524999999999999
POST_IB_PRE_OB,0.3,PASS,7,3,1,1,0.14285714285714285,0.14285714285714285,1.0,3.5249999999999986,1.0,3.5249999999999986,0.13348214285714285,0.5524999999999999,0.13348214285714285,0.5524999999999999
POST_OB_PRE_TO,0.05,PASS,6,1,1,1,0.16666666666666666,0.16666666666666666,1.0,3.5249999999999986,1.0,3.5249999999999986,0.16666666666666666,0.5864285714285714,0.16666666666666666,0.5864285714285714
POST_OB_PRE_TO,0.1,PASS,6,1,1,1,0.16666666666666666,0.16666666666666666,1.0,3.5249999999999986,1.0,3.5249999999999986,0.16666666666666666,0.5864285714285714,0.16666666666666666,0.5864285714285714
POST_OB_PRE_TO,0.2,PASS,6,2,1,1,0.16666666666666666,0.16666666666666666,1.0,3.5249999999999986,1.0,3.5249999999999986,0.16666666666666666,0.5864285714285714,0.16666666666666666,0.5864285714285714
POST_OB_PRE_TO,0.3,PASS,6,2,1,1,0.16666666666666666,0.16666666666666666,1.0,3.5249999999999986,1.0,3.5249999999999986,0.14285714285714285,0.5864285714285714,0.14285714285714285,0.5864285714285714
