replicate,n_nodes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,top_overlap,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count
0,1810,0.6708113907066163,0.0784530386740332,0.30674033149171287,0.10883977900552486,0.6022099447513812,0.8361170216740711,0.06353591160220995,0.045303867403314914,2,4
1,1872,0.7109833790897933,0.06730769230769237,0.24786324786324782,0.07158119658119658,0.6968085106382979,0.8650078683184157,0.07158119658119658,0.0,2,1
2,1783,0.7196424173053796,0.06225462703309026,0.2456533931575996,0.05215928210880538,0.9497206703910615,0.8746438969602741,0.05215928210880538,0.0,2,1
3,1750,0.792930221240472,0.041714285714285704,0.19199999999999995,0.017714285714285714,0.7085714285714285,0.9318785303271134,0.017714285714285714,0.0,1,1
4,1873,0.7112050068956699,0.08168713294180463,0.23406300053390275,0.06887346502936466,0.5,0.8640283221933942,0.06887346502936466,0.0,3,1
5,1519,0.646291607184414,0.08624094799210008,0.3286372613561554,0.10664911125740618,0.4934210526315789,0.8168303536697067,0.08294930875576037,0.02369980250164582,1,1
6,1933,0.7101100257862888,0.06259699948266939,0.2674599068804967,0.0429384376616658,0.8917525773195877,0.8734570055120836,0.032591826176927054,0.010346611484738748,2,1
7,1665,0.7464898252085074,0.06546546546546544,0.2408408408408408,0.021621621621621623,0.7964071856287425,0.9027618784160757,0.021621621621621623,0.0,3,1
8,1475,0.5766129923726003,0.10101694915254233,0.3556610169491526,0.21898305084745762,0.2905405405405405,0.7543034985974262,0.1369491525423729,0.08203389830508474,3,2
9,1673,0.7784816331671417,0.05618649133293485,0.20239091452480568,0.0041841004184100415,0.8214285714285714,0.9226104380863497,0.0041841004184100415,0.0,2,1
10,1609,0.6906273985491099,0.07085146053449343,0.290863890615289,0.08203853325046613,0.7453416149068323,0.8552095615962523,0.037290242386575516,0.044748290863890615,2,1
11,1827,0.7601224818655926,0.04980842911877398,0.23152709359605916,0.043787629994526546,0.825136612021858,0.9058346818645747,0.025725232621784347,0.0180623973727422,4,3
12,1742,0.6897352831856597,0.06084959816303104,0.2887485648679679,0.09184845005740529,0.6342857142857142,0.8520856487586695,0.03903559127439724,0.05281285878300804,1,3
13,1792,0.7074741351892387,0.0675223214285714,0.25987723214285735,0.0546875,0.7111111111111111,0.862318825159063,0.0546875,0.0,3,1
14,1767,0.6788567681784908,0.07753254102999432,0.29337860780984726,0.09564233163554046,0.7740112994350282,0.8429325321192581,0.03678551216751556,0.0588568194680249,3,2
15,1688,0.7602432976474293,0.05687203791469195,0.22470379146919428,0.017772511848341232,0.5443786982248521,0.9107441401648557,0.017772511848341232,0.0,3,2
16,1643,0.7129395773172317,0.07668898356664636,0.2567255021302495,0.02799756542909312,0.6787878787878788,0.8830508099660309,0.02799756542909312,0.0,3,3
17,1726,0.8096206467787154,0.03707995365005792,0.18018539976825027,0.014484356894553883,0.8439306358381503,0.9398977539881831,0.01216685979142526,0.002317497103128621,2,1
18,1757,0.7132764146414251,0.0813887307911213,0.2606715993170176,0.035856573705179286,0.5227272727272727,0.8761906525524497,0.03471826977803073,0.0011383039271485487,1,1
19,1492,0.7500872939592582,0.06166219839142095,0.23920911528150135,0.021447721179624665,0.78,0.9055210792988265,0.014075067024128687,0.007372654155495978,1,1
20,1944,0.7185385670632358,0.06481481481481485,0.2659465020576132,0.050411522633744855,0.5897435897435898,0.8750039302854846,0.03755144032921811,0.01286008230452675,1,1
21,1816,0.7406921127999087,0.08067180616740088,0.25412995594713655,0.030837004405286344,0.8846153846153846,0.8927120392257392,0.030837004405286344,0.0,1,2
22,2089,0.7385724461023321,0.0555289612254668,0.24365725227381518,0.030636668262326472,0.631578947368421,0.8855075260091051,0.030636668262326472,0.0,2,4
23,1717,0.7745554790174684,0.053581828771112394,0.20780430984274909,0.0192195690157251,0.5697674418604651,0.9253581933778355,0.0192195690157251,0.0,3,2
24,1782,0.6997068920722126,0.07351290684624018,0.27946127946127947,0.05443322109988777,0.5810055865921788,0.8651281413869676,0.04994388327721661,0.004489337822671156,1,1
25,1731,0.7149823696712883,0.07798960138648181,0.2530329289428076,0.042172154823801274,0.603448275862069,0.8745822323408384,0.0415944540727903,0.0005777007510109763,4,4
26,1801,0.7095085592165606,0.07551360355358133,0.2876179900055525,0.06052193225985564,0.6187845303867403,0.8657950019303007,0.05830094392004442,0.002220988339811216,1,2
27,1628,0.710946285838664,0.07371007371007376,0.25798525798525795,0.04914004914004914,0.8343558282208589,0.8758683438349806,0.023955773955773956,0.025184275184275184,1,4
