replicate,n_nodes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,top_overlap,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count
28,1520,0.7252464879424924,0.0644736842105263,0.24875000000000014,0.02631578947368421,0.8552631578947368,0.8863994271012969,0.021710526315789475,0.004605263157894736,1,1
29,1702,0.7031534449773666,0.07050528789659227,0.29371327849588724,0.09870740305522914,0.7719298245614035,0.8623583751217317,0.06110458284371328,0.03760282021151586,4,1
30,1571,0.7660093542999984,0.07383831954169318,0.21069382558879696,0.0076384468491406746,0.8037974683544303,0.9190722231032207,0.0076384468491406746,0.0,2,2
31,1775,0.653251458865708,0.08957746478873241,0.2884507042253522,0.09183098591549296,0.601123595505618,0.8130543275215368,0.08845070422535212,0.0033802816901408453,2,1
32,1851,0.7628714998553026,0.06482982171799029,0.22150189086980016,0.027552674230145867,0.532258064516129,0.9099392372814195,0.023230686115613183,0.004321988114532685,2,1
33,1733,0.6663517536344452,0.08597807270628968,0.3062896710905943,0.120600115406809,0.6149425287356322,0.8402112278109917,0.08020773225620312,0.040392383150605886,1,1
34,1984,0.6651458094506851,0.07938508064516128,0.32157258064516137,0.1345766129032258,0.7688442211055276,0.8262876471596425,0.07056451612903226,0.06401209677419355,1,1
35,1980,0.6854650245112687,0.09797979797979794,0.27378787878787897,0.06767676767676768,0.6919191919191919,0.8523063405756772,0.06767676767676768,0.0,2,2
36,1895,0.6787055097047171,0.09023746701846966,0.2891820580474934,0.09182058047493404,0.42105263157894735,0.836598031347353,0.08390501319261214,0.0079155672823219,1,2
37,1907,0.734840586797874,0.05820660723649709,0.2538017829050865,0.022548505506030415,0.7172774869109948,0.880446497578292,0.022548505506030415,0.0,1,2
38,1759,0.718480803508129,0.07447413303013073,0.24673109721432634,0.021034678794769755,0.8068181818181818,0.8844148510373617,0.019329164297896533,0.0017055144968732233,3,1
39,1744,0.6866280490093497,0.10063073394495414,0.2802178899082569,0.08314220183486239,0.6971428571428572,0.8527382327941604,0.06880733944954129,0.014334862385321102,2,1
40,1594,0.6588450898813673,0.10225846925972404,0.28155583437892107,0.08657465495608532,0.5375,0.8339732686089728,0.06148055207026349,0.025094102885821833,2,3
41,1854,0.6052574700362541,0.11272923408845736,0.35852211434735703,0.16936353829557713,0.6451612903225806,0.7702672730083193,0.07659115426105717,0.09277238403451996,2,1
42,1523,0.7168201819728552,0.061063690085357836,0.2736703873933026,0.06631648063033486,0.803921568627451,0.8767463088061397,0.04596191726854892,0.020354563361785948,1,2
43,1523,0.6539531349173795,0.08732764281024286,0.31004596191726846,0.10702560735390676,0.5751633986928104,0.8280080663051383,0.056467498358502954,0.050558108995403805,2,3
44,1786,0.6712806895296206,0.08594624860022396,0.30319148936170215,0.10414333706606943,0.7597765363128491,0.842770221975663,0.0593505039193729,0.04479283314669653,2,2
45,1787,0.7234563874164915,0.07946278679350866,0.24790151091214319,0.019585898153329603,0.7374301675977654,0.8886935452186991,0.019585898153329603,0.0,2,3
46,1648,0.6931629723744764,0.07888349514563098,0.29186893203883496,0.0891990291262136,0.5757575757575758,0.8594553003793725,0.050970873786407765,0.03822815533980582,2,2
47,1908,0.7350919197743048,0.0676100628930818,0.2578616352201258,0.06918238993710692,0.7801047120418848,0.8826153311050469,0.06918238993710692,0.0,2,1
48,1864,0.7346566881014485,0.06223175965665234,0.2378755364806867,0.04130901287553648,0.8449197860962567,0.8926173345750471,0.0407725321888412,0.000536480686695279,3,2
49,1831,0.7139937175476813,0.0677225559803386,0.2583287820862916,0.034953577280174765,0.75,0.881514993218169,0.025122883670125613,0.009830693610049153,2,4
50,1841,0.7373842672618848,0.07713199348180333,0.2384573601303639,0.021184139054861488,0.6648648648648648,0.8935756737678092,0.021184139054861488,0.0,3,1
51,1691,0.7409122238784224,0.06445890005913657,0.21939680662329986,0.06091070372560615,0.8058823529411765,0.8971251386179551,0.06091070372560615,0.0,2,1
52,1867,0.6950554673844427,0.08141403320835572,0.2860203535083021,0.07284413497589716,0.8021390374331551,0.865581531456027,0.04284949116229245,0.029994643813604713,1,1
53,1825,0.7689961415966671,0.043835616438356206,0.2482191780821918,0.03671232876712329,0.9180327868852459,0.908437836518877,0.03506849315068493,0.0016438356164383563,3,2
54,1858,0.7510062624132775,0.05705059203444568,0.2072120559741658,0.042518837459634015,0.7204301075268817,0.8954725865671498,0.040365984930032295,0.002152852529601722,1,2
55,1893,0.7441972499111398,0.04912836767036444,0.23824617010036975,0.028526148969889066,0.7052631578947368,0.8943776848731831,0.02271526677231907,0.005810882197569995,5,3
56,1763,0.7500662010152754,0.06920022688598981,0.2013613159387408,0.03403289846851957,0.6101694915254238,0.9014747640422808,0.03403289846851957,0.0,2,1
57,1674,0.6734417896216753,0.06451612903225803,0.3130227001194744,0.12246117084826762,0.7738095238095238,0.8346400865983713,0.08243727598566308,0.04002389486260454,1,3
58,1728,0.6977180981154756,0.0758101851851852,0.28009259259259256,0.04976851851851852,0.6878612716763006,0.8587913086610578,0.031828703703703706,0.017939814814814815,1,1
59,1954,0.7713099959558151,0.04912998976458546,0.22983623336745143,0.0255885363357216,0.6836734693877551,0.9143909642824218,0.0255885363357216,0.0,3,1
60,1674,0.6159322174452004,0.10692951015531663,0.3339307048984468,0.17025089605734767,0.7440476190476191,0.7859717559226358,0.10991636798088411,0.06033452807646356,2,3
61,1751,0.6055409289788444,0.12107367218732151,0.3449457452884066,0.17418617932609937,0.7272727272727273,0.7793151098530737,0.10622501427755568,0.06796116504854369,1,2
62,1661,0.732260643105913,0.058398555087296855,0.24262492474413,0.025285972305839857,0.8562874251497006,0.8890700036137025,0.025285972305839857,0.0,3,3
63,1839,0.7742622855674121,0.047852093529091866,0.21370309951060362,0.013594344752582926,0.782608695652174,0.9208687712581808,0.011419249592169658,0.002175095160413268,2,3
64,1773,0.6701799937827743,0.08629441624365486,0.31697687535250985,0.1314156796390299,0.7078651685393258,0.8397334437733222,0.06655386350817823,0.06486181613085167,2,1
65,1979,0.6959846254079658,0.07377463365336026,0.25821121778676104,0.07478524507326932,0.8636363636363636,0.8528421200105333,0.07478524507326932,0.0,1,3
66,1680,0.7494275911702124,0.047619047619047644,0.25297619047619047,0.01488095238095238,0.6190476190476191,0.9008436863204444,0.01130952380952381,0.0035714285714285713,2,2
67,1787,0.6803484904080462,0.09233351986569671,0.30330162283156126,0.1119194180190263,0.6759776536312849,0.8447533578427204,0.06715165081141578,0.04476776720761052,1,2
68,1771,0.7113934072950754,0.06719367588932812,0.25014116318464147,0.05138339920948617,0.7921348314606742,0.8751212706500715,0.050818746470920384,0.000564652738565782,1,2
69,1605,0.6995638908466866,0.057320872274143286,0.2981931464174456,0.09844236760124611,0.5527950310559007,0.8551466157550857,0.05669781931464175,0.041744548286604365,1,3
70,1694,0.6914615127936995,0.07556080283353017,0.25974025974025977,0.05962219598583235,0.8588235294117647,0.85193775863894,0.0590318772136954,0.0005903187721369539,3,1
71,1990,0.6726566647957404,0.09321608040201004,0.2979899497487437,0.08190954773869347,0.47738693467336685,0.8432070796429291,0.06683417085427136,0.01507537688442211,3,2
72,1884,0.7629465240671893,0.04883227176220806,0.2277070063694267,0.028662420382165606,0.5502645502645502,0.9079170205996262,0.028662420382165606,0.0,1,3
73,1932,0.7225216234198271,0.07608695652173916,0.24906832298136689,0.07971014492753623,0.5051546391752577,0.8714525610473044,0.07971014492753623,0.0,1,2
74,1776,0.7441597033500116,0.058558558558558516,0.24436936936936937,0.02195945945945946,0.7528089887640449,0.9016605225070163,0.02195945945945946,0.0,4,4
75,1824,0.7279047593823662,0.07456140350877194,0.2635416666666667,0.05921052631578947,0.7923497267759563,0.8831057364556774,0.0356359649122807,0.023574561403508772,3,3
76,1933,0.7477478732667963,0.04914640455250907,0.25876875323331605,0.023279875840662184,0.7938144329896907,0.8941412617532373,0.02224521469218831,0.0010346611484738748,2,1
77,1850,0.7065071525596525,0.06918918918918915,0.2584864864864866,0.06864864864864866,0.7513513513513513,0.8666852848657184,0.06864864864864866,0.0,1,2
78,1708,0.6875790161853991,0.07845433255269318,0.28454332552693207,0.06908665105386416,0.8070175438596491,0.851198735644895,0.06323185011709602,0.00585480093676815,3,2
79,1668,0.7722890889691706,0.03717026378896887,0.22577937649880095,0.020983213429256596,0.8383233532934131,0.9147159384729653,0.013788968824940047,0.007194244604316547,2,1
80,1499,0.6767316736131233,0.09272848565710479,0.2735156771180787,0.058038692461641096,0.72,0.8489199567408743,0.02601734489659773,0.032021347565043365,1,1
81,1639,0.7448562002572179,0.06223306894447833,0.25564368517388647,0.027455765710799267,0.6890243902439024,0.9043635581455222,0.026235509456985967,0.0012202562538133007,3,1
82,1515,0.6867313622109714,0.06336633663366331,0.2884488448844885,0.08976897689768977,0.743421052631579,0.8522886342688059,0.0627062706270627,0.02706270627062706,3,3
83,1775,0.7099090979010713,0.08450704225352113,0.26760563380281693,0.030985915492957747,0.7134831460674157,0.865673697662975,0.030985915492957747,0.0,2,2
84,1540,0.7153473125728673,0.06493506493506494,0.2683766233766237,0.07142857142857142,0.8571428571428571,0.8723072178179404,0.07142857142857142,0.0,1,1
85,1886,0.7120279069872187,0.08801696712619297,0.25291622481442205,0.059915164369035,0.7142857142857143,0.8779088492918223,0.041357370095440084,0.01855779427359491,4,1
86,1815,0.7533375738389184,0.04958677685950408,0.24462809917355377,0.02809917355371901,0.7637362637362637,0.8977926185382894,0.025895316804407712,0.0022038567493112946,3,3
87,1569,0.7714186187711306,0.05481198215423838,0.2096876991714468,0.012746972594008922,0.7707006369426752,0.9225575331221572,0.012746972594008922,0.0,2,4
88,1783,0.7092013555289971,0.06337633202467752,0.2798653954010095,0.05103757711721817,0.8715083798882681,0.8675092944923306,0.035333707234997194,0.015703869882220976,4,4
89,1733,0.7968195570163971,0.04500865551067518,0.19042123485285634,0.0103866128101558,0.8390804597701149,0.9353088084758283,0.003462204270051933,0.006924408540103866,4,2
90,1828,0.668440075523721,0.09299781181619257,0.2778993435448577,0.07986870897155361,0.5081967213114754,0.8376734189240297,0.07056892778993436,0.009299781181619256,3,2
91,1790,0.7188725646478703,0.06340782122905028,0.2810614525139666,0.07206703910614524,0.8044692737430168,0.8728265066239087,0.03910614525139665,0.0329608938547486,3,1
92,1680,0.6670617896658535,0.08809523809523812,0.32863095238095247,0.11964285714285715,0.8154761904761905,0.832032902517171,0.07321428571428572,0.04642857142857143,3,2
93,1685,0.7420363987850609,0.06943620178041546,0.23620178041543027,0.02373887240356083,0.40828402366863903,0.8966227482207122,0.01543026706231454,0.00830860534124629,3,4
94,1985,0.664231492011997,0.08715365239294715,0.30831234256926954,0.13602015113350127,0.7035175879396985,0.8301467782110762,0.061460957178841306,0.07455919395465994,2,3
95,1828,0.7264871725877101,0.0672866520787746,0.236652078774617,0.03774617067833698,0.8852459016393442,0.8830193003066634,0.03774617067833698,0.0,2,1
96,1682,0.7231304963284084,0.08085612366230677,0.25499405469678954,0.04399524375743163,0.7692307692307693,0.8869282812243403,0.04399524375743163,0.0,2,2
97,1871,0.7405636900151146,0.0662747194013896,0.2538749331908071,0.028327097808658473,0.8457446808510638,0.8917507595628378,0.021913415285943347,0.006413682522715126,1,3
98,2119,0.7610431393752191,0.05096743747050503,0.24398301085417645,0.030202925908447382,0.7122641509433962,0.9073908964271096,0.02878716375648891,0.001415762151958471,1,1
99,1994,0.81169251850098,0.04864593781344029,0.17888665997993985,0.024072216649949848,0.685,0.9353667869154413,0.022066198595787363,0.0020060180541624875,2,3
100,1746,0.6465889623424806,0.0744558991981672,0.3193012600229095,0.13058419243986255,0.6514285714285715,0.8147678794340395,0.08648339060710195,0.0441008018327606,1,2
101,1732,0.784943221084218,0.05080831408775982,0.21068129330254046,0.013856812933025405,0.8333333333333334,0.9269226668124384,0.011547344110854504,0.0023094688221709007,3,1
102,1748,0.7442862864975887,0.05062929061784899,0.22877574370709375,0.02288329519450801,0.8057142857142857,0.9002373698657665,0.007437070938215103,0.015446224256292907,2,4
103,1577,0.7818094237733758,0.04946100190234626,0.20380469245402671,0.0057070386810399495,0.7531645569620253,0.9279335176631831,0.0057070386810399495,0.0,2,1
104,1687,0.7028331100025899,0.061055127445168944,0.2697095435684647,0.04386484884410195,0.7928994082840237,0.8627978069964325,0.01778304682868998,0.026081802015411975,2,3
105,1517,0.6662409313591056,0.07910349373764014,0.29558338826631514,0.09690177982860909,0.7631578947368421,0.8386154486677256,0.07119314436387607,0.025708635464733027,2,3
106,1851,0.7113482684391317,0.069151809832523,0.2744462452728255,0.06212857914640735,0.8978494623655914,0.8743391323631509,0.036196650459211235,0.02593192868719611,3,2
107,1649,0.6445826308000886,0.08368708308065492,0.32080048514251064,0.14736203759854458,0.6666666666666666,0.8158119812923452,0.09460278956943602,0.05275924802910855,1,2
108,1474,0.6764136292711357,0.08683853459972862,0.27883310719131615,0.08208955223880597,0.6756756756756757,0.8472287602259386,0.03731343283582089,0.04477611940298507,1,1
109,1689,0.666103252889456,0.09177027827116635,0.28952042628774427,0.06394316163410302,0.5088757396449705,0.8377452083944575,0.06039076376554174,0.003552397868561279,2,1
110,1760,0.7481122320636987,0.06789772727272728,0.21420454545454543,0.03579545454545455,0.8409090909090909,0.9034155645864018,0.03579545454545455,0.0,1,1
111,1773,0.6889375182014744,0.07557811618725324,0.2741116751269036,0.05358150028200789,0.8651685393258427,0.855584109378931,0.04342921601804851,0.01015228426395939,3,3
112,1812,0.6664246846099412,0.10320088300220753,0.2891832229580574,0.08112582781456953,0.6483516483516484,0.8361863185882169,0.04856512141280353,0.032560706401766004,1,3
113,1672,0.7335738965072004,0.054126794258373245,0.2718301435406701,0.04485645933014354,0.6785714285714286,0.8817421921957775,0.020933014354066987,0.023923444976076555,2,4
114,1665,0.7244942638195058,0.06426426426426426,0.2672672672672673,0.06906906906906907,0.6766467065868264,0.878055709686174,0.04024024024024024,0.02882882882882883,1,2
115,2183,0.8103879229196923,0.03802107191937698,0.18140174072377468,0.017407237746220796,0.7214611872146118,0.9354236539260495,0.013742556115437472,0.0036646816307833257,2,1
116,2058,0.724661443411266,0.0809037900874636,0.26107871720116615,0.04956268221574344,0.7669902912621359,0.8813418446286446,0.04518950437317784,0.004373177842565598,2,1
117,1602,0.6917707020289335,0.05680399500624221,0.270848938826467,0.04931335830212235,0.6708074534161491,0.8615169463358908,0.02372034956304619,0.025593008739076155,1,1
118,1615,0.6763177625231228,0.10092879256965942,0.30526315789473685,0.11331269349845201,0.5740740740740741,0.8440262501293724,0.05944272445820433,0.05386996904024768,1,2
119,1783,0.757897183692162,0.05776780706674145,0.2404935501962984,0.03645541222658441,0.8547486033519553,0.9063613707214903,0.03645541222658441,0.0,3,1
120,1661,0.7039866434378631,0.08850090307043945,0.24443106562311867,0.054184226369656835,0.7784431137724551,0.8742386625250538,0.019867549668874173,0.03431667670078266,1,3
121,1644,0.7830797459086613,0.03953771289537711,0.21167883211678834,0.017639902676399026,0.7454545454545455,0.9242301072133603,0.015206812652068127,0.0024330900243309003,1,1
122,1810,0.7689926053524851,0.06685082872928183,0.2099447513812155,0.019337016574585635,0.7790055248618785,0.9187490192417942,0.013259668508287293,0.0060773480662983425,1,1
123,1816,0.7317856446756358,0.0680066079295154,0.2433920704845815,0.034140969162995596,0.7802197802197802,0.8881427850507444,0.034140969162995596,0.0,3,2
124,1935,0.6151985769250927,0.12403100775193798,0.33178294573643413,0.1648578811369509,0.6391752577319587,0.7832952987013899,0.10284237726098192,0.06201550387596899,3,2
125,1649,0.6889453299370489,0.08247422680412375,0.2942389326864767,0.07762280169799879,0.7636363636363637,0.8595993061788947,0.06003638568829594,0.01758641600970285,1,1
126,1662,0.7703104549689836,0.05054151624548742,0.21419975932611307,0.009025270758122744,0.7724550898203593,0.91591379102714,0.009025270758122744,0.0,2,1
127,1721,0.7490367094983587,0.073794305636258,0.22370714700755379,0.02440441603718768,0.8728323699421965,0.9058865089168878,0.02440441603718768,0.0,3,3
128,1827,0.7271588465673476,0.06349206349206349,0.2714833059660645,0.038314176245210725,0.6557377049180327,0.8736031891340913,0.038314176245210725,0.0,1,3
129,1682,0.7079117819107875,0.07491082045184305,0.26813317479191445,0.044589774078478,0.5266272189349113,0.8687161900418822,0.03626634958382877,0.008323424494649227,1,4
130,1711,0.8040748167564348,0.0520163646990065,0.1724137931034483,0.014611338398597311,0.8488372093023255,0.9388959153103691,0.014611338398597311,0.0,2,3
131,1769,0.757314095279049,0.07179197286602601,0.23301300169587338,0.0248728094968909,0.7740112994350282,0.908794859483108,0.02430751837196156,0.0005652911249293386,1,2
132,2104,0.7620984559320455,0.060836501901140705,0.21867870722433463,0.02614068441064639,0.5971563981042654,0.9091673233990663,0.02614068441064639,0.0,4,3
133,1620,0.721032116446255,0.07345679012345677,0.2519135802469137,0.05308641975308642,0.7962962962962963,0.8770609622986757,0.05308641975308642,0.0,1,1
134,2094,0.7093213155721831,0.08357211079274116,0.25329512893982814,0.07688634192932187,0.5333333333333333,0.854482569267082,0.07497612225405921,0.0019102196752626551,5,2
135,1612,0.6726177354284631,0.086848635235732,0.3132133995037221,0.1054590570719603,0.6790123456790124,0.8418634250775362,0.05893300248138958,0.04652605459057072,1,2
136,1786,0.7331796187526765,0.05991041433370664,0.2486002239641657,0.021836506159014557,0.6424581005586593,0.8922458385511761,0.006159014557670772,0.015677491601343786,1,2
137,1626,0.7381390657361567,0.06396063960639606,0.2527675276752767,0.019065190651906518,0.803680981595092,0.8925099229383433,0.01845018450184502,0.0006150061500615006,1,1
138,1810,0.662708866625542,0.11215469613259665,0.26077348066298345,0.054696132596685085,0.6187845303867403,0.8231134734812712,0.054696132596685085,0.0,3,3
139,1555,0.7345463801364552,0.07652733118971056,0.24051446945337618,0.016720257234726688,0.5897435897435898,0.8918281599232118,0.016720257234726688,0.0,2,2
140,2164,0.7006445973063086,0.08987985212569315,0.2825785582255085,0.0933456561922366,0.5069124423963134,0.8506860075640975,0.08826247689463956,0.005083179297597043,2,2
141,1884,0.7156253755706558,0.07696390658174099,0.2475583864118896,0.06422505307855626,0.5767195767195767,0.8766315348319584,0.06422505307855626,0.0,3,1
142,1875,0.7324388390787444,0.06506666666666666,0.24981333333333364,0.04853333333333333,0.6914893617021277,0.8864000138048321,0.042133333333333335,0.0064,3,1
143,1808,0.7186332195513794,0.08904867256637167,0.23174778761061954,0.06471238938053098,0.6298342541436464,0.8729687855941284,0.06471238938053098,0.0,2,3
144,1767,0.7115758417661877,0.06338426711941136,0.2848896434634975,0.057724957555178265,0.5875706214689266,0.8623236479666566,0.057724957555178265,0.0,2,1
145,1777,0.8306886629166235,0.038829487900956694,0.1442881260551492,0.007878446820483961,0.7696629213483146,0.9535230777932078,0.007878446820483961,0.0,2,1
146,1526,0.7099849032907386,0.07208387942332894,0.24967234600262125,0.04325032765399738,0.6209150326797386,0.8824511004707688,0.04193971166448231,0.001310615989515072,4,1
147,1796,0.7024962001927223,0.07182628062360802,0.25501113585746105,0.022828507795100223,0.45,0.8749768365463001,0.022828507795100223,0.0,2,3
148,1695,0.6672343302882118,0.10029498525073749,0.28613569321533927,0.049557522123893805,0.5,0.8336185905450386,0.049557522123893805,0.0,1,1
149,1698,0.7415918017245271,0.0624263839811543,0.22320376914016482,0.01707891637220259,0.6941176470588235,0.904598176046911,0.01707891637220259,0.0,2,1
150,1594,0.6648549867711101,0.07841907151819327,0.2898368883312421,0.09849435382685069,0.5625,0.8269027158515749,0.06085319949811794,0.037641154328732745,1,1
151,1745,0.772398177543473,0.0515759312320917,0.21719197707736393,0.013753581661891117,0.7657142857142857,0.9201808773231078,0.013753581661891117,0.0,1,1
152,1994,0.7507695128819729,0.0651955867602809,0.2457372116349047,0.04212637913741224,0.4,0.8993167310335579,0.04212637913741224,0.0,4,4
153,1998,0.7297678623932662,0.05555555555555547,0.23123123123123124,0.028028028028028028,0.625,0.8904227439050745,0.024524524524524523,0.0035035035035035035,3,3
154,1901,0.761913472667527,0.054182009468700665,0.20725933719095213,0.03208837453971594,0.7015706806282722,0.9079844636171579,0.0194634402945818,0.01262493424513414,1,3
155,1670,0.7176454027640226,0.059281437125748515,0.26347305389221554,0.04790419161676647,0.6586826347305389,0.8761754271751621,0.04790419161676647,0.0,2,1
156,1587,0.7385598347750474,0.06427221172022679,0.2501575299306868,0.04662885948330183,0.6918238993710691,0.8898487165038119,0.037177063642092,0.00945179584120983,2,1
157,1791,0.7602640156860787,0.06700167504187604,0.19765494137353434,0.03238414293690676,0.7722222222222223,0.909559403607393,0.03238414293690676,0.0,1,3
158,1665,0.6977817344642647,0.07987987987987988,0.28828828828828834,0.057057057057057055,0.6047904191616766,0.8574207066836275,0.04564564564564565,0.011411411411411412,4,2
159,1927,0.6743571504457517,0.09185262065386607,0.2942397509081474,0.08458744161909704,0.7305699481865285,0.8403332608301554,0.06071613907628438,0.023871302542812663,2,1
160,1841,0.7098297833364358,0.05649103747963069,0.2900597501357957,0.08310700706137969,0.8162162162162162,0.8667658260439893,0.060836501901140684,0.022270505160239002,2,1
161,1851,0.7048602770437985,0.072933549432739,0.27336574824419235,0.04700162074554295,0.8602150537634409,0.8643001227342385,0.04700162074554295,0.0,1,2
162,1563,0.7025207272918089,0.07357645553422898,0.2661548304542547,0.061420345489443376,0.6878980891719745,0.8654667358353814,0.022392834293026232,0.03902751119641715,4,4
163,1814,0.6767944130391641,0.07497243660418962,0.2867144432194047,0.08324145534729879,0.6703296703296703,0.8462157533040873,0.08269018743109151,0.0005512679162072767,3,1
164,1549,0.6909072842096825,0.08844415752098128,0.28586184635248557,0.08844415752098128,0.7483870967741936,0.8580434755083762,0.06907682375726275,0.019367333763718526,1,1
165,1600,0.761183031471209,0.05562500000000002,0.22499999999999998,0.025,0.81875,0.9106800505423722,0.01875,0.00625,1,2
166,1553,0.6719115797379095,0.08370895041854476,0.31616226658081137,0.11719253058596266,0.7435897435897436,0.8432788175145486,0.07598197037990985,0.0412105602060528,1,3
167,1596,0.6988549420236749,0.09147869674185466,0.2471804511278196,0.06077694235588972,0.60625,0.8609770270642497,0.06077694235588972,0.0,3,1
168,1845,0.755131451629506,0.06829268292682922,0.23447154471544723,0.018970189701897018,0.8594594594594595,0.9078823328939621,0.01842818428184282,0.0005420054200542005,1,3
169,1873,0.7139259436843216,0.0758142018152696,0.2455953016550988,0.06673785371062467,0.824468085106383,0.871628373715111,0.06673785371062467,0.0,2,2
170,1846,0.6306685108778296,0.0747562296858072,0.35969664138678226,0.176056338028169,0.6,0.7930551869748812,0.10130010834236186,0.07475622968580715,2,1
171,1496,0.6335129522547843,0.08622994652406413,0.3348930481283422,0.1657754010695187,0.8466666666666667,0.8002022507645683,0.07352941176470588,0.09224598930481283,1,1
172,1797,0.5614210527621795,0.1213132999443517,0.35058430717863104,0.2159154145798553,0.4,0.7295968726858585,0.14969393433500278,0.06622148024485253,4,4
173,1842,0.7402117610538362,0.0513029315960912,0.26970684039087955,0.03745928338762215,0.7621621621621621,0.891012007106752,0.035830618892508145,0.0016286644951140066,1,2
174,1610,0.6588865610995752,0.07826086956521738,0.32180124223602496,0.11677018633540373,0.5527950310559007,0.8331113061559846,0.07080745341614907,0.04596273291925466,2,1
