replicate,caliper_minutes,support_status,unique_episode_pairs,median_priority_separation,share_priority_separation_ge_030,median_component_gap_F_continuity,median_component_gap_F_execution,median_component_gap_F_propagation,median_component_gap_P_time,median_component_gap_P_itinerary,median_component_gap_P_service,median_component_gap_R_operating
0,5.0,SUPPORTED,6333,0.24281767955801106,0.41007421443233855,0.0,0.1116974665269749,0.22341314544901253,0.24456415693324096,0.019244419829232903,0.0,0.1996216165833175
1,5.0,SUPPORTED,6456,0.22008547008547008,0.34603469640644363,0.0,0.11457681557865243,0.22271577120631458,0.2256844226147522,0.03244687898189359,0.0009991703179833842,0.12367929911112054
2,5.0,SUPPORTED,6004,0.21929332585530004,0.35609593604263823,0.0,0.11864548027926297,0.2374523558340628,0.2355659805992607,0.028013932283088724,0.0,0.15543041278391184
3,5.0,SUPPORTED,5970,0.2124285714285714,0.34522613065326635,0.0,0.10519832783543012,0.20884111837801966,0.20599259899182998,0.03466787224279293,0.0,0.11460622120648623
4,5.0,SUPPORTED,6522,0.24145755472504005,0.3912910150260656,0.0,0.11841683102401847,0.23930805576954428,0.2273723635284331,0.039389398653232766,0.0010005788677337714,0.10992056080140174
5,5.0,SUPPORTED,6500,0.21988150098749176,0.37153846153846154,0.0,0.12635280194696047,0.21673864772013585,0.2394322284697149,0.03145526109616261,0.006286840226789739,0.13651888267827486
6,5.0,SUPPORTED,5984,0.2243921365752716,0.3741644385026738,0.0,0.11261239406688697,0.23392562462249777,0.2575225198053036,0.020059101232529117,0.0,0.13253888466038083
7,5.0,SUPPORTED,6215,0.22132132132132126,0.35559131134352373,0.0,0.12064830083117539,0.2425510105676949,0.2786185116823652,0.03414429656110561,0.0,0.131807964775149
8,5.0,SUPPORTED,6683,0.23186440677966103,0.39368547059703723,0.0,0.12452519330492359,0.2244023255305364,0.225566984838331,0.03466487494583118,0.0026607562902748755,0.16885342961177233
9,5.0,SUPPORTED,5938,0.2038254632396892,0.32738295722465477,0.0,0.10153716295848375,0.23663026201243464,0.23385262666494544,0.026026343598790722,0.0,0.12872963768895715
10,5.0,SUPPORTED,6362,0.2197016780609074,0.3520905375668029,0.0,0.1098603064845734,0.22940780580975112,0.2206026955928178,0.01563668113974808,0.0,0.1673676596416044
11,5.0,SUPPORTED,6259,0.21729611384783798,0.33983064387282313,0.0,0.11482927257962083,0.23880396690583094,0.2528928901011226,0.03280981860377608,0.0,0.15947126718237994
12,5.0,SUPPORTED,6471,0.2264638346727899,0.37459434399629116,0.0,0.10781310189357846,0.20232838432566497,0.2160838022252599,0.029638464296355138,0.0,0.16957462928257883
13,5.0,SUPPORTED,5984,0.22042410714285715,0.35294117647058826,0.0,0.13014967986108625,0.2587109087702866,0.27922830922832237,0.03362466161315958,0.004852786576721165,0.15987224534736413
14,5.0,SUPPORTED,6390,0.24830220713073006,0.4111111111111111,0.0,0.10990691517866624,0.22696145364916032,0.25780113690946505,0.03246916113487511,0.0,0.18801052453927694
15,5.0,SUPPORTED,6399,0.2340047393364929,0.378965463353649,0.0,0.09660627547648123,0.2146768844570034,0.1844076150069299,0.019274237552147855,0.0,0.0971432101912797
16,5.0,SUPPORTED,6127,0.20054777845404748,0.333768565366411,0.0,0.1002636204203149,0.2328570332029819,0.22640474515684172,0.031720602723098235,0.0,0.14616865311418895
17,5.0,SUPPORTED,6109,0.22161066048667438,0.35504992633818955,0.0,0.11254974572083862,0.24364633822988238,0.22592486003342707,0.029675988434281465,0.0021373420434436336,0.11229588164856731
18,5.0,SUPPORTED,6634,0.2384746727376209,0.3901115465782333,0.0,0.12219818089053647,0.22616077803441004,0.2722910781142782,0.030742586771910444,0.0,0.11323281729128211
19,5.0,SUPPORTED,6493,0.206769436997319,0.3269675034652703,0.0,0.11586638040486681,0.23511244693654584,0.22622576610704248,0.04042815422980244,0.0,0.11598283138443358
20,5.0,SUPPORTED,6512,0.24627057613168724,0.4120085995085995,0.0,0.10794597268378481,0.21921383838257105,0.2346530318142257,0.02112171862665206,0.0,0.12277600867673756
21,5.0,SUPPORTED,6445,0.2205396475770925,0.3557796741660202,0.0,0.10755688263281415,0.2386664517180179,0.18994073036979653,0.029632515351283705,0.0,0.12367177839016755
22,5.0,SUPPORTED,6468,0.22474868358066058,0.3746134817563389,0.0,0.10872228940245846,0.22663103783670524,0.2464322303390346,0.03551485657684925,0.0,0.11135059860685859
23,5.0,SUPPORTED,5931,0.22073383808969133,0.34631596695329625,0.0,0.11251333622974075,0.23771330052691464,0.2491869418588943,0.030667667073226934,0.0,0.15947126718237994
24,5.0,SUPPORTED,6772,0.2485970819304152,0.4162728883638512,0.0,0.10363126991123761,0.21240188837691687,0.1942435708350188,0.029675988434281465,0.0,0.14793044070829636
25,5.0,SUPPORTED,6155,0.21634893125361054,0.34914703493095045,0.0,0.10755688263281415,0.23771330052691464,0.22419678807144586,0.025750799265790405,0.0,0.1673567578603979
26,5.0,SUPPORTED,6382,0.21321488062187677,0.3630523346913193,0.0,0.10377990283749944,0.21131651024329698,0.22188846897017256,0.02949074505657593,0.0,0.11229588164856731
27,5.0,SUPPORTED,6196,0.21683046683046686,0.35200129115558426,0.0,0.1260539434425642,0.2247554591624067,0.2885956916031414,0.03935161603662737,0.0,0.12928642828483133
