replicate,quantity_id,estimate,n_nodes
0,F_continuity,-0.15268688813094866,1810
0,F_execution,0.7832965460368388,1810
0,F_propagation,0.991412257502347,1810
0,P_time,0.5770731006574383,1810
0,P_itinerary,0.4517053629085254,1810
0,P_service,0.5809853858298598,1810
0,R_operating,0.266841966327752,1810
0,score_F,0.9220084418621001,1810
0,score_P,0.5765009367960658,1810
0,score_R,0.266841966327752,1810
1,F_continuity,-0.10337580692874879,1872
1,F_execution,0.8400127192133047,1872
1,F_propagation,0.9989563882470378,1872
1,P_time,0.5987745193285803,1872
1,P_itinerary,0.4031692673137905,1872
1,P_service,0.6293482706077625,1872
1,R_operating,0.21559437218123761,1872
1,score_F,0.9412759080238011,1872
1,score_P,0.6011015839126232,1872
1,score_R,0.21559437218123761,1872
2,F_continuity,-0.15004623937717157,1783
2,F_execution,0.8547966528627271,1783
2,F_propagation,0.9955326409353431,1783
2,P_time,0.6272595384887715,1783
2,P_itinerary,0.30854965160367,1783
2,P_service,0.6210974712970828,1783
2,R_operating,0.26984200309040807,1783
2,score_F,0.9389859251107286,1783
2,score_P,0.6119342058928953,1783
2,score_R,0.26984200309040807,1783
3,F_continuity,-0.17381864446117865,1750
3,F_execution,0.7934551490508539,1750
3,F_propagation,0.9986340706642703,1750
3,P_time,0.6540058830878558,1750
3,P_itinerary,0.44529645856493816,1750
3,P_service,0.6091315551122779,1750
3,R_operating,0.3328455287219115,1750
3,score_F,0.922363386968378,1750
3,score_P,0.669145971092152,1750
3,score_R,0.3328455287219115,1750
4,F_continuity,-0.14881984945677737,1873
4,F_execution,0.84292679212611,1873
4,F_propagation,0.9916517163388913,1873
4,P_time,0.5820915799760707,1873
4,P_itinerary,0.3241943452631406,1873
4,P_service,0.6052357394713163,1873
4,R_operating,0.24000975335823888,1873
4,score_F,0.9327946186374887,1873
4,score_P,0.5630999461133082,1873
4,score_R,0.24000975335823888,1873
5,F_continuity,-0.18698562019417558,1519
5,F_execution,0.8205381522126535,1519
5,F_propagation,0.9946151036302936,1519
5,P_time,0.5293521036745269,1519
5,P_itinerary,0.41614980395248785,1519
5,P_service,0.565242960601515,1519
5,R_operating,0.10450604267908646,1519
5,score_F,0.9244306202479323,1519
5,score_P,0.5416097894762434,1519
5,score_R,0.10450604267908646,1519
6,F_continuity,-0.1553359043717984,1933
6,F_execution,0.8189457693423731,1933
6,F_propagation,0.9944982322162654,1933
6,P_time,0.6322227866768696,1933
6,P_itinerary,0.37488848784505574,1933
6,P_service,0.6293527552017611,1933
6,R_operating,0.2813862606704461,1933
6,score_F,0.9329438596265595,1933
6,score_P,0.6310031359385415,1933
6,score_R,0.2813862606704461,1933
7,F_continuity,-0.13885135631698836,1665
7,F_execution,0.8211910611105686,1665
7,F_propagation,0.9926025303543998,1665
7,P_time,0.6731925915059153,1665
7,P_itinerary,0.24665388532124646,1665
7,P_service,0.579645140485131,1665
7,R_operating,0.28327117652264255,1665
7,score_F,0.9330925888320468,1665
7,score_P,0.6625534863990437,1665
7,score_R,0.28327117652264255,1665
8,F_continuity,-0.13913410134882379,1475
8,F_execution,0.7754761583151256,1475
8,F_propagation,0.9888806628783087,1475
8,P_time,0.509388702605107,1475
8,P_itinerary,0.4234496390349054,1475
8,P_service,0.5473096873923473,1475
8,R_operating,0.14314339672073423,1475
8,score_F,0.9118869523563875,1475
8,score_P,0.521544640554184,1475
8,score_R,0.14314339672073423,1475
9,F_continuity,-0.2015421951128142,1673
9,F_execution,0.86272554777533,1673
9,F_propagation,0.9934498788027966,1673
9,P_time,0.6830489565137117,1673
9,P_itinerary,0.4222684957525502,1673
9,P_service,0.6227408619170295,1673
9,R_operating,0.37109406166410536,1673
9,score_F,0.9448125531797653,1673
9,score_P,0.6743312320244342,1673
9,score_R,0.37109406166410536,1673
10,F_continuity,-0.09670943347276578,1609
10,F_execution,0.7990171284900912,1609
10,F_propagation,0.9912000374505184,1609
10,P_time,0.5796488524103098,1609
10,P_itinerary,0.4147701219811678,1609
10,P_service,0.5799872110410488,1609
