stage,q,estimate,ci_low,ci_high,replicate_count
OVERALL,0.05,0.17808401692958092,0.04341601053382733,0.2878034042529386,2000
OVERALL,0.1,0.09581692141611248,0.026706284642761483,0.17858896269334115,2000
OVERALL,0.2,0.08854454724601105,0.03600723359315093,0.13480256198015306,2000
OVERALL,0.3,0.055100084337201025,0.02791469192473359,0.09066028633465395,2000
PRE,0.05,0.12577891095768182,0.0,0.41106304943166627,2000
PRE,0.1,0.20031286165089746,0.0,0.35017542994588763,2000
PRE,0.2,0.15023321642753684,0.03479875483937135,0.24464291625854084,2000
PRE,0.3,0.07056472192632031,0.01844812431884875,0.16321413558962133,2000
TAXI,0.05,0.0,0.0,0.032605147549383186,2000
TAXI,0.1,0.011960282719781548,0.0,0.024398183403372038,2000
TAXI,0.2,0.001998059437325053,-2.5844407684427e-16,0.0066305842286041765,2000
TAXI,0.3,0.0035427640428192073,-2.0706296076593413e-16,0.006203250872328868,2000
TURN,0.05,0.2344397225392217,0.047269175962975286,0.35075454371626924,2000
TURN,0.1,0.07108023359450337,0.014995211202162179,0.19678912864121748,2000
TURN,0.2,0.08091529591813607,0.029763225312702916,0.13605747036824814,2000
TURN,0.3,0.05832666256574185,0.024140914964816393,0.0948553424559043,2000
