information_component,comparator,L_att,L_att_ci_low,L_att_ci_high,delta_J,reference_V,L_rec,L_rec_ci_low,L_rec_ci_high,stage1_reassigned_share,A0,A5,missed_activation,false_activation,under_recovery,over_recovery
ROLLING_HISTORY,CURRENT_JOINT,0.16846264269063474,0.08353134525598292,0.2490957300237749,0.3109834202251507,0.29611488953135234,1.050212033300082,0.018600737234729305,8.915794438844115,0.5,0.7058823529411765,0.8235294117647058,2.0,1.0,2.0,0.0
DISTRIBUTIONAL_INFORMATION,HISTORY_POINT,0.4241154409352183,0.2624973258106345,0.5450725106350344,0.29611488953135234,0.29611488953135234,1.0,1.0,1.0,0.5833333333333334,0.47058823529411764,0.8823529411764706,9.0,0.0,0.0,0.0
CROSS_STATE_DEPENDENCE,HISTORY_MARGINAL,0.0048417001751717755,0.0,0.00797838447030952,0.15073632405834114,0.29611488953135234,0.5090467564697767,0.0,0.8914421543412551,0.08333333333333333,0.8823529411764706,0.8823529411764706,1.0,0.0,1.0,0.0
MARGINAL_UNCERTAINTY,POINT_MINUS_MARGINAL,0.41927374076004653,0.4011322637396169,0.4073248528254373,,,0.4909532435302233,0.5810154820593822,0.6092497439737172,,,,,,,
