information_component,metric,estimate,ci_low,ci_high,replicate_count
ROLLING_HISTORY,L_att,0.16846264269063474,0.08353134525598292,0.2490957300237749,2000
ROLLING_HISTORY,L_rec,1.050212033300082,0.018600737234729305,8.915794438844115,2000
DISTRIBUTIONAL_INFORMATION,L_att,0.4241154409352183,0.2624973258106345,0.5450725106350344,2000
DISTRIBUTIONAL_INFORMATION,L_rec,1.0,1.0,1.0,2000
CROSS_STATE_DEPENDENCE,L_att,0.0048417001751717755,0.0,0.00797838447030952,2000
CROSS_STATE_DEPENDENCE,L_rec,0.5090467564697767,0.0,0.8914421543412551,2000
MARGINAL_UNCERTAINTY,L_att_POINT_MINUS_MARGINAL,0.404350502518847,0.4011322637396169,0.4073248528254373,2000
MARGINAL_UNCERTAINTY,L_rec_POINT_MINUS_MARGINAL,0.5952918817011299,0.5810154820593822,0.6092497439737172,2000
