method,target,lead_time_bin_minutes,metric,estimate,ci_lower,ci_upper,n_episodes,n_nodes
HISTORICAL,D_OB,120.0,CRPS_MINUTES,3.6419474283854165,2.24090576171875,6.31903076171875,9,78
LIGHTGBM,D_OB,120.0,MAE_MINUTES,17.43671634867414,5.565367512191803,33.052639474041555,9,78
LIGHTGBM,D_OB,120.0,CRPS_MINUTES,13.538683678199899,4.4259054480890505,26.895902540504267,9,78
RANDOM_FOREST,D_OB,120.0,MAE_MINUTES,7.1709299539614495,2.1012904218270463,12.787515298724257,9,78
RANDOM_FOREST,D_OB,120.0,CRPS_MINUTES,7.429345854979358,2.8771291563125083,12.370226401191022,9,78
STATE_AWARE_H32,D_OB,120.0,MAE_MINUTES,2.601928459273444,0.028220944934421115,7.193955138767205,9,78
HISTORICAL,D_OB,300.0,MAE_MINUTES,0.0,0.0,0.0,3,23
HISTORICAL,D_OB,300.0,CRPS_MINUTES,2.24090576171875,2.24090576171875,2.24090576171875,3,23
LIGHTGBM,D_OB,300.0,MAE_MINUTES,5.779728383839617,0.0,13.159751309891442,3,23
LIGHTGBM,D_OB,300.0,CRPS_MINUTES,5.836483044174536,1.7133476497243443,11.824795744572684,3,23
RANDOM_FOREST,D_OB,300.0,MAE_MINUTES,3.2575688164905596,0.0,7.499723680574743,3,23
RANDOM_FOREST,D_OB,300.0,CRPS_MINUTES,2.2206947572198303,0.14202734545649265,4.832160721716303,3,23
STATE_AWARE_H32,D_OB,300.0,MAE_MINUTES,0.0,0.0,0.0,3,23
HISTORICAL,T_IB_A00,120.0,MAE_MINUTES,58.5,58.5,58.5,1,5
HISTORICAL,T_IB_A00,120.0,CRPS_MINUTES,33.60763773918152,33.60763773918152,33.60763773918152,1,5
LIGHTGBM,T_IB_A00,120.0,MAE_MINUTES,116.13130220484459,116.13130220484459,116.13130220484459,1,5
LIGHTGBM,T_IB_A00,120.0,CRPS_MINUTES,61.99171456072279,61.99171456072279,61.99171456072279,1,5
RANDOM_FOREST,T_IB_A00,120.0,MAE_MINUTES,83.34526815776817,83.34526815776817,83.34526815776817,1,5
RANDOM_FOREST,T_IB_A00,120.0,CRPS_MINUTES,43.3553335347988,43.3553335347988,43.3553335347988,1,5
STATE_AWARE_H32,T_IB_A00,120.0,MAE_MINUTES,124.31187258944632,124.31187258944632,124.31187258944632,1,5
STATE_AWARE_H32,T_IB_A00,120.0,CRPS_MINUTES,120.93166790847329,120.93166790847329,120.93166790847329,1,5
HISTORICAL,D_OB,420.0,MAE_MINUTES,0.0,0.0,0.0,1,6
HISTORICAL,D_OB,420.0,CRPS_MINUTES,2.24090576171875,2.24090576171875,2.24090576171875,1,6
LIGHTGBM,D_OB,420.0,MAE_MINUTES,69.45627953971804,69.45627953971804,69.45627953971804,1,6
LIGHTGBM,D_OB,420.0,CRPS_MINUTES,58.577570894518544,58.577570894518544,58.577570894518544,1,6
RANDOM_FOREST,D_OB,420.0,MAE_MINUTES,40.09574468085106,40.09574468085106,40.09574468085106,1,6
RANDOM_FOREST,D_OB,420.0,CRPS_MINUTES,22.447478501685776,22.447478501685776,22.447478501685776,1,6
STATE_AWARE_H32,D_OB,420.0,MAE_MINUTES,0.0,0.0,0.0,1,6
HISTORICAL,D_OB,360.0,MAE_MINUTES,0.0,0.0,0.0,1,12
HISTORICAL,D_OB,360.0,CRPS_MINUTES,2.24090576171875,2.24090576171875,2.24090576171875,1,12
LIGHTGBM,D_OB,360.0,MAE_MINUTES,69.45627953971804,69.45627953971804,69.45627953971804,1,12
LIGHTGBM,D_OB,360.0,CRPS_MINUTES,58.577570894518544,58.577570894518544,58.577570894518544,1,12
RANDOM_FOREST,D_OB,360.0,MAE_MINUTES,40.09574468085106,40.09574468085106,40.09574468085106,1,12
RANDOM_FOREST,D_OB,360.0,CRPS_MINUTES,22.447478501685776,22.447478501685776,22.447478501685776,1,12
STATE_AWARE_H32,D_OB,360.0,MAE_MINUTES,0.0,0.0,0.0,1,12
HISTORICAL,T_IB_A00,180,MAE_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,180,CRPS_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,240,MAE_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,240,CRPS_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,300,MAE_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,300,CRPS_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,360,MAE_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,360,CRPS_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,420,MAE_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,420,CRPS_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,480,MAE_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,480,CRPS_MINUTES,,,,0,0
HISTORICAL,D_OB,480,MAE_MINUTES,,,,0,0
HISTORICAL,D_OB,480,CRPS_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,180,MAE_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,180,CRPS_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,240,MAE_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,240,CRPS_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,300,MAE_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,300,CRPS_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,360,MAE_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,360,CRPS_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,420,MAE_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,420,CRPS_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,480,MAE_MINUTES,,,,0,0
LIGHTGBM,T_IB_A00,480,CRPS_MINUTES,,,,0,0
LIGHTGBM,D_OB,480,MAE_MINUTES,,,,0,0
LIGHTGBM,D_OB,480,CRPS_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,180,MAE_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,180,CRPS_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,240,MAE_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,240,CRPS_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,300,MAE_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,300,CRPS_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,360,MAE_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,360,CRPS_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,420,MAE_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,420,CRPS_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,480,MAE_MINUTES,,,,0,0
RANDOM_FOREST,T_IB_A00,480,CRPS_MINUTES,,,,0,0
RANDOM_FOREST,D_OB,480,MAE_MINUTES,,,,0,0
RANDOM_FOREST,D_OB,480,CRPS_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,180,MAE_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,180,CRPS_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,240,MAE_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,240,CRPS_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,300,MAE_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,300,CRPS_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,360,MAE_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,360,CRPS_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,420,MAE_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,420,CRPS_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,480,MAE_MINUTES,,,,0,0
STATE_AWARE_H32,T_IB_A00,480,CRPS_MINUTES,,,,0,0
STATE_AWARE_H32,D_OB,480,MAE_MINUTES,,,,0,0
STATE_AWARE_H32,D_OB,480,CRPS_MINUTES,,,,0,0
HISTORICAL,T_IB_A00,OVERALL,MAE_MINUTES,58.95610119047618,54.53984375,62.828515624999994,48,217
HISTORICAL,T_IB_A00,OVERALL,CRPS_MINUTES,38.08740113362949,35.969875230789185,40.045296232153326,48,217
HISTORICAL,D_OB,OVERALL,MAE_MINUTES,9.0859375,5.765234375,12.657617187499993,128,1671
HISTORICAL,D_OB,OVERALL,CRPS_MINUTES,7.72589111328125,5.408407592773438,10.260583496093748,128,1671
HISTORICAL,D_TX,OVERALL,MAE_MINUTES,5.3700787401574805,3.354330708661417,7.882086614173227,127,1765
HISTORICAL,D_TX,OVERALL,CRPS_MINUTES,4.355965809559259,2.554651138726182,6.632270159683828,127,1765
LIGHTGBM,T_IB_A00,OVERALL,MAE_MINUTES,38.748042228646,28.85593826769636,49.95710981717734,48,217
LIGHTGBM,T_IB_A00,OVERALL,CRPS_MINUTES,30.741487278787215,24.75520143027225,37.458333781632334,48,217
LIGHTGBM,D_OB,OVERALL,MAE_MINUTES,14.091910924639475,11.330756242002042,16.97705875181301,128,1671
LIGHTGBM,D_OB,OVERALL,CRPS_MINUTES,10.987156582837748,8.851756003633868,13.233967158623358,128,1671
LIGHTGBM,D_TX,OVERALL,MAE_MINUTES,5.131470024733047,3.235154132533738,7.435690482783809,127,1765
LIGHTGBM,D_TX,OVERALL,CRPS_MINUTES,4.209607258968538,2.4772759741845545,6.333368322288853,127,1765
RANDOM_FOREST,T_IB_A00,OVERALL,MAE_MINUTES,56.99185889031574,44.82557820278032,73.26227341454153,48,217
RANDOM_FOREST,T_IB_A00,OVERALL,CRPS_MINUTES,41.55794459640124,33.09079599085962,52.477213131321975,48,217
RANDOM_FOREST,D_OB,OVERALL,MAE_MINUTES,12.823050786618953,9.552232232151356,16.74196969214679,128,1671
RANDOM_FOREST,D_OB,OVERALL,CRPS_MINUTES,10.125600623133877,7.836241307369724,12.7518309440555,128,1671
RANDOM_FOREST,D_TX,OVERALL,MAE_MINUTES,5.22354031440144,3.3462643680101443,7.460844489112282,127,1765
RANDOM_FOREST,D_TX,OVERALL,CRPS_MINUTES,4.4467879548960205,2.6869952661349794,6.603908774638639,127,1765
STATE_AWARE_H32,T_IB_A00,OVERALL,MAE_MINUTES,13.050662332981842,8.392891678612612,19.313854159853747,48,217
STATE_AWARE_H32,T_IB_A00,OVERALL,CRPS_MINUTES,11.200820917461892,6.668872273625956,17.28855865405709,48,217
STATE_AWARE_H32,D_OB,OVERALL,MAE_MINUTES,9.197968381839067,5.955538608818566,12.711009442595934,128,1671
STATE_AWARE_H32,D_TX,OVERALL,MAE_MINUTES,5.364718659183699,3.428153332532365,7.758176839711632,127,1765
