method,target,lead_time_bin_minutes,metric,estimate,ci_lower,ci_upper,n_episodes,n_nodes
HISTORICAL,T_IB_A00,0.0,MAE_MINUTES,64.51136363636364,63.06761363636364,66.01164772727273,44,143
HISTORICAL,T_IB_A00,0.0,CRPS_MINUTES,40.55569064833902,39.55224893887837,41.602770977887246,44,143
HISTORICAL,D_OB,30.0,MAE_MINUTES,9.239669421487603,5.900619834710744,13.100413223140489,121,512
HISTORICAL,D_OB,30.0,CRPS_MINUTES,7.822000803041064,5.513216582999742,10.644085642917096,121,512
LIGHTGBM,T_IB_A00,0.0,MAE_MINUTES,38.55257089665146,27.534579609022565,51.28879344572222,44,143
LIGHTGBM,T_IB_A00,0.0,CRPS_MINUTES,31.177200151457328,24.278675977396237,39.475065582100186,44,143
LIGHTGBM,D_OB,30.0,MAE_MINUTES,16.27470117555704,12.742992008668589,19.999687577111267,121,512
LIGHTGBM,D_OB,30.0,CRPS_MINUTES,12.665949248200217,9.803444596521123,15.744918774874181,121,512
RANDOM_FOREST,T_IB_A00,0.0,MAE_MINUTES,59.654631850622856,45.39360097796142,77.73023663998026,44,143
RANDOM_FOREST,T_IB_A00,0.0,CRPS_MINUTES,43.10351932577443,33.291054382570074,55.34050511315034,44,143
RANDOM_FOREST,D_OB,30.0,MAE_MINUTES,15.590575443653021,10.62244963475801,21.32024106309452,121,512
RANDOM_FOREST,D_OB,30.0,CRPS_MINUTES,11.723666866438274,8.639863096617132,15.319468008068457,121,512
STATE_AWARE_H32,T_IB_A00,0.0,MAE_MINUTES,5.790097022734093,5.0529617404516625,6.540783243716321,44,143
STATE_AWARE_H32,T_IB_A00,0.0,CRPS_MINUTES,4.181822028772653,3.5041628980698047,4.87459677704554,44,143
STATE_AWARE_H32,D_OB,30.0,MAE_MINUTES,9.38826653917959,6.136425152103271,13.19084157424853,121,512
HISTORICAL,D_OB,0.0,MAE_MINUTES,9.0859375,5.765234375,12.657617187499993,128,660
HISTORICAL,D_OB,0.0,CRPS_MINUTES,7.72589111328125,5.408407592773438,10.260583496093748,128,660
LIGHTGBM,D_OB,0.0,MAE_MINUTES,12.669901851993925,9.945403774839347,15.635987923052218,128,660
LIGHTGBM,D_OB,0.0,CRPS_MINUTES,9.878568791517601,7.818342917409312,12.210676461068083,128,660
RANDOM_FOREST,D_OB,0.0,MAE_MINUTES,11.601943985244246,8.426538740012198,15.25874694753248,128,660
RANDOM_FOREST,D_OB,0.0,CRPS_MINUTES,9.313938481866646,7.108140372315999,11.842873291543677,128,660
STATE_AWARE_H32,D_OB,0.0,MAE_MINUTES,9.244666707360496,6.0151269547718895,12.759268126143919,128,660
HISTORICAL,D_OB,60.0,MAE_MINUTES,3.8536585365853657,1.7317073170731707,6.2926829268292686,41,265
HISTORICAL,D_OB,60.0,CRPS_MINUTES,4.0960886885480186,3.0013668897675307,5.360294100133383,41,265
LIGHTGBM,D_OB,60.0,MAE_MINUTES,11.393597895619342,7.459985855765456,16.030620539944863,41,265
LIGHTGBM,D_OB,60.0,CRPS_MINUTES,8.750075500590722,5.906030497141708,12.292431258996492,41,265
RANDOM_FOREST,D_OB,60.0,MAE_MINUTES,7.61577340127794,4.45923136111767,11.643618335472496,41,265
RANDOM_FOREST,D_OB,60.0,CRPS_MINUTES,7.021197778541877,4.509610027155214,10.279678038514945,41,265
STATE_AWARE_H32,D_OB,60.0,MAE_MINUTES,4.1459691530673135,2.3291048815568907,6.245178412926126,41,265
HISTORICAL,T_IB_A00,60.0,MAE_MINUTES,11.898809523809522,7.595238095238096,19.304761904761897,7,28
HISTORICAL,T_IB_A00,60.0,CRPS_MINUTES,19.09449192909968,18.254250288009647,20.6097079935528,7,28
HISTORICAL,D_OB,240.0,MAE_MINUTES,4.6,0.0,13.8,5,49
HISTORICAL,D_OB,240.0,CRPS_MINUTES,4.65028076171875,2.24090576171875,9.46903076171875,5,49
LIGHTGBM,T_IB_A00,60.0,MAE_MINUTES,53.02624257727989,40.209617753793324,65.80123520674498,7,28
LIGHTGBM,T_IB_A00,60.0,CRPS_MINUTES,35.605013770821195,29.759545186968197,41.950557452302064,7,28
LIGHTGBM,D_OB,240.0,MAE_MINUTES,5.810586348895614,1.0505914494701225,13.793469916463962,5,49
LIGHTGBM,D_OB,240.0,CRPS_MINUTES,4.811883448373387,2.1410482147566796,9.528925818159948,5,49
RANDOM_FOREST,T_IB_A00,60.0,MAE_MINUTES,28.645940197200638,19.10807315405724,37.95738169099168,7,28
RANDOM_FOREST,T_IB_A00,60.0,CRPS_MINUTES,25.031114636527416,15.621784464406574,35.22784713183286,7,28
RANDOM_FOREST,D_OB,240.0,MAE_MINUTES,2.311477859619651,0.2433261183261184,5.880929519071311,5,49
RANDOM_FOREST,D_OB,240.0,CRPS_MINUTES,2.430304862802097,0.5129700331157803,5.618843915576103,5,49
STATE_AWARE_H32,T_IB_A00,60.0,MAE_MINUTES,66.8562913337589,58.503387772371354,78.80650191200003,7,28
STATE_AWARE_H32,T_IB_A00,60.0,CRPS_MINUTES,63.530378462331974,55.092902308381696,75.49987910809482,7,28
STATE_AWARE_H32,D_OB,240.0,MAE_MINUTES,4.119218956340443,0.0,12.35765686902133,5,49
HISTORICAL,T_IB_A00,30.0,MAE_MINUTES,29.75,25.15,34.25,10,41
HISTORICAL,T_IB_A00,30.0,CRPS_MINUTES,23.08319488843282,21.71098025830587,24.497389974594114,10,41
LIGHTGBM,T_IB_A00,30.0,MAE_MINUTES,43.34214759354844,23.652052957522546,65.08503857588713,10,41
LIGHTGBM,T_IB_A00,30.0,CRPS_MINUTES,33.204329781854746,23.98756364382651,44.50744980579414,10,41
RANDOM_FOREST,T_IB_A00,30.0,MAE_MINUTES,32.42036091552726,22.68866307533018,44.145542902980395,10,41
RANDOM_FOREST,T_IB_A00,30.0,CRPS_MINUTES,24.707515951920545,15.541325096752342,36.086566251546756,10,41
STATE_AWARE_H32,T_IB_A00,30.0,MAE_MINUTES,35.54743799658014,31.266267222029487,39.990974472916484,10,41
STATE_AWARE_H32,T_IB_A00,30.0,CRPS_MINUTES,32.25982478728498,28.04115653736873,36.661996304874435,10,41
HISTORICAL,D_OB,180.0,MAE_MINUTES,3.8333333333333335,0.0,11.5,6,66
HISTORICAL,D_OB,180.0,CRPS_MINUTES,4.24871826171875,2.24090576171875,8.26434326171875,6,66
LIGHTGBM,D_OB,180.0,MAE_MINUTES,9.337016808862911,1.6166576238092583,17.798781642917636,6,66
LIGHTGBM,D_OB,180.0,CRPS_MINUTES,7.0416282471174085,2.3678479149786984,12.344519443210613,6,66
RANDOM_FOREST,D_OB,180.0,MAE_MINUTES,6.353077024380592,0.6160010165521537,13.219479517396186,6,66
RANDOM_FOREST,D_OB,180.0,CRPS_MINUTES,6.020776080802011,0.8879709303775908,12.273730438858033,6,66
STATE_AWARE_H32,D_OB,180.0,MAE_MINUTES,3.501842273606195,0.0,10.37423394785987,6,66
HISTORICAL,D_OB,120.0,MAE_MINUTES,2.7777777777777777,0.0,7.888888888888889,9,78
