episode_id,decision_node_id,method,target,observed_minutes,point_prediction,absolute_error,crps,crps_supported,lead_time_minutes,lead_time_source,lead_time_bin_minutes
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:d238dd87f80ae7ed1cca96cfdcb060eeff2512f12c1ac63699521cd606f39a5e,LIGHTGBM,D_TX,0.0,0.031161083559443956,0.031161083559443956,0.5177283092815426,True,,NA_NO_PLANNED_WHEELS_OFF,
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:d238dd87f80ae7ed1cca96cfdcb060eeff2512f12c1ac63699521cd606f39a5e,RANDOM_FOREST,T_IB_A00,2.0,110.11853002070393,108.11853002070393,64.88164700382102,True,2.0,REALIZED_REMAINING_MINUTES,0
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:d238dd87f80ae7ed1cca96cfdcb060eeff2512f12c1ac63699521cd606f39a5e,RANDOM_FOREST,D_OB,0.0,28.803030303030305,28.803030303030305,19.82467339187895,True,50.0,PLANNED_SCHEDULE_HORIZON,30
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:d238dd87f80ae7ed1cca96cfdcb060eeff2512f12c1ac63699521cd606f39a5e,RANDOM_FOREST,D_TX,0.0,0.5089285714285714,0.5089285714285714,0.4897862227664338,True,,NA_NO_PLANNED_WHEELS_OFF,
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:d238dd87f80ae7ed1cca96cfdcb060eeff2512f12c1ac63699521cd606f39a5e,STATE_AWARE_H32,T_IB_A00,2.0,7.815870372958747,5.815870372958747,2.6236848659661174,True,2.0,REALIZED_REMAINING_MINUTES,0
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:d238dd87f80ae7ed1cca96cfdcb060eeff2512f12c1ac63699521cd606f39a5e,STATE_AWARE_H32,D_OB,0.0,0.0,0.0,,False,50.0,PLANNED_SCHEDULE_HORIZON,30
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:d238dd87f80ae7ed1cca96cfdcb060eeff2512f12c1ac63699521cd606f39a5e,STATE_AWARE_H32,D_TX,0.0,0.0,0.0,,False,,NA_NO_PLANNED_WHEELS_OFF,
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:fde214b806160dc23bafd503fb9116b2966d95fdb87d7ad819d28f7a1a2a2bc8,HISTORICAL,T_IB_A00,,,,,False,,NA_NO_OBSERVED_REMAINING_MINUTES,
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:fde214b806160dc23bafd503fb9116b2966d95fdb87d7ad819d28f7a1a2a2bc8,HISTORICAL,D_OB,0.0,0.0,0.0,2.24090576171875,True,45.0,PLANNED_SCHEDULE_HORIZON,30
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:fde214b806160dc23bafd503fb9116b2966d95fdb87d7ad819d28f7a1a2a2bc8,HISTORICAL,D_TX,0.0,0.0,0.0,0.5662679672241211,True,,NA_NO_PLANNED_WHEELS_OFF,
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:fde214b806160dc23bafd503fb9116b2966d95fdb87d7ad819d28f7a1a2a2bc8,LIGHTGBM,T_IB_A00,,,,,False,,NA_NO_OBSERVED_REMAINING_MINUTES,
