episode_id,decision_node_id,variant,consequence_available,action_instantiation_available,comparison_available,comparison_reason,n_instantiated_actions,n_comparable_actions,F_consequence,P_consequence,R_consequence,top1_action,ranking_available,ranking_reason
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:8ad10326be078c0b6bcae27ef08e2175225847498286bb92702bc22ff61b1283,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.19184247219710285,0.08351101692317578,0.13138021214884152,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:a145e820a94f1027c3bb6a169064824ad62395ba87d2f0170e3deb71ad015169,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.19120485567042714,0.08276604194032909,0.12660041009285003,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:a145e820a94f1027c3bb6a169064824ad62395ba87d2f0170e3deb71ad015169,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.19120485567042714,0.08276604194032909,0.12660041009285003,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:6c5f9e37365cca9f841b093305d1601a81c9dfe55ae656926e9e5da0b1c01893,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.19159029367702257,0.08271174278097702,0.12479178390636725,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:6c5f9e37365cca9f841b093305d1601a81c9dfe55ae656926e9e5da0b1c01893,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.19159029367702257,0.08271174278097702,0.12479178390636725,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:2d94fd5bdd729e6fe338c31809102abab0e85f16fecada154ac65f2ad7338ceb,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.19158306016797771,0.08260174337215635,0.12378981864573992,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:2d94fd5bdd729e6fe338c31809102abab0e85f16fecada154ac65f2ad7338ceb,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.19158306016797771,0.08260174337215635,0.12378981864573992,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:e2bd70d8eda977b29c5ce3737f433efc602129353da75ad29f92616dc270f3d4,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.0549198997374589,0.03276079814367236,0.12082377942240957,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00b05b273658f3332865de1e9796d851ca6a2919bb7e4b04ee3e58f06dfe56c6,sha256:e2bd70d8eda977b29c5ce3737f433efc602129353da75ad29f92616dc270f3d4,EXP1A_REDUCED,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.0549198997374589,0.03276079814367236,0.12082377942240957,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:62dda7677f2931da08896b4e50b436116d241a3bb4af5a0b3434d69b165ff849,EXP1A_FULL,True,True,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE,23,0,0.2359045077029616,0.29994961987870705,0.16874474266233538,,False,NOT_RUN_SHARED_M4_MAPPING_AND_REPLAY_GATE
