episode_id,decision_node_id,operational_stage,representation,medoid_scenario_id,point_ob_minutes,point_tx_minutes,observed_ob_minutes,observed_tx_minutes,variogram_score,support_status
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:57dd0462f69844aef5de9289f338484ec9b0b21e827dc6cfbe7e438537ee91f9,POST_IB_PRE_OB,Point,66.0,1.0645191669464111,0.9897947907447815,13.0,0.0,11.103514706358073,SUPPORTED
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:12d7e6989f584c575bc3fc34ba4e5e16fd90d53b9f8568cc8de7df22052f870e,POST_IB_PRE_OB,Point,66.0,1.0790441036224365,1.004117727279663,13.0,0.0,11.101054149012892,SUPPORTED
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:db5a6191be0b6ceeccbe81bc6c9a8a00e631d09acbf55cf70d949b0bdc21504b,POST_IB_PRE_OB,Point,66.0,1.090046763420105,1.0134214162826538,13.0,0.0,11.080499586783795,SUPPORTED
sha256:00e8e773cd283d939ca84156277aff75b1c9ef7a14cb2e3f5e073116f61ab1cf,sha256:e7d59a803a96f5e1dae0e25c169831e46727c10c61ed2f48d91193b7d3887641,POST_IB_PRE_OB,Point,188.0,1.003852367401123,0.7709400653839111,13.0,0.0,9.752762922336073,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:898df12f9e9ad5d75063aec2d97737415010831c7b1cd9922adcfebb43162e9c,PRE_IB,Point,166.0,0.9396710395812988,0.0,0.0,0.0,0.9396710395812988,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:dd15b0e0e4b7410a0aded843d484f6aaeb4f0aeaa81cd21ab039d80c733cdf59,PRE_IB,Point,166.0,0.9817032814025879,0.0,0.0,0.0,0.9817032814025878,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:6a330f354b4427890f48909dcf9aac06ed5c10c80943e71a5dc3c64c360e93a5,POST_IB_PRE_OB,Point,103.0,0.9157682061195374,1.3009480237960815,0.0,0.0,0.3851798176765442,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:5133d55e28411b271d276caefa5fa5992aac3c3f99e10356fa25ea1719bc9394,POST_IB_PRE_OB,Point,134.0,0.5932473540306091,0.6941531896591187,0.0,0.0,0.10090583562850951,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:37881ebcc358e6425e2eb083177e00a0169aba26512cdcf22268575308b4fcc8,POST_IB_PRE_OB,Point,134.0,0.633515477180481,0.7732775211334229,0.0,0.0,0.1397620439529419,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:61db25ccf6ba6b9cf533e3b9d8302bef5d1d277b9100945c97685bb063691eb4,POST_IB_PRE_OB,Point,134.0,0.6634650230407715,0.8251221179962158,0.0,0.0,0.16165709495544434,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:caf4164612b902a5a64500c9730aa04db46be9d444d8951104f5d66b0bbaf5ce,POST_IB_PRE_OB,Point,134.0,0.6871398687362671,0.8609572649002075,0.0,0.0,0.17381739616394043,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:1b083cf99e06973d2004d35e1e1cd0bb0c6acdd656f8ac8fe653437c2d5f822c,POST_IB_PRE_OB,Point,134.0,0.7067575454711914,0.8871533274650574,0.0,0.0,0.18039578199386597,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:f93a3dfdd336c2ca34c49aef9c7f7d8b48e300f769a1eb5304a2f6d6a13eaf4e,POST_IB_PRE_OB,Point,134.0,0.7236473560333252,0.9073634743690491,0.0,0.0,0.18371611833572388,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:f74d6b9c096ee9dd56300d6be1928d40ce472c8d8929a2a47660951455460afa,POST_IB_PRE_OB,Point,134.0,0.7386671304702759,0.9237534999847412,0.0,0.0,0.18508636951446536,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:326b1bdc6d2112c25bdc3f105eb3f2a7c256c199794b2e11de1be773fab12514,POST_IB_PRE_OB,Point,134.0,0.7523958683013916,0.9376516342163086,0.0,0.0,0.185255765914917,SUPPORTED
sha256:02b711e90d440bcac9e7f163616a5b76929dfbad5f6bb2c0335c5bf85959ad65,sha256:84fd7e0b730f052649d0570a5813440b67cca613afa26b1053ec667021987eb0,POST_IB_PRE_OB,Point,134.0,0.7652283310890198,0.9498879909515381,0.0,0.0,0.1846596598625183,SUPPORTED
