contrast,difference_in_variogram_score,ci_lower,ci_upper,paired_episodes
Point minus Joint,0.9016528937945408,0.636688972719976,1.1757770624885753,124
Marginal minus Joint,0.03370589329124337,-0.00632589444643814,0.0736604515920219,124
