representation,variogram_score,ci_lower,ci_upper,episodes
Point,7.44511915897785,4.948811788597475,10.246936508514294,124
Marginal,6.577172158474551,4.220256114586621,9.237178911728265,124
Joint,6.543466265183308,4.195267996857326,9.211738781779722,124
