decision_node_id,band,conditional_top1_action_id,top1_residual_risk_objective,top1_expected_constructed_eur,n_conditional_comparable_actions,support_status
sha256:2d94fd5bdd729e6fe338c31809102abab0e85f16fecada154ac65f2ad7338ceb,LOW,A00,18.83857852539394,11.375730434984352,23,PARTIAL_DIAGNOSTIC
sha256:2d94fd5bdd729e6fe338c31809102abab0e85f16fecada154ac65f2ad7338ceb,BASE,A00,37.67715705078788,22.751460869968703,23,PARTIAL_DIAGNOSTIC
sha256:2d94fd5bdd729e6fe338c31809102abab0e85f16fecada154ac65f2ad7338ceb,HIGH,A00,75.35431410157577,45.502921739937406,23,PARTIAL_DIAGNOSTIC
sha256:e2bd70d8eda977b29c5ce3737f433efc602129353da75ad29f92616dc270f3d4,LOW,A00,12.520961073064758,6.3316865694767825,23,PARTIAL_DIAGNOSTIC
sha256:e2bd70d8eda977b29c5ce3737f433efc602129353da75ad29f92616dc270f3d4,BASE,A00,25.041922146129515,12.663373138953565,23,PARTIAL_DIAGNOSTIC
sha256:e2bd70d8eda977b29c5ce3737f433efc602129353da75ad29f92616dc270f3d4,HIGH,A00,50.08384429225903,25.32674627790713,23,PARTIAL_DIAGNOSTIC
sha256:62dda7677f2931da08896b4e50b436116d241a3bb4af5a0b3434d69b165ff849,LOW,A00,21.291171017441073,14.601990444906107,23,PARTIAL_DIAGNOSTIC
sha256:62dda7677f2931da08896b4e50b436116d241a3bb4af5a0b3434d69b165ff849,BASE,A00,42.582342034882146,29.203980889812215,23,PARTIAL_DIAGNOSTIC
sha256:62dda7677f2931da08896b4e50b436116d241a3bb4af5a0b3434d69b165ff849,HIGH,A00,85.16468406976429,58.40796177962443,23,PARTIAL_DIAGNOSTIC
sha256:33489d8fabaeaf3f131b62e432eeff27301b906f781b6876e34b7c301cde75cf,LOW,A00,21.666411857833545,14.97291221372487,23,PARTIAL_DIAGNOSTIC
sha256:33489d8fabaeaf3f131b62e432eeff27301b906f781b6876e34b7c301cde75cf,BASE,A00,43.33282371566709,29.94582442744974,23,PARTIAL_DIAGNOSTIC
sha256:33489d8fabaeaf3f131b62e432eeff27301b906f781b6876e34b7c301cde75cf,HIGH,A00,86.66564743133418,59.89164885489948,23,PARTIAL_DIAGNOSTIC
sha256:52c2c8a22c03db637245608f25c136e97dc5b3a8fd7a13432da46e2f9620f09e,LOW,A00,21.898211686989693,15.210540086030527,23,PARTIAL_DIAGNOSTIC
sha256:52c2c8a22c03db637245608f25c136e97dc5b3a8fd7a13432da46e2f9620f09e,BASE,A00,43.79642337397939,30.421080172061053,23,PARTIAL_DIAGNOSTIC
sha256:52c2c8a22c03db637245608f25c136e97dc5b3a8fd7a13432da46e2f9620f09e,HIGH,A00,87.59284674795877,60.84216034412211,23,PARTIAL_DIAGNOSTIC
sha256:112d68b7b72ba870f1be0e96f34fd062010bacc3f3f1d113f4497197ef8676ba,LOW,A00,22.071781503215135,15.382820676213353,23,PARTIAL_DIAGNOSTIC
sha256:112d68b7b72ba870f1be0e96f34fd062010bacc3f3f1d113f4497197ef8676ba,BASE,A00,44.14356300643027,30.765641352426705,23,PARTIAL_DIAGNOSTIC
sha256:112d68b7b72ba870f1be0e96f34fd062010bacc3f3f1d113f4497197ef8676ba,HIGH,A00,88.28712601286054,61.53128270485341,23,PARTIAL_DIAGNOSTIC
sha256:b39a22fa08dc434588326fe9415a2304a24b9a93364af926eda25b876bd3737c,LOW,A00,21.661073994863123,14.704166261157042,23,PARTIAL_DIAGNOSTIC
