actual_departure,carrier,current_support_minutes,d_ob_minutes,decision_node_id,decision_time,destination,episode_id,excess_above_support_minutes,fallback_level,operational_stage,origin,remaining_minutes,scheduled_departure,service_date,signed_dep_delay,source_consistency_status,source_fields_status,split,t_ib_a00,tail_episode_identity,target,target_exact_minutes,taxi_out_minutes,taxi_reference_id,taxi_reference_level,taxi_reference_minutes
,YX,180,202.0,sha256:17870f28e048ad26920f6fc0a0c784033ae9bd27ad09cd1709af660ecd43331d,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:23cee7ff261892abd52e7178d9742060a045d092b106f4fcc00071971e7cca94,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:33f86df0768cb8496ecf01c5443195dfb31ebe5bf3156d2a482e2948f4678ae3,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:446ffba848208fb0c688b3a587ab469d77c5f5e1d9f20d04485b715f92dfe9bd,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:447e977c6607ce50b88784391862da92317206be1cad4919c752eb2f4a91c655,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:49fab32f43aafd172d6ac8971fb52274f337008e5f1af09978db680ee7b28cea,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:5f8e7eacea94393a14f06eaa1dba497a874eb998a0a24f67f4c8666c768e9cea,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:6da020bd1efedfd511b056a16535df04cbcc8beca9d3f0952e5098d00579289b,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:73271cd5f36ec5511b7f3d5f672ceb3eb3649b3a311224808721e268bd202f64,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:816d03aca8e249e87caddccbcf598b53572eed01e12566a0c67a13662d64af5d,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:8b93ad8a72faa0a9ad5ad9611844702ce08c476ab0c53cce2327a5d0991b42fe,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:8be6a4eb21b7f4adff65bbd53304d22ffda3bf91aa70c473db3787778822cd34,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:a0d11d5d7788da4ee352b8b29d750a10bfe4a3ff7bb2e3e37e6f60d5a673dded,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:ad207903d02b2de6101def70bf5669b389f444f362deb907e792b566a48d63bd,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:afb86bf311d642ddeeb1190c83f68123c9febc5fcc1d4172f3a9c604c050cc5b,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
,YX,180,202.0,sha256:ceb74b8cf2dd0da15edfd0c9f6cac6c3ca303bd6e118153abb94f37e71f2bcf3,,EWR,sha256:05d1d62634a5545e5fe21ed44089a6ed51524a944deace96535bcb15af680b70,22.0,CELL,PRE_IB,DCA,,2019-07-04T23:45:00+00:00,2019-07-04,,NOT_VERIFIABLE_FROM_FROZEN_CACHE,NOT_RETAINED_IN_B2_CACHE,calibration,,flight:626845dee61a1001c5975527c30acff6cf263fa9786adc958535d59d76c91a0a,D_OB,202.0,,sha256:be1a68b0c51c77da35f0ec631c2f846a79dd073d8b29ca49ee42b2d1de4e5c66,CELL,16.0
