additional_finite_classes,additional_finite_classes_observed,candidate_support_minutes,class_count_including_tail,finite_class_count,finite_count,relative_class_count_increase,tail_count,tail_fraction,target
0,0,300,61,60,332,-0.1643835616438356,10,0.029239766081871343,T_IB_REMAINING_HAZARD
0,0,330,67,66,334,-0.0821917808219178,8,0.023391812865497075,T_IB_REMAINING_HAZARD
0,0,360,73,72,340,0.0,2,0.005847953216374269,T_IB_REMAINING_HAZARD
6,2,390,79,78,342,0.08219178082191791,0,0.0,T_IB_REMAINING_HAZARD
12,2,420,85,84,342,0.1643835616438356,0,0.0,T_IB_REMAINING_HAZARD
18,2,450,91,90,342,0.24657534246575352,0,0.0,T_IB_REMAINING_HAZARD
24,2,480,97,96,342,0.3287671232876712,0,0.0,T_IB_REMAINING_HAZARD
0,0,120,25,24,1759,-0.32432432432432434,34,0.018962632459564976,D_OB
0,0,150,31,30,1759,-0.16216216216216217,34,0.018962632459564976,D_OB
0,0,180,37,36,1759,0.0,34,0.018962632459564976,D_OB
6,2,210,43,42,1783,0.16216216216216206,10,0.005577244841048522,D_OB
12,2,240,49,48,1783,0.32432432432432434,10,0.005577244841048522,D_OB
18,2,270,55,54,1783,0.4864864864864864,10,0.005577244841048522,D_OB
24,2,300,61,60,1783,0.6486486486486487,10,0.005577244841048522,D_OB
36,3,360,73,72,1793,0.972972972972973,0,0.0,D_OB
48,3,420,85,84,1793,1.2972972972972974,0,0.0,D_OB
60,3,480,97,96,1793,1.6216216216216215,0,0.0,D_OB
0,0,30,7,6,1870,-0.46153846153846156,10,0.005319148936170213,D_TX
0,0,45,10,9,1880,-0.23076923076923073,0,0.0,D_TX
0,0,60,13,12,1880,0.0,0,0.0,D_TX
3,0,75,16,15,1880,0.23076923076923084,0,0.0,D_TX
6,0,90,19,18,1880,0.46153846153846145,0,0.0,D_TX
12,0,120,25,24,1880,0.9230769230769231,0,0.0,D_TX
18,0,150,31,30,1880,1.3846153846153846,0,0.0,D_TX
