valuation_band,action_id,nodes,expected_constructed_eur_mean,expected_constructed_eur_median,residual_risk_mean,finite_support_rate_mean
LOW,A00,1765,13.506125495922516,13.635724570498935,20.391442916520973,0.9118368271954675
LOW,A11,1765,24.35112549592252,24.480724570498875,31.236442916520975,0.9118368271954675
LOW,A13,1765,27.239296956571426,27.366159185964598,33.84258165687692,0.9118368271954675
LOW,A21,1765,20.097881247015856,20.218872823728272,26.705721485960073,0.9118368271954675
LOW,A22,1765,20.268116166234794,20.388008247232317,26.995046679552438,0.9118368271954675
LOW,A23,1765,16.7667663778142,16.90177275566661,23.529737218078985,0.9118368271954675
LOW,A31,1765,31.506125495922507,31.635724570498912,38.391442916520965,0.9118368271954675
LOW,A32,1765,24.30164816269468,24.434562258250427,31.184923091078073,0.9118368271954675
LOW,A33,1765,20.706125495922524,20.835724570498932,27.591442916520975,0.9118368271954675
LOW,A41,1765,24.06879738101878,24.204557657331772,30.89017690542266,0.9118368271954675
LOW,A42,1765,27.747798040569048,27.88141783953747,34.58990683254508,0.9118368271954675
LOW,A43,1765,35.00453072335911,35.13089973857694,41.86190437759735,0.9118368271954675
LOW,A51,1765,45.23988974988749,45.36358111519268,51.84617245675883,0.9118368271954675
LOW,A52,1765,41.7363385080521,41.84666675931303,48.391298079113035,0.9118368271954675
LOW,A53,1765,41.099599785042166,41.21632684693449,47.56202435750408,0.9118368271954675
LOW,A54,1765,52.83706511181321,52.95814793640682,59.61263854655933,0.9118368271954675
LOW,A55,1765,45.63783631084423,45.76537061303673,52.413530321213386,0.9118368271954675
LOW,A61,1765,26.923860596283777,27.050027125813276,33.46155666640294,0.9118368271954675
LOW,A62,1765,34.124538477573786,34.235797187493894,40.66517205535588,0.9118368271954675
LOW,A63,1765,34.86018070064129,34.98221769641491,41.647230744860025,0.9118368271954675
LOW,A64,1765,31.099648549990466,31.211025552092806,37.82996587874925,0.9118368271954675
LOW,A71,1765,56.55924210314993,56.5954996133154,61.79744362472628,0.9118368271954675
LOW,A72,1765,71.40013431011236,71.4921943237931,76.86487491365773,0.9118368271954675
