Subexperiment,Condition,Metric,Estimate,95% CI,N episodes
EXP3A,DEVELOPMENT,FINITE_SUPPORT_RATE,0.9097750141322782,—,128
EXP3A,LOW,CONDITIONAL_TOP1_RESPONSE_AGREEMENT,1.0,—,128
EXP3A,HIGH,CONDITIONAL_TOP1_RESPONSE_AGREEMENT,1.0,—,128
EXP3A,SCALES=3,GLOBAL_CONSTRUCTED_EUR_SCALE_INVARIANCE,1.0,—,128
EXP3A,FINITE_SUPPORT_ROWS,PER_ACTION_CONDITIONAL_RISK_MEAN,92.97110336090272,—,128
