node_id,episode_id,stage,P_C,V,u_star,J_zero,J_star
sha256:bcd219b6a06009efa545d617b7ca5e37f9eeeeacceddd96afd9777a245ec1d80,sha256:2b04686f26ff3a5ef1f854cfa1f27a54eb3ad1fc242885b0aa9f8ed70f856335,PRE,0.9636240024164793,0.0,0.0,0.9636240024164796,0.9636240024164796
sha256:1102e3941a4ba02c56ead46df20bb04649038ed44ac7e5d7ef448336f2abc783,sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,PRE,1.0078122467882833,0.005670012034530769,5.0,1.0078122467882837,1.002142234753753
sha256:4265ee37dba0c96a46e7f000d7a70378132a9ce5c43004e8631e178c2ddad6b2,sha256:8b1cd58281a9dfd745efda44159737fd261f3e5a0394d8bf26bd0858569c4989,PRE,0.9856663902156546,0.07456767895272842,20.0,0.9856663902156547,0.9110987112629263
sha256:ee337d5afe24bc12ccb7088a360a521511cf786935110a3a1460c47782156d95,sha256:cfdbdcb2ac2450fc35b3eae40cadb5b179c7168cd636fe95cfbce2a932596707,PRE,0.6176827875425537,0.005816490147251052,5.0,0.6176827875425538,0.6118662973953027
sha256:bad37ff8136f26d48e5826a56df1ba7692a52e99ab2c1ff77425abc9e3d44051,sha256:d819a0c974552effd49673acbec18d5eda40ee393222fdb1acd448f5092451c9,PRE,0.6299586031465086,0.018973668781685937,5.0,0.6299586031465088,0.6109849343648228
sha256:93f5c0828bd5b82d3832d919d8fe5b8f4300cfe6c9c3e953746e86d251821675,sha256:06eebf6187fae5c4b5cb17b45cf57576dc2853d3944de85276bd6fbecc169ab9,TURN,1.1686250331239962,0.0014567630093325068,5.0,1.1686250331239956,1.167168270114663
sha256:e428615e517b78bc97e766c56032e1531e4345ec50c396659dbc43989fa6afeb,sha256:181bc7c975fd4b2da221a0b667fef47f9b851c9cf9c2f60a9d2ed76de463c702,TURN,0.6892492370036898,0.0,0.0,0.6892492370036897,0.6892492370036897
sha256:10809eca963a9c4c722ab89c586e46c0a44162740e22dadcf03ed15806e37eb6,sha256:2b04686f26ff3a5ef1f854cfa1f27a54eb3ad1fc242885b0aa9f8ed70f856335,TURN,0.9672052556043895,0.0,0.0,0.9672052556043894,0.9672052556043894
sha256:b61b41dfbb5e9a4fd307732b727adaab5722ded5b97efe7f9aa3f903cf057e8f,sha256:4b57944dca417714024c2cb73b578abc8e9c84656e9c472735690e42f962b4a7,TURN,1.1951797306089476,0.018131747728000747,5.0,1.1951797306089476,1.1770479828809468
sha256:3a2e051d5300bc13cdeb1205da3de6f9b24d42d7dd6550f716e0fce91548828b,sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,TURN,1.1108518944911403,0.0,0.0,1.1108518944911405,1.1108518944911405
sha256:5d4aaf5d038a4ef9d1787f7054b0cd411efbb12bf18cafdd47f326e4d452eb3b,sha256:802eadf18c516c6866ee9487911e4f6527c31b7675f3138d74361f5b3e1b4da0,TURN,0.7673568012313514,0.0,0.0,0.7673568012313513,0.7673568012313513
sha256:9c905603d962258ebd674ea474cd50ccde1889ee9fecd1af27b961746a52ab03,sha256:8b1cd58281a9dfd745efda44159737fd261f3e5a0394d8bf26bd0858569c4989,TURN,1.0997331067669502,0.08563722266748885,20.0,1.0997331067669502,1.0140958840994614
sha256:d8b1aa0a19b345d100b48a09dda67fd5e213f801bf849f37cfc19b3ebf52c069,sha256:baac9bacdfb1e7985e9641fc25996dc5d24e9b89b2b3a6b50fe0aae193d75dc4,TURN,0.8101740641278014,0.007765347853690541,5.0,0.8101740641278015,0.8024087162741109
sha256:2499816614111cc383b6c624095d7defc8d995e92089a1aaa28e4ae01985699f,sha256:c47612951f046a604739c6a61b0c750156217227310a6fa1b301fc1b55f37a73,TURN,0.8807324452878142,0.0,0.0,0.8807324452878145,0.8807324452878145
sha256:14c8a0e539a0f474de7629fc92576c735804e76360b6b724a2b7dd0b3a4415fb,sha256:c667775745918d82640a962c0a0af11d2a072a97d7ad14915a963dd62cfba789,TURN,0.9764027980332948,0.0,0.0,0.9764027980332947,0.9764027980332947
sha256:c52a32811d10ab099df28a44fcbb319a95f6bd349963617bd381db4f0f7b31ba,sha256:d819a0c974552effd49673acbec18d5eda40ee393222fdb1acd448f5092451c9,TURN,0.7038975617552121,0.07809595835664351,5.0,0.7038975617552122,0.6258016033985687
sha256:f04baf4fb53741cd69106693fe8001b9b6b936bd7510e514b20dd2053435a4f7,sha256:de39b3297f3c6e67b64e6da9ddc05f04cd17be61d1d7f83c465c05fb7165f30d,TURN,0.9486273922510966,0.0,0.0,0.9486273922510968,0.9486273922510968
