stage,N_actionable,median_J_zero,IQR_J_zero,median_J_star,IQR_J_star,median_V,IQR_V,P90_V,positive_V_count,positive_V_share,activation_count,activation_share,median_positive_u,IQR_positive_u,P90_positive_u
PRE,5,0.9636240024164796,0.35570778706914596,0.9110987112629263,0.35175770502117687,0.005816490147251052,0.013303656747155168,0.052330074884311434,4,0.8,4,0.8,5.0,3.75,15.500000000000004
TURN,12,0.9579163239277431,0.30304305529430897,0.9579163239277431,0.24463914918396024,0.0,0.010356947822268092,0.07209953729377926,5,0.4166666666666667,5,0.4166666666666667,5.0,0.0,14.000000000000002
