Subexperiment,Condition,Metric,Estimate,95% CI,N episodes
EXP1_COHORT,Frozen Data2 Development cohort,COHORT_EPISODES,128,—,128
EXP1_COHORT,Frozen Data2 Development cohort,COHORT_NODES,1769,—,128
EXP1_COHORT,Frozen Data2 Development cohort,SCENARIOS_PER_NODE,250,—,128
EXP1_COHORT,Frozen Data2 Development cohort,SCENARIO_COVERAGE_RATE,1,—,128
