iata,ident,lat,lon,timezone
KTH,AK56,59.9631996155,-158.477005005,America/Anchorage
NKI,AK62,55.849602,-133.227994,America/Sitka
LNI,AK71,70.911118,-153.237766,America/Anchorage
CDL,AK75,65.907699585,-161.925994873,America/Anchorage
AOS,AK81,57.4715003967,-153.815002441,America/Anchorage
BSW,AK97,60.4230995178,-146.145996094,America/Anchorage
TGE,AL73,32.4919013977,-85.7755966187,America/Chicago
ALZ,ALZ,56.8995018005,-154.248001099,America/Anchorage
AQY,AQY,60.968774,-149.119792,America/Anchorage
ARX,ARX,40.2193055556,-74.0908333333,America/New_York
AYZ,AYZ,40.71,-73.4,America/New_York
HAE,AZ15,36.1916007996,-113.092002869,America/Phoenix
BKG,BBG,36.532082,-93.200544,America/Chicago
BCJ,BCJ,37.9647777778,-105.776666667,America/Denver
ILL,BDH,45.11769867,-95.13040161,America/Chicago
BNF,BNF,57.088799,-134.833146,America/Sitka
BOF,BOF,38.854049,-77.012046,America/New_York
BOK,BOK,42.0746,-124.290001,America/Los_Angeles
BQV,BQV,58.4552001953,-135.884994507,America/Juneau
BRG,BRG,37.2219,-82.8742,America/New_York
BYA,BYA,64.0783004761,-141.113006592,America/Anchorage
BZS,BZS,38.863,-77.011,America/New_York
CGA,CGA,55.47880172729492,-133.1479949951172,America/Sitka
CHP,CHP,65.485496521,-144.610992432,America/Anchorage
CIV,CIV,55.217,-132.21,America/Sitka
CKD,CJX,61.8679008484,-158.134994507,America/Anchorage
CKR,CKR,48.5978,-122.9979,America/Los_Angeles
CKU,CKU,60.5438995361,-145.727005005,America/Anchorage
CKX,CKX,64.0712966919,-141.95199585,America/Anchorage
CLC,CLC,29.5555,-95.1383,America/Chicago
CLG,CLG,36.158043,-120.360117,America/Los_Angeles
EHT,CT88,41.7517,-72.6253,America/New_York
HLI,CVH,36.8932991028,-121.410003662,America/Los_Angeles
CVR,CVR,33.975,-118.417,America/Los_Angeles
CXC,CXC,61.582901001,-144.427001953,America/Anchorage
CYM,CYM,57.5149,-134.945999,America/Sitka
CZK,CZK,45.676599,-121.878879,America/Los_Angeles
CZN,CZN,62.0712013245,-142.04800415,America/Anchorage
CZO,CZO,62.5634994507,-144.669006348,America/Anchorage
IUA,D38,42.908902,-77.325226,America/New_York
DJN,D66,64.0503997803,-145.716995239,America/Anchorage
DCK,DCK,66.9432983398,-156.904998779,America/Anchorage
DCR,DCR,40.837548,-84.862464,America/Indiana/Indianapolis
DHB,DHB,48.6166666667,-123.002777778,America/Los_Angeles
DPK,DPK,40.76,-73.31,America/New_York
DWS,DWS,28.399444,-81.571278,America/New_York
EDA,EDA,55.949653,-133.661012,America/Sitka
ESP,ESP,41.0643,-75.2521,America/New_York
EXI,EXI,58.420502,-135.449005,America/Juneau
RGR,F23,32.4525985718,-98.682800293,America/Chicago
FAL,FAL,26.5856,-99.13985,America/Chicago
FLE,FLE,37.284,-77.3448,America/New_York
FLT,FLT,62.4525985718,-157.988998413,America/Anchorage
FSN,FSN,42.221,-87.817,America/Chicago
GAB,GAB,38.923173,-117.9572,America/Los_Angeles
GFD,GFD,39.7902984619,-85.7360992432,America/Indiana/Indianapolis
GNU,GNU,59.117401123,-161.57699585,America/Anchorage
GMT,GSZ,65.40209961,-161.2810059,America/Anchorage
GVE,GVE,38.15599823,-78.165802002,America/New_York
HAY,HAY,65.20099639889999,-161.156997681,America/Anchorage
HEY,HEY,31.34600067,-85.65429688,America/Chicago
HGT,HGT,35.9935,-121.237,America/Los_Angeles
HPV,HI01,22.2091999054,-159.445999146,Pacific/Honolulu
WKL,HI07,19.9205,-155.8607,Pacific/Honolulu
HKB,HKB,63.9958,-144.6926,America/Anchorage
HYL,HYL,55.4816017151,-132.645996094,America/Sitka
IVH,IVH,69.4066,-148.2881,America/Anchorage
JLA,JLA,60.48270034789999,-149.718994141,America/Anchorage
JPN,JPN,38.874908,-77.056682,America/New_York
JRA,JRA,40.754501,-74.007103,America/New_York
JRB,JRB,40.70119858,-74.00900269,America/New_York
AMK,K00C,37.2032012939,-107.869003296,America/Denver
BDX,K00F,45.47249985,-105.4540024,America/Denver
EUE,K05U,39.6041984558,-116.004997253,America/Los_Angeles
KPT,K06U,41.97600173949999,-114.657997131,America/Los_Angeles
RLA,K07,37.93569946289063,-91.8134994506836,America/Chicago
FID,K0B8,41.25130081179999,-72.0316009521,America/New_York
HUD,K0K7,42.7360992432,-94.2452011108,America/Chicago
TWD,K0S9,48.0537986755,-122.810997009,America/Los_Angeles
MVM,K0V7,36.716444,-110.228444,America/Denver
HCC,K1B1,42.2913017273,-73.7102966309,America/New_York
AHD,K1F0,34.1469993591,-97.1227035522,America/Chicago
GCW,K1G4,35.985787,-113.817072,America/Phoenix
CKE,K1O2,38.9906005859,-122.901000977,America/Los_Angeles
ROF,K1O5,41.7304000854,-122.54599762,America/Los_Angeles
CNE,K1V6,38.428534,-105.106299,America/Denver
RSX,K21,44.99169921875,-73.363502502441,America/New_York
COP,K23,42.6291999817,-74.89099884030001,America/New_York
CIL,K29,64.89790344240001,-163.70300293,America/Nome
IRB,K2F0,30.9057006836,-101.891998291,America/Chicago
GNF,K2O1,39.943902,-120.945,America/Los_Angeles
