decision_node_id,response_sensitivity,a00_baseline_action_id,a00_baseline_objective,conditional_diagnostic_top1_action_id,factual_non_a00_candidate_count,supported_non_a00_candidate_count,operational_non_a00_candidate_count,recommendation_status,recommended_action_id,recommended_objective
sha256:007c4bf6d0dc2ef3a9c504bcb604ed012ff89031863010d55ab15b5aabfefad2,HIGH,A00,100.09365038421325,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:007c4bf6d0dc2ef3a9c504bcb604ed012ff89031863010d55ab15b5aabfefad2,LOW,A00,25.023412596053312,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0086227e1195956e57269421fa3df8c20e81411f7d726177e591c77021b30dd6,BASE,A00,39.63100841990811,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0086227e1195956e57269421fa3df8c20e81411f7d726177e591c77021b30dd6,HIGH,A00,79.26201683981623,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0086227e1195956e57269421fa3df8c20e81411f7d726177e591c77021b30dd6,LOW,A00,19.815504209954057,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:00ac89841de77f66ba20606317cc8b22c6edc47c8a14ba90fce6cec68e227227,BASE,A00,42.024688856208655,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:00ac89841de77f66ba20606317cc8b22c6edc47c8a14ba90fce6cec68e227227,HIGH,A00,84.04937771241731,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:00ac89841de77f66ba20606317cc8b22c6edc47c8a14ba90fce6cec68e227227,LOW,A00,21.012344428104328,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:00b4532bdd4cb7f185d6334dc02b88786c7d4eb2c9c0a897907630135d741825,BASE,A00,48.410217875059246,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:00b4532bdd4cb7f185d6334dc02b88786c7d4eb2c9c0a897907630135d741825,HIGH,A00,96.82043575011849,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
