comparison,coverage,ci_lower,ci_upper,episodes,assessed_nodes,unavailable_nodes
ONE_SHOT_EXECUTABLE,1.0,1.0,1.0,127,1638,0
ROLLING_COMPARABLE,1.0,1.0,1.0,127,1638,0
SELECTED_ACTION_DIFFERENCE,0.0,0.0,0.0,127,1638,0
POST_REPLAY_COMPARABLE,1.0,1.0,1.0,127,1638,0
MEAN_POST_REPLAY_DIFFERENCE,0.0,0.0,0.0,127,1638,0
STATE_SYNC_5,0.9009232435707588,0.8906740235497242,0.9096076090336983,128,1769,0
STATE_SYNC_10,0.8018464871415176,0.7813480470994486,0.8192152180673966,128,1769,0
